1	в то же время	4	7
2	бы то ни было	2	4
3	одни и те же	1	3
4	с точки зрения его	1	3
5	и не может быть	2	3
6	не нуждается ни в	1	2
7	так и со стороны	1	2
8	нет и не может	1	2
9	на самом же деле	1	2
10	во всяком случае в	1	2
11	и не нуждается ни	1	2
12	язык и его формы	1	1
13	пределах индивидуального организма и	1	1
14	один и тот же	3	1
15	в самом деле ведь	1	1
16	и притом в их	1	1
17	нуждается ни в каких	1	1
18	в собственном смысле слова	1	1
19	каких бы то ни	1	1
20	и тем не менее	1	1
21	и в данном случае	1	1
22	как по отношению к	1	1
23	что в данном случае	1	1
24	т д таким образом	1	1
25	и по отношению к	1	1
26	сводится к тому чтобы	1	1
27	в первый период развития	1	1
28	одной и той же	3	1
29	и пр и пр	1	1
30	мы можем сказать что	3	1
31	ведь мы уже знаем	1	1
32	в ее целом и	1	1
33	можно сделать вывод что	1	1
34	в следующей главе глава	2	1
35	ни в коем случае	1	1
36	мы имеем в виду	1	1
37	мы полагаем что таким	1	1
38	в зависимости от того	2	1
39	в такой же степени	1	1
40	коем случае не может	1	1
41	в последнем счете и	1	1
42	на самом деле здесь	1	1
43	в коем случае не	1	1
44	и т д таким	1	1
45	в самом деле что	1	1
46	человека с точки зрения	1	1
47	точки зрения его внутреннего	1	1
