N	2gram	Losev_Vlad_1	OGranits
1	и в	31	13
2	и его	7	12
3	прежде всего	1	9
4	может быть	6	8
5	не может	6	8
6	и не	17	8
7	в его	12	7
8	и пр	1	7
9	точки зрения	2	7
10	только в	9	6
11	не только	24	6
12	то что	18	6
13	мы должны	2	6
14	таким образом	3	6
15	все же	3	5
16	хотя бы	2	5
17	и эта	1	5
18	мы не	1	4
19	произведения как	1	4
20	но мы	2	4
21	тех пор	1	4
22	еще и	7	4
23	но в	12	4
24	до тех	1	4
25	мы можем	1	4
26	то же	6	4
27	лишь в	2	4
28	в своей	4	4
29	было бы	2	4
30	все это	5	4
31	вполне понятно	1	4
32	в каждом	1	4
33	и то	10	3
34	самом деле	1	3
35	так и	6	3
36	г в	1	3
37	в их	1	3
38	пор пока	1	3
39	по отношению	1	3
40	за пределы	3	3
41	в которой	4	3
42	ни один	1	3
43	в себе	4	3
44	не как	1	3
45	в одном	1	3
46	так как	8	3
47	одно и	1	3
48	здесь мы	3	3
49	но и	19	3
50	как и	4	3
51	и уже	1	3
52	со всей	1	3
53	я хочу	1	3
54	что же	5	3
55	не в	5	3
56	да и	4	3
57	и для	2	3
58	никогда не	9	3
59	и все	4	3
60	не столько	2	3
61	что в	14	3
62	для себя	2	2
63	в произведении	1	2
64	только его	1	2
65	роль в	1	2
66	на две	1	2
67	мы уже	7	2
68	те же	1	2
69	есть не	1	2
70	если бы	1	2
71	что иное	1	2
72	иное как	1	2
73	не что	1	2
74	с самого	1	2
75	в ней	1	2
76	ее в	1	2
77	а также	5	2
78	в чем	2	2
79	явлений и	1	2
80	в общем	3	2
81	во всей	1	2
82	что они	3	2
83	материалом для	1	2
84	его на	2	2
85	как в	3	2
86	в которую	2	2
87	в данном	1	2
88	в этом	14	2
89	в том	11	2
90	тот же	3	2
91	с ними	2	2
92	с г	1	2
93	в этот	4	2
94	которое мы	1	2
95	в целом	3	2
96	и тем	1	2
97	все эти	3	2
98	с одной	1	2
99	учение о	2	2
100	уже в	7	2
