N	3gram	Tiupa_Disk_2	Psycholo
1	в том что	6	12
2	все то что	1	11
3	о том что	3	10
4	в самом деле	1	7
5	с самого начала	1	5
6	и может быть	2	4
7	с точки зрения	2	4
8	то что в	1	3
9	одна из них	1	3
10	несет в себе	2	3
11	во всяком случае	1	3
12	с одной стороны	4	3
13	ни одно из	2	2
14	и в частности	1	2
15	в это время	1	2
16	в мире в	2	2
17	с другой стороны	1	2
18	и той же	1	2
19	речь идет о	1	2
20	одной и той	1	2
21	все дело в	1	1
22	прежде всего на	1	1
23	по отношению к	4	1
24	равно как и	1	1
25	подобно тому как	2	1
26	мы ничего не	1	1
27	той же жизни	1	1
28	жизни и смерти	1	1
29	бы то ни	1	1
30	только то что	1	1
31	свой жизненный путь	2	1
32	то же время	5	1
33	и не может	2	1
34	то что может	1	1
35	то ни было	1	1
36	на первый взгляд	2	1
37	и в то	1	1
38	а также и	1	1
39	а с другой	1	1
40	дело в том	2	1
41	мысль о том	1	1
42	не может быть	3	1
43	то есть в	1	1
44	в конечном счете	1	1
45	можно сказать что	1	1
46	в то же	4	1
47	даже в пределах	1	1
48	но в этом	1	1
49	то есть мы	1	1
