1	не что иное как	2	3
2	есть не что иное	1	3
3	и в этом случае	3	3
4	если бы не было	2	3
5	один и тот же	2	2
6	одной и той же	1	2
7	заключается в том что	1	2
8	в том числе и	1	2
9	все более и более	2	1
10	но тем не менее	2	1
11	при этом заметим что	1	1
12	внимание на то что	2	1
13	можно сказать что все	1	1
14	вопрос о том что	1	1
15	то тем самым мы	1	1
16	это последнее может быть	1	1
17	то и другое имеет	1	1
18	и не может быть	1	1
19	будет сказать несколько слов	1	1
20	к тому и другому	1	1
21	а в том числе	1	1
22	мы в то же	1	1
23	в том случае когда	1	1
24	и тот же предмет	1	1
25	в том случае если	1	1
26	тем не менее в	1	1
27	одним и тем же	1	1
28	вовсе не то что	1	1
29	а может быть и	1	1
