N	2gram	Potebnia_M_1	BTomashe
1	у нас	2	3
2	и не	18	2
3	все это	1	2
4	в ней	7	2
5	видеть в	2	2
6	можно было	1	2
7	не то	1	2
8	крайней мере	2	1
9	невозможны без	1	1
10	же не	1	1
11	за пределы	2	1
12	тем более	2	1
13	бы только	2	1
14	будто бы	1	1
15	и в	39	1
16	не вполне	1	1
17	и о	2	1
18	в речи	1	1
19	к ней	2	1
20	следовало бы	1	1
21	что все	3	1
22	с другой	7	1
23	в своей	3	1
24	значение слова	1	1
25	без понимания	1	1
26	на самом	1	1
27	на которой	1	1
28	как будто	2	1
29	не следует	5	1
30	из ее	1	1
31	и нет	1	1
32	было бы	12	1
33	все же	6	1
34	всяком случае	1	1
35	никак не	2	1
36	между ними	1	1
37	точке зрения	2	1
38	еще не	6	1
39	и на	1	1
40	должна быть	3	1
41	нет но	1	1
42	прежде всего	4	1
43	в данном	1	1
44	и во	3	1
45	так и	13	1
46	не было	4	1
47	то как	1	1
48	его не	1	1
49	совершенно не	1	1
50	далеко не	1	1
51	а не	21	1
52	что в	22	1
53	в области	1	1
54	другой стороны	5	1
55	и ее	1	1
56	не все	2	1
57	по крайней	2	1
58	таким образом	13	1
59	вопрос о	4	1
60	и более	2	1
61	и потому	5	1
62	нас по	1	1
63	не только	21	1
64	значительной степени	2	1
65	во всяком	3	1
