N	2gram	Nazirov_Vr_1	Vladivir
1	и в	8	40
2	то что	7	28
3	не только	9	25
4	и не	5	25
5	у него	5	24
6	том что	3	18
7	в том	3	18
8	но и	7	18
9	также и	1	17
10	что в	7	17
11	в этом	8	16
12	в его	3	14
13	не может	2	14
14	точки зрения	2	13
15	в конце	3	12
16	едва ли	1	11
17	никогда не	2	11
18	потому что	1	11
19	таким образом	2	11
20	о том	4	11
21	в году	18	10
22	не просто	1	10
23	тем не	1	10
24	и его	3	10
25	не есть	1	10
26	прежде всего	1	10
27	как раз	2	10
28	и то	2	9
29	уже не	2	9
30	что это	1	9
31	в себе	2	9
32	и с	6	9
33	в своей	2	9
34	не менее	2	9
35	что же	1	9
36	в своем	3	8
37	в этой	2	8
38	он не	3	8
39	не был	1	8
40	и что	8	8
41	а также	2	8
42	раз и	1	8
43	а никольский	2	8
44	для него	2	8
45	может быть	4	8
46	так же	4	8
47	же с	1	7
48	хотя и	1	7
49	и как	3	7
50	как и	6	7
51	несмотря на	4	7
52	в то	5	7
53	мы бы	1	7
54	там же	2	7
55	того что	1	7
56	в те	3	7
57	вместе с	2	7
58	а в	2	7
59	в своих	4	7
60	то в	1	6
61	не будет	1	6
62	не мог	2	6
63	с точки	2	6
64	во всем	1	6
65	и это	2	6
66	и от	1	6
67	так и	1	6
68	об этом	5	6
69	и даже	6	6
70	да и	1	6
71	но это	2	6
72	отношения к	2	5
73	в ней	4	5
74	совсем не	1	5
75	тут же	1	5
76	отнюдь не	2	5
77	в истории	4	5
78	тому же	1	5
79	тем что	3	5
80	для нас	4	5
81	ничего не	1	5
82	ничего общего	1	5
83	еще в	1	5
84	с другой	1	5
85	конце концов	1	5
86	что он	4	5
87	в одном	1	5
88	не было	5	5
89	между прочим	1	5
90	в самом	1	4
91	то же	5	4
92	и о	3	4
93	еще не	2	4
94	но не	1	4
95	то он	1	4
96	все же	6	4
97	но в	6	4
98	на то	3	4
99	есть все	1	4
100	было бы	1	4
101	такой же	1	4
102	в котором	6	4
103	не имеет	1	4
104	в каком	1	4
105	только при	1	4
106	то время	1	4
107	не с	1	4
108	и можно	1	4
109	по мнению	2	4
110	при помощи	2	4
111	от того	1	4
112	а с	2	4
113	говорит о	1	4
114	до конца	1	4
115	и все	7	4
116	него в	1	4
117	в основном	1	4
118	возникает вопрос	1	4
119	точно так	1	4
120	же как	2	3
121	я не	3	3
122	и был	1	3
123	в чем	3	3
124	заметим что	1	3
125	не все	1	3
126	независимо от	1	3
127	и у	3	3
128	уже в	4	3
129	в нем	6	3
130	при этом	4	3
131	в россии	5	3
132	в качестве	1	3
133	это было	1	3
134	это не	4	3
135	этом смысле	1	3
136	далеко не	3	3
137	этого не	1	3
138	что этот	1	3
139	что есть	3	3
140	в духе	1	3
141	отличается от	1	3
142	году в	2	3
143	в виду	4	3
144	жизнь и	1	3
145	и вообще	1	3
146	к нему	1	3
147	ни с	1	3
148	мы знаем	2	3
149	всяком случае	1	3
150	конце жизни	1	3
151	человека и	1	3
152	именно в	1	3
153	в связи	3	3
154	как бы	4	3
155	но для	1	3
156	же в	2	3
157	но вот	1	3
158	только о	1	3
159	как на	1	3
160	в таком	1	3
161	во всяком	1	3
162	в этот	3	2
163	не имел	1	2
164	не хочет	1	2
165	и гораздо	1	2
166	по преимуществу	1	2
167	и этот	1	2
168	по его	1	2
169	это время	1	2
170	он был	3	2
171	он сам	2	2
172	первый план	1	2
173	а тем	1	2
174	но как	2	2
175	в сторону	1	2
176	и речи	1	2
177	как говорит	1	2
178	с этим	1	2
179	сам же	1	2
180	и наконец	1	2
181	в целом	1	2
182	но на	1	2
183	он всегда	1	2
184	же это	1	2
185	в силу	1	2
186	одно и	1	2
187	же не	2	2
188	об этой	2	2
189	те годы	2	2
190	в жизни	1	2
191	в это	2	2
192	на первый	2	2
193	в этих	1	2
194	же возникает	1	2
195	можно найти	1	2
196	в их	1	2
197	а вот	1	2
198	тем самым	1	2
199	что эта	1	2
200	же время	5	2
201	по своей	1	2
202	связи с	3	2
203	вот в	1	2
204	в в	2	2
205	роль в	1	2
206	в мире	2	2
207	во многом	4	2
208	но у	1	2
209	но мы	1	2
210	н трубецкой	1	2
211	его в	3	2
212	бы в	1	2
213	я вижу	1	2
214	хорошо знаю	1	2
215	быть и	1	2
216	но с	1	2
217	он уже	1	2
218	это же	1	2
219	в нашей	2	2
220	в начале	6	2
221	из них	2	2
222	хочет быть	1	2
223	мы находим	1	2
224	друг друга	1	2
225	который был	3	2
226	в предисловии	1	2
227	еще до	1	2
228	нет ничего	1	2
229	наряду с	3	2
230	еще раз	1	2
231	которых он	1	2
232	в петербургском	2	2
233	этом отношении	1	2
234	только что	1	2
235	а о	1	2
236	другой стороны	1	2
237	того же	1	2
238	из этого	1	2
239	с его	3	2
240	к этой	1	2
241	к этому	3	2
242	а между	1	1
243	как известно	1	1
244	можно говорить	1	1
245	также что	1	1
246	речь идет	3	1
247	начинается с	1	1
248	себя как	1	1
249	бы назвали	1	1
250	это и	1	1
251	и есть	1	1
252	что слово	1	1
253	несколько позже	1	1
254	не принимая	1	1
255	из всех	1	1
256	он как	1	1
257	представление о	1	1
258	в составе	1	1
259	был еще	1	1
260	во всех	1	1
261	а следовательно	1	1
262	если в	1	1
263	некоторые черты	1	1
264	что они	1	1
265	к сожалению	1	1
266	как в	1	1
267	же самому	1	1
268	знаю что	1	1
269	себе не	1	1
270	апреля года	3	1
271	все кто	1	1
272	в известном	2	1
273	как он	1	1
274	в свет	1	1
275	о которой	2	1
276	прочим и	1	1
277	их в	2	1
278	в плане	1	1
279	что ни	1	1
280	вижу что	1	1
281	этом он	1	1
282	конечно в	1	1
283	говорить не	1	1
284	входя в	1	1
285	заключается в	1	1
286	после этого	2	1
287	из первых	1	1
288	в них	2	1
289	рядом с	2	1
290	все равно	1	1
291	нетрудно заметить	1	1
292	хотел выразить	1	1
293	не всегда	1	1
294	во внимание	1	1
295	которой он	1	1
296	тут нет	1	1
297	но я	1	1
298	которую он	1	1
299	во время	2	1
300	и их	1	1
301	молодого человека	1	1
302	в письме	5	1
303	январе года	3	1
304	каким был	1	1
305	место в	2	1
306	не будем	1	1
307	но он	3	1
308	оба они	1	1
309	без всяких	1	1
310	с такими	1	1
311	том же	2	1
312	возвращается к	1	1
313	если что	1	1
314	ноября года	2	1
315	успех у	1	1
316	он тоже	2	1
317	одна из	2	1
318	письме к	4	1
319	следовательно и	1	1
320	а поскольку	1	1
321	того как	1	1
322	это то	1	1
323	статьи очень	1	1
324	того в	1	1
325	предполагать что	1	1
326	же года	1	1
327	ему и	1	1
328	это слово	1	1
329	которая называется	1	1
330	в процессе	1	1
331	до того	1	1
332	считать что	1	1
333	никуда не	1	1
334	ли это	1	1
335	ему не	1	1
336	начиная с	2	1
337	была на	1	1
338	разобраться в	1	1
339	за что	1	1
340	время он	2	1
341	и он	2	1
342	с ее	1	1
343	и двусмысленный	1	1
344	в ее	1	1
345	только не	1	1
346	так в	2	1
347	и сам	1	1
348	это можно	1	1
349	ясно что	1	1
350	так называемую	1	1
351	том как	1	1
352	и простоты	1	1
353	а еще	1	1
354	другой не	1	1
355	важно и	1	1
356	увидел что	1	1
357	никольский и	1	1
358	но об	1	1
359	как эта	1	1
360	вопросу о	1	1
361	все в	1	1
362	доходит до	1	1
363	не могло	1	1
364	и во	3	1
365	говорить об	1	1
366	я думаю	1	1
367	в глазах	2	1
368	во всей	1	1
369	котором он	1	1
370	вслед за	1	1
371	в свете	1	1
372	использовал и	1	1
373	если это	1	1
374	у которого	1	1
375	навсегда и	1	1
376	в литературе	1	1
377	тех пор	1	1
378	один из	1	1
379	что только	1	1
380	а тут	1	1
381	бы его	1	1
382	начало в	1	1
383	этот факт	1	1
384	в январе	3	1
385	в эти	2	1
386	же он	1	1
387	он считал	4	1
388	для слишком	1	1
389	представлялась ему	1	1
390	быть весьма	1	1
391	тем чтобы	1	1
392	отцов и	4	1
393	целого ряда	1	1
394	а это	1	1
395	литературе еще	1	1
396	в душе	1	1
397	марта года	3	1
398	этот раз	1	1
399	общим характером	1	1
400	но которая	1	1
401	от апреля	1	1
402	и никогда	1	1
403	не хотел	1	1
404	это будет	1	1
405	нужно было	1	1
406	общего ни	1	1
407	тотчас же	1	1
408	что пишет	1	1
409	о своей	1	1
410	и из	1	1
411	до сих	1	1
412	о влиянии	2	1
413	к которому	1	1
414	во второй	1	1
415	такое же	1	1
416	души и	1	1
417	что для	1	1
418	был в	1	1
419	на этот	1	1
420	целым рядом	1	1
421	за год	2	1
422	годы он	1	1
423	о чем	2	1
424	только от	1	1
425	голос и	1	1
426	с которым	2	1
427	что из	1	1
428	мнение о	1	1
429	было в	1	1
430	уже давно	1	1
431	в частности	1	1
432	прямое выражение	1	1
433	свете этой	1	1
434	времени а	1	1
435	его на	2	1
436	из которых	1	1
437	не знал	1	1
438	по своему	1	1
439	мы считаем	1	1
440	с тех	1	1
441	в первой	1	1
442	ли эта	1	1
443	которым он	1	1
444	года и	1	1
445	доказанным что	1	1
446	нас интересует	1	1
447	февраля года	4	1
448	известном смысле	1	1
449	сих пор	1	1
450	все это	4	1
451	имел в	3	1
452	ближе к	1	1
453	от нас	1	1
454	мире а	1	1
455	и общим	1	1
456	вне его	1	1
457	уже на	1	1
458	тот кто	1	1
459	на свою	1	1
460	еще более	1	1
461	года в	7	1
462	но зато	1	1
463	чувствовал себя	1	1
464	отношении к	1	1
465	не являются	1	1
466	нам не	1	1
467	и начинается	1	1
468	в свою	2	1
469	появилась в	1	1
470	только как	1	1
471	чтобы он	3	1
472	доказал что	1	1
473	жизни и	1	1
474	человека к	1	1
475	он пишет	2	1
476	к страхову	1	1
477	молодой человек	1	1
478	который не	1	1
479	все что	1	1
480	они не	1	1
