N	2gram	Potebnia_M_2	FransuaR
1	и в	24	65
2	то есть	30	45
3	и др	1	24
4	как бы	9	22
5	и не	19	22
6	вовсе не	9	18
7	в том	18	16
8	в этом	8	15
9	но в	4	14
10	в нем	9	13
11	в условиях	1	13
12	мы уже	1	12
13	и на	8	11
14	тела в	1	11
15	прежде всего	7	11
16	все эти	2	10
17	не только	15	10
18	и его	2	10
19	так и	5	10
20	но и	9	10
21	и потому	2	10
22	во всех	7	9
23	в его	2	9
24	все это	2	9
25	за пределы	2	8
26	всех этих	2	8
27	формы и	1	7
28	его в	3	7
29	только в	11	7
30	влияние на	4	7
31	жизни и	1	7
32	на самом	2	6
33	они были	1	6
34	в ней	3	6
35	еще не	4	6
36	все же	5	6
37	и у	3	6
38	главным образом	4	6
39	при этом	13	6
40	том что	8	6
41	никогда не	4	6
42	тела и	1	6
43	как мы	1	6
44	времени и	1	6
45	одно из	3	6
46	так как	10	6
47	может быть	23	6
48	сказать что	2	6
49	с его	2	5
50	отличие от	1	5
51	как в	10	5
52	с их	1	5
53	в них	5	5
54	рядом с	3	5
55	как и	7	5
56	есть в	2	5
57	между людьми	1	5
58	потому что	49	5
59	между тем	6	5
60	для него	10	5
61	в одном	6	5
62	превращается в	2	5
63	связь с	1	5
64	в той	1	5
65	и все	3	5
66	в большей	1	5
67	в своих	1	5
68	и до	1	4
69	в общем	2	4
70	в самом	4	4
71	так сказать	4	4
72	и еще	1	4
73	входит в	1	4
74	во время	4	4
75	в их	1	4
76	в отличие	1	4
77	мысли и	1	4
78	не понимает	1	4
79	не в	13	4
80	до сих	4	4
81	большей или	1	4
82	связи с	6	4
83	в жизни	2	4
84	из них	5	4
85	отношение к	1	4
86	или меньшей	1	4
87	сих пор	4	4
88	это уже	1	4
89	это как	1	4
90	для нас	31	4
91	между ними	2	4
92	в применении	1	3
93	самом деле	2	3
94	мы и	1	3
95	мы будем	1	3
96	в себя	2	3
97	уже не	4	3
98	но все	2	3
99	то что	20	3
100	в себе	10	3
101	но на	2	3
102	перестает быть	2	3
103	и с	1	3
104	и других	2	3
105	это не	3	3
106	далеко не	3	3
107	в ее	1	3
108	с точки	1	3
109	дает в	1	3
110	мир и	1	3
111	но это	3	3
112	на котором	1	3
113	ничего не	1	3
114	по своей	1	3
115	и здесь	2	3
116	не могут	7	3
117	и прежде	1	3
118	и вообще	3	3
119	с ним	5	3
120	в самой	3	3
121	с другой	6	3
122	и во	3	3
123	к нему	1	3
124	что он	4	3
125	но как	1	3
126	в известной	1	3
127	друг друга	2	3
128	в других	4	3
129	даже и	2	3
130	не были	1	3
131	связаны с	1	3
132	в ряду	6	3
133	и их	5	3
134	применении к	1	3
135	в состоянии	6	3
136	но для	1	3
137	в более	1	3
138	и ни	1	3
139	от всех	1	3
140	не может	12	3
141	что в	16	3
142	отношения к	2	2
143	одним из	1	2
144	например в	3	2
145	нам кажется	4	2
146	видеть в	1	2
147	из всех	1	2
148	для своего	1	2
149	и само	1	2
150	не была	1	2
151	бы ни	5	2
152	которое в	1	2
153	на них	1	2
154	в чем	7	2
155	но не	12	2
156	значение и	2	2
157	связанной с	1	2
158	и наконец	1	2
159	его к	1	2
160	это определение	2	2
161	дальнейшем развитии	1	2
162	из этих	4	2
163	во многих	3	2
164	он не	1	2
165	не к	1	2
166	в заключение	1	2
167	его от	1	2
168	и по	2	2
169	это его	1	2
170	так например	3	2
171	значительной степени	1	2
172	на все	3	2
173	большинстве случаев	1	2
174	это было	2	2
175	жизни но	1	2
176	в этих	3	2
177	от своего	1	2
178	и без	1	2
179	но эта	1	2
180	их в	2	2
181	радости и	1	2
182	бы быть	3	2
183	этот мир	1	2
184	раз и	1	2
185	в таких	1	2
186	дело в	1	2
187	на него	3	2
188	в процессе	1	2
189	образом в	4	2
190	нем в	1	2
191	этих двух	1	2
192	всего на	1	2
193	во всем	2	2
194	начиная с	1	2
195	к себе	1	2
196	есть только	6	2
197	могут быть	8	2
198	к тому	1	2
199	и это	2	2
200	но при	1	2
201	во многом	1	2
202	во второй	1	2
203	поэтому в	1	2
204	на что	1	2
205	стремление к	2	2
206	о том	5	2
207	можно сказать	1	2
208	ни на	1	2
209	но с	1	2
210	мы видим	2	2
211	с одной	4	2
212	мира то	1	2
213	в большинстве	1	2
214	только на	1	2
215	ни с	2	2
216	не для	1	2
217	от того	5	2
218	в особенности	1	2
219	и человека	1	2
220	в народной	1	2
221	что не	5	2
222	в некоторых	4	2
223	одной стороны	3	2
224	и так	1	2
225	некоторые из	1	2
226	его на	2	2
227	быть только	2	2
228	того что	7	2
229	что мы	11	2
230	в целом	3	2
