N	3gram	Potebnia_M_1	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	3	9
4	в том что	13	7
5	на самом деле	1	6
6	во всяком случае	1	6
7	для того чтобы	2	6
8	а между тем	3	5
9	до сих пор	1	5
10	более или менее	1	4
11	на то что	1	4
12	бы то ни	2	4
13	не может быть	9	4
14	то ни стало	1	3
15	во что бы	1	3
16	можно было бы	1	3
17	что бы то	1	3
18	а следовательно и	1	2
19	точно так же	1	2
20	в том и	2	2
21	только в том	6	2
22	для всех народов	1	2
23	таким же образом	1	2
24	не только к	1	2
25	и в том	3	2
26	это потому что	1	2
27	лишь в том	1	2
28	о том что	1	2
29	и тем самым	1	2
30	друг от друга	2	2
31	к тому что	2	2
32	сама по себе	3	2
33	она не может	1	2
34	и того же	2	1
35	в том виде	1	1
36	как сказано выше	1	1
37	ни от какого	1	1
38	из всего этого	1	1
39	и в жизни	1	1
40	зависит от того	2	1
41	дело в том	2	1
42	в свою очередь	4	1
43	по отношению к	13	1
44	может быть назван	1	1
45	так как оно	1	1
46	и не только	1	1
47	и то и	1	1
48	себе внутренние противоречия	1	1
49	в этих последних	1	1
50	не могло бы	2	1
51	чем больше в	1	1
52	только то что	1	1
53	в этом отношении	1	1
54	что не только	2	1
55	именно так как	1	1
56	заключает в себе	2	1
57	на этот вопрос	2	1
58	потому что так	1	1
59	к которому принадлежит	1	1
60	в противном случае	3	1
61	по крайней мере	2	1
62	то и другое	2	1
63	ни одна не	1	1
64	показать что и	1	1
65	в применении к	2	1
66	и что в	3	1
67	то ни было	1	1
68	есть столько же	2	1
69	жизни но и	1	1
70	смысле этого слова	1	1
71	но при этом	1	1
72	и в этом	6	1
73	того что не	1	1
74	и как бы	3	1
75	всяком случае не	1	1
76	не только для	2	1
77	указывает на то	1	1
78	по себе еще	1	1
79	в связи с	1	1
80	что касается до	1	1
81	что во многих	1	1
82	так же как	1	1
83	может совершиться только	1	1
84	и таким образом	1	1
85	между нами и	1	1
86	а в том	3	1
87	и все же	1	1
88	с нею в	1	1
89	от того что	1	1
90	заключается в том	1	1
91	в себе внутренние	1	1
92	смотреть как на	1	1
93	народа точно так	1	1
94	но и для	2	1
95	с самого начала	3	1
96	как бы ни	2	1
97	вопрос о том	1	1
98	но все же	1	1
99	несмотря на все	1	1
100	в нем самом	5	1
101	одного и того	2	1
102	тем не менее	6	1
103	во многих случаях	1	1
104	быть не может	2	1
105	оно и для	1	1
106	себе еще не	1	1
107	и вопрос о	1	1
108	со стороны их	1	1
