N	3gram	Medvedev_V_1	Hudozhes
1	о том что	3	9
2	и т п	9	8
3	то же время	5	8
4	по отношению к	7	8
5	в то же	5	8
6	в том что	5	6
7	в самом деле	1	4
8	можно было бы	2	4
9	к тому что	3	4
10	ф м достоевского	1	3
11	в этом отношении	13	3
12	но в то	1	3
13	в связи с	3	3
14	та или иная	1	3
15	и т д	14	3
16	о том как	3	2
17	того или иного	1	2
18	только в том	2	2
19	что он не	1	2
20	до сих пор	1	2
21	ту или иную	1	2
22	не только в	2	2
23	так или иначе	1	2
24	не в том	2	2
25	так и от	2	2
26	а порой и	1	2
27	не может быть	8	2
28	в конечном счете	5	2
29	а между тем	1	1
30	не может не	2	1
31	реальной действительности как	1	1
32	но у него	1	1
33	в этом смысле	1	1
34	т п все	1	1
35	то же самое	1	1
36	одной стороны и	2	1
37	же как и	1	1
38	человека а не	1	1
39	именно в этом	1	1
40	в таком случае	1	1
41	том случае если	1	1
42	и в то	3	1
43	для него в	2	1
44	сами по себе	1	1
45	и так или	1	1
46	более или менее	6	1
47	что все эти	1	1
48	заключает в себе	1	1
49	в частности к	1	1
50	в письме к	8	1
51	как и все	1	1
52	каждый из них	1	1
53	с этой точки	1	1
54	является не чем	1	1
55	в том случае	1	1
56	сходные с ними	1	1
57	забывать что в	1	1
58	не чем иным	1	1
59	и по отношению	1	1
60	в конце концов	2	1
61	имеет ничего общего	1	1
62	том как он	1	1
63	не только для	1	1
64	приводит к тому	1	1
65	во всяком случае	1	1
66	не имеет ничего	1	1
67	на вопрос что	1	1
68	а в том	1	1
69	в данном случае	1	1
70	между этими двумя	1	1
71	как будто бы	1	1
72	чем иным как	1	1
73	в свою очередь	1	1
74	в его индивидуальной	1	1
75	письме к а	1	1
76	ничего общего с	1	1
77	этой точки зрения	2	1
78	но и для	1	1
79	не только не	2	1
80	в себе ту	1	1
81	является для него	1	1
82	в саду и	1	1
83	по наблюдениям в	1	1
84	все же не	1	1
85	в том смысле	1	1
86	сообщая о том	1	1
87	с одной стороны	2	1
88	почти то же	1	1
89	что для него	1	1
90	пишет например в	1	1
91	могло бы быть	1	1
92	не в этом	1	1
