N	2gram	Losev_Dial_4	Problema
1	в его	4	43
2	и не	30	42
3	и в	15	38
4	познания и	2	30
5	не может	11	27
6	может быть	17	26
7	как бы	14	22
8	отнюдь не	4	19
9	и с	4	17
10	и его	7	16
11	в этом	11	15
12	в нем	5	15
13	и т	17	14
14	только в	7	13
15	прежде всего	11	13
16	за пределы	3	12
17	во всех	2	11
18	в области	3	11
19	ни в	8	11
20	и для	5	11
21	не входит	1	10
22	отношение к	1	10
23	таким образом	5	10
24	в их	3	10
25	к нему	1	10
26	не только	8	9
27	не имеет	14	9
28	его в	1	9
29	но и	4	9
30	и как	4	8
31	входит в	1	8
32	было бы	9	8
33	точки зрения	14	8
34	место в	1	8
35	для нее	2	8
36	в том	11	8
37	художественное произведение	2	8
38	то что	16	8
39	еще не	4	7
40	в самом	2	7
41	вообще не	1	7
42	как и	7	7
43	и становится	1	7
44	не в	8	7
45	как мы	1	7
46	с другой	1	7
47	объекта и	1	7
48	совершенно не	3	7
49	в своей	3	7
50	что в	7	7
51	отношения к	3	6
52	и наконец	3	6
53	в пределах	1	6
54	не всегда	3	6
55	с точки	9	6
56	не есть	40	6
57	можно только	3	6
58	ничего не	17	6
59	есть чисто	1	6
60	мы можем	3	6
61	все же	2	6
62	а в	1	6
63	себя как	3	5
64	отличие от	2	5
65	в своем	5	5
66	все эти	3	5
67	объекта в	2	5
68	чисто познавательной	1	5
69	при этом	2	5
70	то же	9	5
71	это не	12	5
72	в них	2	5
73	в отличие	1	5
74	так и	5	5
75	для познания	1	5
76	в основе	10	5
77	и о	8	5
78	никогда не	2	5
79	не нужно	2	5
80	с ним	3	5
81	и прежде	1	5
82	конечно не	2	5
83	а не	18	5
84	могут быть	3	5
85	быть только	1	5
86	должно быть	2	5
87	все они	1	5
88	на самом	1	4
89	должна быть	7	4
90	конечно и	1	4
91	в виду	9	4
92	в ней	5	4
93	как вещь	2	4
94	как в	3	4
95	но в	3	4
96	в нашем	1	4
97	в себе	8	4
98	в данном	3	4
99	не должна	1	4
100	не менее	2	4
101	но они	2	4
102	тем самым	3	4
103	о значении	1	4
104	в то	6	4
105	и созерцание	1	4
106	должны быть	4	4
