N	2gram	Nazirov_Vr_1	Russkaja
1	не может	2	22
2	и не	5	19
3	в том	3	17
4	в этом	8	17
5	и в	8	14
6	то что	7	13
7	самим собой	1	12
8	то же	5	11
9	точки зрения	2	11
10	таким образом	2	11
11	в то	5	10
12	же время	5	10
13	но и	7	10
14	в себе	2	9
15	не только	9	9
16	том что	3	9
17	с точки	2	9
18	может быть	4	9
19	во всяком	1	9
20	прежде всего	1	8
21	как на	1	8
22	отнюдь не	2	7
23	и с	6	7
24	не будет	1	7
25	россии в	2	7
26	о том	4	7
27	если в	1	6
28	в своем	3	6
29	в россии	5	6
30	в своих	4	6
31	все это	4	6
32	что он	4	6
33	всяком случае	1	6
34	для всех	1	6
35	для него	2	6
36	своего народа	1	6
37	а между	1	5
38	во всех	1	5
39	на то	3	5
40	в нем	6	5
41	при этом	4	5
42	он не	3	5
43	было бы	1	5
44	в своей	2	5
45	никогда не	2	5
46	потому что	1	5
47	между тем	5	5
48	до сих	1	5
49	из которых	1	5
50	сих пор	1	5
51	а в	2	5
52	и то	2	4
53	но не	1	4
54	себя в	1	4
55	все же	6	4
56	в этой	2	4
57	его в	3	4
58	как и	6	4
59	которой он	1	4
60	в их	1	4
61	во всем	1	4
62	ли это	1	4
63	от того	1	4
64	в мире	2	4
65	и т.д	1	4
66	в его	3	4
67	вместе с	2	4
68	что же	1	4
69	как бы	4	4
70	к вопросу	1	4
71	жизни и	1	4
72	что в	7	4
73	к этой	1	4
74	все что	1	4
75	вряд ли	1	3
76	то в	1	3
77	и этот	1	3
78	говорить о	1	3
79	еще не	2	3
80	он сам	2	3
81	что они	1	3
82	в самом	1	3
83	что это	1	3
84	несмотря на	4	3
85	всех этих	1	3
86	одна из	2	3
87	связи с	3	3
88	но мы	1	3
89	вопросу о	1	3
90	и во	3	3
91	а следовательно	1	3
92	того что	1	3
93	в качестве	1	3
94	с нею	2	3
95	тем чтобы	1	3
96	из них	2	3
97	в конце	3	3
98	друг друга	1	3
99	тем что	3	3
100	именно в	1	3
101	россии а	1	3
102	что для	1	3
103	не было	5	3
104	россию в	1	3
105	ко всем	1	3
106	да и	1	3
107	русское правительство	1	3
108	о котором	1	3
109	конце концов	1	3
110	и как	3	3
111	не есть	1	3
112	из этого	1	3
113	себя как	1	2
114	от этой	1	2
115	речь идет	3	2
116	и есть	1	2
117	из всех	1	2
118	в ней	4	2
119	в таком	1	2
120	тогда как	2	2
121	не просто	1	2
122	для русской	1	2
123	с этим	1	2
124	целый ряд	4	2
125	и наконец	1	2
126	но в	6	2
127	во многих	1	2
128	в глазах	2	2
129	этот человек	2	2
130	одному из	1	2
131	этого не	1	2
132	в этих	1	2
133	во время	2	2
134	в котором	6	2
135	место в	2	2
136	в силу	1	2
137	их в	2	2
138	том же	2	2
139	для россии	1	2
140	для нас	4	2
141	у него	5	2
142	следовательно и	1	2
143	на россию	1	2
144	людей и	1	2
145	к себе	2	2
146	отличается от	1	2
147	россию и	1	2
148	и о	3	2
149	ясно что	1	2
150	и что	8	2
151	при полном	1	2
152	к нему	1	2
153	это в	2	2
154	быть и	1	2
155	что только	1	2
156	в россию	4	2
157	уже не	2	2
158	в начале	6	2
159	его и	2	2
160	и даже	6	2
161	а с	2	2
162	себя на	1	2
163	в частности	1	2
164	так же	4	2
165	– не	1	2
166	отношения к	2	2
167	но это	2	2
168	от нас	1	2
169	но для	1	2
170	и от	1	2
171	с ним	4	2
172	отношении к	1	2
173	бы его	1	2
174	на это	2	2
175	тем самым	1	2
176	точно так	1	2
177	постепенно в	1	1
178	того же	1	1
179	к своей	1	1
180	это и	1	1
181	идет о	1	1
182	что князь	3	1
183	ему что	1	1
184	не хочет	1	1
185	свое место	1	1
186	также и	1	1
187	их и	1	1
188	же как	2	1
189	на место	2	1
190	у себя	1	1
191	он как	1	1
192	в полной	1	1
193	это отношение	1	1
194	событий и	1	1
195	с исторической	1	1
196	а другие	1	1
197	он был	3	1
198	на них	1	1
199	не был	1	1
200	столь же	2	1
201	к этому	3	1
202	но как	2	1
203	при сильном	1	1
204	есть по	1	1
205	к творчеству	3	1
206	в истории	4	1
207	первый взгляд	1	1
208	по которому	1	1
209	что ее	1	1
210	себе на	1	1
211	не являются	1	1
212	христианство с	1	1
213	за границей	2	1
214	выражение в	1	1
215	но ведь	1	1
216	что к	2	1
217	тому же	1	1
218	но на	1	1
219	своим собственным	1	1
220	он всегда	1	1
221	не могла	1	1
222	тем не	1	1
223	время и	2	1
224	от которого	1	1
225	о которой	2	1
226	верит в	1	1
227	же это	1	1
228	прочим и	1	1
229	пор мы	1	1
230	с социализмом	1	1
231	никому не	1	1
232	это конечно	1	1
233	в одну	2	1
234	никто из	1	1
235	об этой	2	1
236	об этом	5	1
237	говорить не	1	1
238	в будущее	1	1
239	заключается в	1	1
240	чтобы он	3	1
241	это не	4	1
242	самым он	1	1
243	в жизни	1	1
244	все равно	1	1
245	не всегда	1	1
246	не противоречат	1	1
247	такой же	1	1
248	одного и	1	1
249	на первый	2	1
250	и личные	1	1
251	что о	1	1
252	на свою	1	1
253	представление о	1	1
254	он принимает	1	1
255	по крайней	1	1
256	нетрудно заметить	1	1
257	всех их	1	1
258	не менее	2	1
259	что эта	1	1
260	это же	1	1
261	только не	1	1
262	в какую-то	1	1
263	не учитывать	1	1
264	это то	1	1
265	между нами	1	1
266	более что	1	1
267	хочет быть	1	1
268	существуют в	1	1
269	было не	1	1
270	этом отношении	1	1
271	вот в	1	1
272	только от	1	1
273	по нашему	3	1
274	в духе	1	1
275	могут быть	1	1
276	похож на	1	1
277	человека в	3	1
278	действительно можно	1	1
279	и это	2	1
280	с ее	1	1
281	свою очередь	1	1
282	но при	1	1
283	в ее	1	1
284	только при	1	1
285	не могло	1	1
286	идет не	1	1
287	роль в	1	1
288	что у	3	1
289	так и	1	1
290	его жизни	1	1
291	собой в	1	1
292	всеми силами	1	1
293	быть может	1	1
294	может в	1	1
295	с тою	1	1
296	с другой	1	1
297	от них	1	1
298	единственно возможной	1	1
299	крайней мере	1	1
300	следить за	1	1
301	по своей	1	1
302	один из	1	1
303	тому назад	1	1
304	в разные	1	1
305	границей и	1	1
306	же он	1	1
307	человека с	2	1
308	большинство русской	1	1
309	в сторону	1	1
310	и у	3	1
311	прямо в	1	1
312	на свое	1	1
313	а это	1	1
314	к своим	1	1
315	мы знаем	2	1
316	несомненно в	1	1
317	и их	1	1
318	в известной	1	1
319	ее не	1	1
320	но которая	1	1
321	к ним	2	1
322	это будет	1	1
323	из двух	1	1
324	связан с	1	1
325	тогда это	1	1
326	о своей	1	1
327	к которому	1	1
328	как же	2	1
329	души и	1	1
330	европейская цивилизация	2	1
331	европы и	1	1
332	и стал	2	1
333	был в	1	1
334	на этот	1	1
335	а за	1	1
336	до конца	1	1
337	с которым	2	1
338	в свете	1	1
339	не об	1	1
340	ближе к	1	1
341	в связи	3	1
342	о себе	3	1
343	с идеями	1	1
344	человека к	1	1
345	по своему	1	1
346	разочарование в	1	1
347	и довольно	1	1
348	между прочим	1	1
349	нем самом	1	1
350	которых он	1	1
351	это как	1	1
352	человек и	1	1
353	тот кто	1	1
354	в те	3	1
355	ее и	1	1
356	у некоторых	1	1
357	бы в	1	1
358	тем более	2	1
359	и все	7	1
360	хотя в	1	1
361	а о	1	1
362	в свою	2	1
363	россия в	1	1
364	что ни	1	1
365	для создания	1	1
366	этого и	1	1
367	они не	1	1
