N	4gram	Tiupa_Anal_1	Marksizm
1	бы то ни было	3	8
2	одного и того же	2	5
3	одни и те же	1	5
4	и не может быть	4	4
5	один и тот же	1	3
6	в то же время	6	3
7	нет и не может	2	2
8	в том числе и	1	2
9	до тех пор пока	1	2
10	на самом же деле	1	2
11	но в то же	2	2
12	одной и той же	1	2
13	какой бы то ни	2	1
14	в большей или меньшей	1	1
15	имеет место лишь в	1	1
16	и та и другая	1	1
17	одна и та же	1	1
18	или во всяком случае	1	1
19	в том что он	2	1
20	не может быть ничего	1	1
21	с этой точки зрения	1	1
