N	2gram	Savitsky_P_1	VrazhdaK
1	не только	17	9
2	и достоевского	2	9
3	в этом	10	8
4	и в	14	8
5	и что	1	8
6	но и	6	7
7	то что	4	7
8	что в	4	7
9	все же	1	6
10	но в	9	6
11	в нем	3	6
12	как и	1	6
13	в котором	4	6
14	и с	2	6
15	в начале	2	6
16	то же	9	5
17	в то	7	5
18	же время	7	5
19	между тем	3	5
20	не было	2	5
21	в россии	3	5
22	и не	12	5
23	г а	1	5
24	в ней	6	4
25	в истории	1	4
26	это не	3	4
27	все это	2	4
28	для нас	2	4
29	уже в	1	4
30	может быть	5	4
31	как бы	4	4
32	так же	1	4
33	он был	1	3
34	с его	1	3
35	в своем	4	3
36	и как	3	3
37	на то	1	3
38	его в	1	3
39	далеко не	1	3
40	и уже	1	3
41	том что	4	3
42	что есть	1	3
43	в русской	4	3
44	и о	5	3
45	в его	2	3
46	в том	9	3
47	давно уже	1	3
48	наряду с	3	3
49	т е	3	3
50	отношения к	2	2
51	в русских	1	2
52	же как	1	2
53	и то	1	2
54	столь же	3	2
55	но как	1	2
56	в эти	1	2
57	и достоевский	1	2
58	человека с	1	2
59	отнюдь не	2	2
60	в известном	1	2
61	и дети	2	2
62	в этой	1	2
63	в себе	3	2
64	в мире	2	2
65	в них	2	2
66	а с	1	2
67	мы знаем	1	2
68	в эту	2	2
69	точки зрения	3	2
70	и ее	1	2
71	с точки	3	2
72	место в	1	2
73	не менее	2	2
74	одна из	2	2
75	никогда не	1	2
76	в момент	1	2
77	и это	2	2
78	на основе	1	2
79	россии в	5	2
80	еще не	1	2
81	а также	4	2
82	тем более	2	2
83	и образы	1	2
84	из них	2	2
85	к ним	1	2
86	как раз	2	2
87	с которым	1	2
88	не может	4	2
89	вместе с	1	2
90	в это	1	2
91	же в	4	2
92	а в	4	2
93	а н	5	2
94	это в	1	2
95	которых не	1	1
96	как известно	1	1
97	от этой	1	1
98	с утверждением	1	1
99	можно говорить	1	1
100	также и	1	1
101	не отмечен	1	1
102	и есть	2	1
103	по преимуществу	1	1
104	из всех	1	1
105	что уже	1	1
106	развитие в	1	1
107	говорить о	2	1
108	в полной	2	1
109	выразилось в	1	1
110	но не	3	1
111	не все	1	1
112	если в	2	1
113	в е	2	1
114	к сожалению	1	1
115	и я	1	1
116	как по	1	1
117	с этим	2	1
118	как к	1	1
119	в –	1	1
120	россии не	1	1
121	в самом	1	1
122	что это	1	1
123	и и	2	1
124	во многих	1	1
125	этот вывод	1	1
126	не могла	1	1
127	да и	2	1
128	при виде	1	1
129	в силу	2	1
130	свои собственные	1	1
131	одно и	1	1
132	он вынул	1	1
133	заключается в	3	1
134	было бы	6	1
135	россия в	3	1
136	в жизни	2	1
137	с большою	1	1
138	в развитии	1	1
139	может идти	1	1
140	вячеслав иванов	1	1
141	в этих	1	1
142	всяком случае	1	1
143	важнее всего	1	1
144	не будем	2	1
145	тем самым	3	1
146	что эта	1	1
147	не имеет	1	1
148	русский народ	2	1
149	также что	1	1
150	нем в	1	1
151	иными словами	1	1
152	более что	1	1
153	на россию	1	1
154	потому что	3	1
155	в каком	1	1
156	могут быть	3	1
157	ли не	1	1
158	мнения о	1	1
159	по характеру	2	1
160	в недрах	2	1
161	гоголя и	1	1
162	не есть	1	1
163	россию и	1	1
164	с ее	1	1
165	в ее	2	1
166	м е	1	1
167	к смерти	1	1
168	на нее	1	1
169	не с	1	1
170	ясно что	1	1
171	было в	2	1
172	живет в	1	1
173	сказалось в	1	1
174	еще в	1	1
175	быть может	6	1
176	внимание к	1	1
177	во всяком	1	1
178	вопросу о	1	1
179	во всех	2	1
180	говорить об	1	1
181	во всей	2	1
182	вслед за	3	1
183	также в	1	1
184	в свете	1	1
185	тех пор	1	1
186	этом смысле	1	1
187	действие в	1	1
188	в качестве	9	1
189	себя в	1	1
190	тем чтобы	1	1
191	в душе	1	1
192	друг друга	1	1
193	каждый из	1	1
194	не просто	1	1
195	из двух	1	1
196	нужно было	2	1
197	в н	1	1
198	с другой	5	1
199	именно в	2	1
200	европы и	1	1
201	прежде всего	3	1
202	что из	2	1
203	не об	1	1
204	нет ничего	1	1
205	в частности	2	1
206	за тем	1	1
207	и никому	1	1
208	того что	2	1
209	к русскому	1	1
210	н и	8	1
211	известном смысле	1	1
212	в условиях	1	1
213	в основном	1	1
214	между прочим	2	1
215	но для	1	1
216	но на	1	1
217	о котором	1	1
218	хотя и	3	1
219	– годах	1	1
220	христа и	1	1
221	еще более	2	1
222	только что	1	1
223	отношении к	5	1
224	только как	1	1
225	другой стороны	1	1
226	они как	1	1
227	к этой	1	1
228	который не	1	1
229	как на	2	1
230	они не	1	1
