N	2gram	Potebnia_M_4	KFilosof
1	может быть	26	43
2	в его	5	39
3	в нем	7	31
4	не может	11	27
5	в бытии	1	26
6	и не	18	26
7	по отношению	10	25
8	и в	23	22
9	в себе	14	21
10	в котором	4	21
11	отношению к	8	21
12	для меня	10	20
13	не есть	9	19
14	и его	2	17
15	в ее	2	17
16	а не	12	17
17	только в	15	16
18	в этом	23	13
19	точки зрения	4	13
20	и это	2	12
21	но не	1	12
22	для него	5	12
23	все эти	3	11
24	в своей	1	11
25	не в	11	11
26	к нему	5	11
27	во всех	1	10
28	в своем	8	10
29	это не	7	10
30	с точки	3	10
31	от себя	1	10
32	все это	5	10
33	из себя	2	10
34	и есть	3	9
35	в их	1	9
36	для нее	1	9
37	бытия и	1	9
38	но и	11	9
39	как бы	5	9
40	и для	2	9
41	и все	4	9
42	лишь в	3	8
43	было бы	8	8
44	если бы	13	8
45	со стороны	3	8
46	не было	12	8
47	жизни и	1	8
48	то что	29	7
49	во всем	1	7
50	на основе	1	7
51	в себя	1	7
52	и здесь	2	7
53	что и	7	7
54	конечно не	2	7
55	в единстве	1	7
56	вовсе не	7	7
57	быть только	1	7
58	я не	2	6
59	отношение к	2	6
60	и я	2	6
61	он не	2	6
62	не значит	2	6
63	в мире	2	6
64	и только	3	6
65	уже не	3	6
66	и их	3	6
67	но это	3	6
68	в смысле	3	6
69	в том	23	6
70	мы имеем	4	5
71	но как	1	5
72	все же	1	5
73	но в	8	5
74	жизнь как	1	5
75	не только	10	5
76	то же	14	5
77	но все	1	5
78	его в	4	5
79	как и	14	5
80	должно быть	5	5
81	что я	11	5
82	от его	2	5
83	но эта	2	5
84	не имеет	5	5
85	никогда не	3	5
86	с ним	5	5
87	именно в	3	5
88	его как	1	5
89	есть лишь	2	5
90	там где	3	5
91	ее и	1	5
92	хотя бы	4	5
93	не знает	1	5
94	себя а	1	4
95	быть в	1	4
96	в чем	1	4
97	при этом	15	4
98	время и	1	4
99	не как	2	4
100	здесь мы	2	4
101	бы быть	1	4
102	входит в	1	4
103	тем самым	4	4
104	к ним	2	4
105	не по	1	4
106	о нем	1	4
107	в каком	4	4
108	с ними	3	4
109	времени и	1	4
110	мира и	1	4
111	между тем	9	4
112	могло бы	1	4
113	в одном	4	4
114	том что	12	4
115	для нас	14	4
116	отношению ко	1	4
117	а в	5	4
118	только как	4	4
119	что в	17	4
120	в своих	2	4
121	самом деле	3	3
122	на самом	3	3
123	должна быть	1	3
124	мы не	8	3
125	что это	7	3
126	слово не	1	3
127	в ней	2	3
128	во мне	1	3
129	еще не	3	3
130	и на	3	3
131	не могу	2	3
132	тем как	2	3
133	но конечно	1	3
134	а следовательно	1	3
135	нет и	1	3
136	независимо от	6	3
137	для которой	1	3
138	ее целом	1	3
139	бы и	5	3
140	бы не	3	3
141	и отношения	1	3
142	для того	6	3
143	и совершенно	1	3
144	из него	2	3
145	ее жизни	1	3
146	в каждом	3	3
147	в другом	1	3
148	нет в	1	3
149	рядом с	1	3
150	когда я	7	3
151	что этот	1	3
152	не менее	5	3
153	тогда когда	8	3
154	ничего не	1	3
155	в некотором	1	3
156	могут быть	7	3
157	меня в	1	3
158	ясно что	1	3
159	с человеком	1	3
160	в виду	3	3
161	о том	8	3
162	того что	14	3
163	быть и	2	3
164	и тем	4	3
165	есть я	1	3
166	тем что	10	3
167	от того	4	3
168	в данный	1	3
169	что не	6	3
170	по своему	2	3
171	сознания и	1	3
172	а все	1	3
173	от него	2	3
