N	3gram	Kanaev_Sov_1	Tragedij
1	то же время	1	5
2	в то же	1	5
3	в отличие от	2	2
4	в данном случае	1	2
5	но все же	1	2
6	в том что	1	2
7	в этом случае	1	1
8	в обоих случаях	1	1
9	но это уже	1	1
10	для чего же	1	1
11	всего необходимо отметить	1	1
12	и не может	1	1
13	это как бы	1	1
14	во всяком случае	2	1
15	и в этом	1	1
16	тем не менее	2	1
17	не могут быть	1	1
18	прежде всего необходимо	1	1
19	необходимо отметить что	1	1
20	в связи с	1	1
21	что при таком	1	1
22	не может быть	4	1
23	в скрытом виде	1	1
24	и все же	1	1
25	что в ней	1	1
26	с самого начала	3	1
27	в самом деле	1	1
28	может быть в	1	1
29	в первом же	1	1
30	сводится только к	1	1
