N	3gram	Nazirov_Tv_2	Marksizm
1	не может быть	3	13
2	в самом деле	2	9
3	и не может	2	9
4	до сих пор	3	8
5	в связи с	1	7
6	в отличие от	2	5
7	с другой стороны	2	5
8	с самого начала	1	4
9	на этот вопрос	2	3
10	в высшей степени	1	3
11	то же время	7	3
12	в то же	7	3
13	в том что	2	3
14	его именно в	1	2
15	нет и не	1	2
16	же как и	1	2
17	в чем же	1	2
18	но при этом	1	2
19	в том числе	1	2
20	в таком случае	2	2
21	является одним из	1	2
22	том числе и	1	2
23	можно было бы	1	2
24	со всех сторон	1	2
25	так же как	2	2
26	но в то	1	2
27	во всяком случае	2	2
28	не могут быть	1	2
29	по отношению к	3	2
30	в свою очередь	1	2
31	это и есть	1	2
32	и прежде всего	1	2
33	в нем нет	1	2
34	художественный образ и	1	2
35	ничего общего с	1	2
36	то все же	1	1
37	о том где	1	1
38	в первой части	2	1
39	там нет и	1	1
40	в одной из	2	1
41	взятая в ее	1	1
42	сами по себе	1	1
43	в наше время	2	1
44	в литературе в	1	1
45	в этой главе	1	1
46	он ни был	1	1
47	но уже в	1	1
48	так сказать в	1	1
49	и ту же	1	1
50	по мере своего	1	1
51	не является только	1	1
52	не зависит от	1	1
53	и должно быть	1	1
54	все же не	2	1
55	переход от одной	1	1
56	может быть понята	1	1
57	это не значит	1	1
58	в целом ряде	1	1
59	в романе не	1	1
60	так и в	2	1
61	другой стороны и	1	1
62	или во всяком	1	1
63	в применении к	1	1
64	у нас не	1	1
65	друг за другом	1	1
66	все это делает	1	1
67	одну и ту	1	1
68	и между ними	1	1
69	может быть в	1	1
70	психологии и в	1	1
71	нуждается в конкретизации	1	1
72	не должен быть	1	1
73	той или иной	1	1
74	и в другом	1	1
