N	3gram	Savitsky_P_1	Istorich
1	и т д	1	24
2	так же как	1	12
3	мы знаем что	1	7
4	и то что	1	5
5	с другой стороны	1	4
6	не может быть	1	4
7	по сравнению с	1	3
8	не только в	4	2
9	никакого сомнения что	1	2
10	в том числе	2	1
11	и не только	2	1
12	но и другие	1	1
13	что в этом	1	1
14	и не может	1	1
15	в северной америке	2	1
16	но и в	2	1
17	мы видим в	1	1
18	совершенно ясно что	1	1
19	за то что	1	1
20	в качестве исторической	1	1
21	нет никакого сомнения	1	1
22	если бы мы	1	1
23	главным образом на	1	1
24	не только как	1	1
25	не в том	1	1
26	и вот как	1	1
27	общения человека с	1	1
28	вместе с тем	1	1
29	и пр есть	1	1
30	то что происходит	1	1
31	мы должны в	1	1
32	и если бы	2	1
33	и тем самым	1	1
34	тем более что	1	1
35	не только это	2	1
36	в большинстве случаев	1	1
37	на пути к	1	1
38	он живет в	1	1
