N	2gram	Vinokur_St_3	Tvorches
1	и в	25	20
2	в году	5	16
3	и т	8	13
4	не только	12	13
5	т д	2	11
6	никогда не	2	11
7	как бы	6	11
8	таким образом	10	10
9	в то	7	10
10	в его	12	10
11	и его	3	9
12	и не	10	9
13	и с	4	8
14	в том	20	8
15	может быть	19	8
16	в этом	24	8
17	прежде всего	10	8
18	но и	9	8
19	то же	5	7
20	это не	7	7
21	же время	3	7
22	наряду с	1	7
23	года в	2	7
24	потому что	5	7
25	не может	7	7
26	xix века	4	7
27	что в	19	7
28	в целом	4	6
29	как и	4	6
30	в своей	4	6
31	что он	19	6
32	так и	5	6
33	в конце	6	6
34	у него	9	6
35	именно в	1	6
36	а не	5	6
37	все это	8	6
38	например в	4	5
39	еще не	2	5
40	и на	6	5
41	но не	2	5
42	все же	4	5
43	в этой	14	5
44	и сам	1	5
45	то есть	2	5
46	о том	8	5
47	в творчестве	3	5
48	но это	4	5
49	так же	1	5
50	мы не	2	4
51	все эти	3	4
52	что они	2	4
53	как в	6	4
54	когда он	1	4
55	но в	5	4
56	не в	6	4
57	в дальнейшем	1	4
58	на его	4	4
59	что она	1	4
60	что у	2	4
61	об этом	5	4
62	соответствии с	1	4
63	показывает что	3	4
64	в черновиках	1	4
65	если бы	4	4
66	а а	6	4
67	ничего не	4	4
68	в духе	2	4
69	в известной	1	4
70	в чем	4	4
71	мы видим	4	4
72	а в	6	4
73	если не	1	4
74	том что	15	4
75	но у	1	4
76	одним из	1	3
77	на западе	1	3
78	по мнению	3	3
79	х годов	2	3
80	с большим	1	3
81	а с	2	3
82	в черновой	2	3
83	в одной	2	3
84	это был	2	3
85	это определение	1	3
86	г а	3	3
87	с чувством	2	3
88	в нем	1	3
89	он не	5	3
90	у пушкина	22	3
91	в плане	2	3
92	в образе	1	3
93	а затем	1	3
94	его в	1	3
95	но уже	1	3
96	в самом	2	3
97	в котором	5	3
98	в их	3	3
99	место в	6	3
100	в которых	2	3
101	своего рода	3	3
102	тем что	19	3
103	одна из	2	3
104	казалось бы	1	3
105	и это	5	3
106	с ним	1	3
107	до сих	2	3
108	между тем	6	3
109	уже не	3	3
110	в начале	4	3
111	для него	3	3
112	в современном	1	3
113	так как	3	3
114	то что	12	3
115	как у	1	3
116	и др	4	3
117	что не	2	3
118	в рассказе	3	3
119	жить без	1	3
120	в свете	1	3
121	вместе с	2	3
122	несколько раз	2	3
123	с этой	3	3
124	сих пор	2	3
125	нет ничего	1	3
126	один из	2	3
127	не является	3	3
128	своих героев	1	3
129	но зато	1	3
130	одной из	2	3
131	в своих	8	3
132	к этому	3	3
133	как известно	1	2
134	ни во	1	2
135	начинается с	1	2
136	самом деле	2	2
137	по преимуществу	1	2
138	говорить о	3	2
139	и он	1	2
140	в ее	1	2
141	нет и	2	2
142	во многом	2	2
143	так что	11	2
144	в истории	1	2
145	нас за	1	2
146	и наконец	3	2
147	но эта	1	2
148	для которого	1	2
149	в которой	4	2
150	из жизни	1	2
151	в литературном	1	2
152	бы не	1	2
153	т п	6	2
154	во многих	2	2
155	так сказать	2	2
156	и если	3	2
157	идей и	1	2
158	в статье	2	2
159	и по	2	2
160	по словам	1	2
161	том же	1	2
162	не считать	1	2
163	говорил что	5	2
164	при помощи	2	2
165	особенно в	1	2
166	известно что	2	2
167	такой же	2	2
168	и еще	1	2
169	в такой	2	2
170	не столько	2	2
171	что я	3	2
172	одном из	1	2
173	точку зрения	2	2
174	не могли	1	2
175	что этот	3	2
176	в устах	4	2
177	этой сцене	1	2
178	не менее	2	2
179	xviii века	1	2
180	как о	2	2
181	на него	1	2
182	родился в	1	2
183	в русской	6	2
184	трагедии в	3	2
185	другой стороны	5	2
186	у нас	4	2
187	и далее	3	2
188	могут быть	2	2
189	ориентировался на	1	2
190	как по	1	2
191	так в	1	2
192	приводит к	1	2
193	в классической	1	2
194	он писал	2	2
195	действующих лиц	4	2
196	и что	3	2
197	не стоит	1	2
198	что его	2	2
199	и только	2	2
200	крайней мере	4	2
201	всяком случае	4	2
202	все время	2	2
203	в литературе	1	2
204	к которому	3	2
205	не случайно	1	2
206	только в	6	2
207	князя и	1	2
208	наше время	1	2
209	и ее	2	2
210	точка зрения	4	2
211	и у	2	2
212	уже в	3	2
213	для анализа	1	2
214	в виде	3	2
215	и других	2	2
216	из них	1	2
217	не так	3	2
218	в одном	1	2
219	вовсе не	2	2
220	давно уже	1	2
221	отходит от	2	2
222	может служить	1	2
223	друг друга	1	2
224	рядом с	1	2
225	с другой	5	2
226	не было	4	2
227	не означает	1	2
228	по крайней	4	2
229	в произведениях	2	2
230	и вообще	1	2
231	в частности	1	2
232	начиная с	2	2
233	так мы	1	2
234	не знал	1	2
235	к жизни	1	2
236	в россии	6	2
237	это его	1	2
238	и тогда	2	2
239	в наше	1	2
240	это уже	1	2
241	связь с	4	2
242	из этого	4	2
243	но эти	1	2
244	во всяком	4	2
245	с новыми	1	1
246	народ в	2	1
247	вряд ли	1	1
248	ту же	1	1
249	речь идет	2	1
250	ставил перед	1	1
251	как его	1	1
252	связана с	4	1
253	не имел	2	1
254	он более	1	1
255	н ф	1	1
256	переход от	1	1
257	и должно	1	1
258	ты и	1	1
259	перед лицом	1	1
260	в первом	1	1
261	поэтому он	1	1
262	из его	7	1
263	представлял себе	2	1
264	видеть в	1	1
265	объясняется и	1	1
266	и за	2	1
267	приходит к	1	1
268	той же	2	1
269	из всех	1	1
270	г в	6	1
271	что если	2	1
272	распространенный в	1	1
273	из своих	1	1
274	этом не	1	1
275	не была	2	1
276	на себя	1	1
277	эпохи в	1	1
278	как я	2	1
279	мы и	1	1
280	то это	1	1
281	первого взгляда	1	1
282	в биографии	2	1
283	в сцене	6	1
284	г к	2	1
285	свою очередь	1	1
286	первоначально он	1	1
287	он был	3	1
288	между собой	1	1
289	быть в	1	1
290	не был	2	1
291	это означало	1	1
292	с его	3	1
293	во всех	2	1
294	этого героя	1	1
295	а тем	1	1
296	отказ от	2	1
297	но как	2	1
298	не все	1	1
299	если в	2	1
300	ответ на	5	1
301	в комедии	1	1
302	в жизни	4	1
303	отношение к	4	1
304	не буду	2	1
305	стал бы	2	1
306	чем же	1	1
307	в рамках	2	1
308	первый этап	1	1
309	автора в	1	1
310	с этим	7	1
311	сей день	1	1
312	и нет	1	1
313	однако не	1	1
314	и как	1	1
315	говорит что	5	1
316	хочет сделать	1	1
317	не являются	1	1
318	его к	2	1
319	и к	4	1
320	с г	1	1
321	еще на	1	1
322	что это	16	1
323	в известном	1	1
324	представляет собой	1	1
325	за это	1	1
326	из этих	6	1
327	думать что	1	1
328	смысл этого	1	1
329	выше было	1	1
330	элементов в	1	1
331	и до	1	1
332	очень важно	1	1
333	на то	5	1
334	в прямом	2	1
335	к исторически	1	1
336	это связано	3	1
337	от которого	1	1
338	о которой	2	1
339	белинского который	1	1
340	трагедия его	1	1
341	и эти	1	1
342	этого вопроса	1	1
343	не к	1	1
344	что нужно	2	1
345	несколько ниже	1	1
346	можно было	1	1
347	в каждом	4	1
348	к традициям	1	1
349	совпадают с	1	1
350	что все	3	1
351	первом из	1	1
352	а по	2	1
353	того или	1	1
354	заключается в	2	1
355	подходит к	1	1
356	смотреть на	1	1
357	было бы	7	1
358	должен был	2	1
359	по себе	1	1
360	я считаю	1	1
361	в ином	1	1
362	ни в	5	1
363	в них	5	1
364	нет в	3	1
365	к которым	1	1
366	стремился к	1	1
367	в реплике	2	1
368	несмотря на	3	1
369	мы видели	1	1
370	жизни но	2	1
371	мы знаем	1	1
372	в развитии	2	1
373	произведение с	1	1
374	должно быть	1	1
375	трагедий в	1	1
376	их на	1	1
377	не мог	2	1
378	в эту	4	1
379	в этих	11	1
380	мы как	1	1
381	в г	12	1
382	во время	3	1
383	какое место	1	1
384	отчасти в	1	1
385	интерес и	1	1
386	начале xix	3	1
387	этой трагедии	4	1
388	был склонен	1	1
389	сам и	1	1
390	если можно	1	1
391	и народ	3	1
392	и о	1	1
393	приблизительно так	1	1
394	сам же	1	1
395	но он	3	1
396	была не	2	1
397	и более	3	1
398	не изменяет	1	1
399	важно лишь	1	1
400	с так	1	1
401	даже в	1	1
402	сам он	2	1
403	нас к	2	1
404	тому что	3	1
405	по мере	1	1
406	вплоть до	1	1
407	место занимает	1	1
408	это чувство	1	1
409	о значении	1	1
410	конце х	1	1
411	л и	1	1
412	классической русской	1	1
413	расчленяется на	2	1
414	дело в	1	1
415	на себе	2	1
416	героев и	1	1
417	важным этапом	1	1
418	которые были	2	1
419	он с	1	1
420	не имеет	2	1
421	этот тип	2	1
422	это совершенно	1	1
423	с большой	1	1
424	но очень	1	1
425	в русском	2	1
426	к ней	4	1
427	у шекспира	5	1
428	присутствие в	1	1
429	же он	1	1
430	со своим	1	1
431	событий и	1	1
432	в области	6	1
433	перед ним	1	1
434	и со	1	1
435	от их	1	1
436	свое собственное	1	1
437	пушкина на	4	1
438	встречается в	1	1
439	является одним	1	1
440	анализа и	1	1
441	к тому	2	1
442	бы он	1	1
443	той или	1	1
444	в поле	1	1
445	не противоречит	1	1
446	на это	2	1
447	быть назван	2	1
448	в применении	1	1
449	должен быть	2	1
450	для себя	1	1
451	году в	1	1
452	представляют собой	1	1
453	своего развития	1	1
454	как мы	2	1
455	трагедию в	1	1
456	на основе	2	1
457	в в	3	1
458	с самого	2	1
459	скромное место	1	1
460	то время	4	1
461	в пределах	1	1
462	второй этап	1	1
463	этот период	1	1
464	здесь он	1	1
465	в келье	2	1
466	ясно что	1	1
467	связан с	3	1
468	что никогда	1	1
469	из писем	1	1
470	которого у	1	1
471	чем у	1	1
472	она была	1	1
473	отмечено что	1	1
474	том как	1	1
475	была завершена	1	1
476	является в	1	1
477	поэтому в	1	1
478	был не	1	1
479	означает что	1	1
480	форме в	1	1
481	образом в	1	1
482	в виду	2	1
483	чтобы иметь	1	1
484	века на	1	1
485	приближается к	1	1
486	произведения как	2	1
487	и здесь	3	1
488	пушкина этот	2	1
489	в другом	3	1
490	на вопрос	3	1
