N	3gram	Nazirov_Tr_1	Formalny
1	то же время	5	8
2	в то же	5	8
3	не может быть	1	5
4	во всяком случае	1	4
5	так и в	3	4
6	и т п	1	4
7	и до конца	1	3
8	смысле этого слова	1	3
9	и не может	1	2
10	в своей книге	1	2
11	как и все	1	2
12	и в частности	2	2
13	в применении к	1	2
14	но в то	2	2
15	и в этом	1	2
16	начала и до	1	2
17	в связи с	1	2
18	не только не	1	2
19	с начала и	1	2
20	в чем же	1	1
21	хотя бы и	1	1
22	по-видимому не было	1	1
23	в том что	2	1
24	вместо того чтобы	1	1
25	и в истории	1	1
26	в самой природе	1	1
27	отнюдь не является	1	1
28	создается впечатление что	1	1
29	в данном случае	2	1
30	в высшей степени	1	1
31	в отличие от	2	1
32	по сравнению с	1	1
33	и как бы	2	1
34	в той же	1	1
35	между этими двумя	2	1
36	но и ко	1	1
37	с самого начала	1	1
38	так обстоит дело	1	1
39	но все же	2	1
40	как своего рода	1	1
41	все в этом	1	1
42	в этом романе	1	1
43	к тому что	1	1
44	тем не менее	1	1
