N	2gram	Losev_Dial_2	Sovremen
1	не может	9	17
2	может быть	20	12
3	точки зрения	12	12
4	таким образом	4	11
5	мы не	1	9
6	в каждом	2	8
7	в этом	8	7
8	и в	19	7
9	мы можем	1	6
10	ничего не	3	6
11	как и	10	6
12	и не	30	6
13	в результате	2	6
14	все эти	2	5
15	что же	2	5
16	прежде всего	8	5
17	с точки	8	5
18	в дальнейшем	1	4
19	в зависимости	2	4
20	вопрос о	3	4
21	зависимости от	2	4
22	нет и	1	4
23	мы должны	2	4
24	в том	14	4
25	в целом	1	4
26	если мы	2	4
27	из них	3	4
28	же это	4	4
29	так как	14	4
30	не только	19	4
31	как бы	14	4
32	вместе с	2	4
33	это не	10	4
34	их в	2	4
35	а в	4	4
36	жизни и	6	4
37	он может	2	3
38	с самого	2	3
39	то же	12	3
40	ясно что	4	3
41	но мы	2	3
42	может не	4	3
43	отнюдь не	6	3
44	все же	4	3
45	еще не	4	3
46	но в	2	3
47	мы получаем	2	3
48	он в	1	3
49	в этой	3	3
50	в себе	15	3
51	уже в	4	3
52	как он	4	3
53	мы получим	1	3
54	что она	14	3
55	ведь это	3	3
56	в одном	4	3
57	в конце	2	3
58	в нем	10	3
59	при этом	4	3
60	из двух	1	3
61	и мы	3	3
62	было бы	3	3
63	а не	16	3
64	и потому	5	3
65	мы называем	1	3
66	не в	8	3
67	все это	4	3
68	самого начала	2	3
69	а все	1	3
70	одна из	1	3
71	и все	12	3
72	в системе	2	3
73	поэтому мы	1	3
74	состоит из	1	3
75	и к	7	3
76	когда мы	3	3
77	отличается от	1	3
78	в области	2	3
79	как известно	2	2
80	как мы	3	2
81	и есть	4	2
82	тем же	2	2
83	приводит к	1	2
84	все те	1	2
85	времени и	9	2
86	на этом	2	2
87	из одного	1	2
88	и даже	14	2
89	говорить о	5	2
90	только так	1	2
91	говорим о	1	2
92	и что	5	2
93	и во	1	2
94	самом деле	4	2
95	в которую	1	2
96	в его	1	2
97	от обстоятельств	1	2
98	может иметь	3	2
99	с этим	3	2
100	дает нам	1	2
101	быть и	4	2
102	только один	1	2
103	в самом	5	2
104	к чему	1	2
105	в которой	2	2
106	не будем	1	2
107	что это	10	2
108	из этих	1	2
109	с одной	2	2
110	и пространства	2	2
111	со всеми	1	2
112	и они	2	2
113	уже не	3	2
114	то и	1	2
115	так сказать	1	2
116	с другом	1	2
117	в виде	2	2
118	на его	2	2
119	тем не	2	2
120	мы знаем	1	2
121	всяком случае	2	2
122	у него	1	2
123	принципиально не	1	2
124	и изменение	1	2
125	и по	4	2
126	отличие от	1	2
127	ее на	1	2
128	но все	2	2
129	то ни	1	2
130	что все	1	2
131	значение в	1	2
132	или иной	1	2
133	в живом	1	2
134	в некоторых	2	2
135	и пр	5	2
136	в один	3	2
137	свою собственную	1	2
138	что такое	3	2
139	из которых	1	2
140	знаем что	1	2
141	вне времени	2	2
142	это за	3	2
143	возможность и	1	2
144	друг с	1	2
145	форма в	1	2
146	же мы	3	2
147	не менее	3	2
148	можно назвать	1	2
149	в науке	2	2
150	мы видим	2	2
151	тот же	1	2
152	представлять себе	2	2
153	своего предмета	1	2
154	совершенно не	7	2
155	не могут	4	2
156	могут быть	4	2
157	же самое	2	2
158	что в	7	2
159	если же	1	2
160	в таком	4	2
161	во всяком	2	2
162	должен быть	1	1
163	и это	5	1
164	жизнь человека	1	1
165	оно может	1	1
166	потом и	1	1
167	своего развития	1	1
168	времени не	1	1
169	человека и	2	1
170	с ее	2	1
171	живое существо	2	1
172	может совершенно	1	1
173	на самом	2	1
174	это и	3	1
175	цельный организм	1	1
176	между двумя	1	1
177	по преимуществу	1	1
178	и до	1	1
179	и органами	1	1
180	от всяких	1	1
181	не окажется	1	1
182	в мире	2	1
183	быть действительно	1	1
184	только тот	1	1
185	мы уже	8	1
186	те же	1	1
187	их и	1	1
188	есть не	7	1
189	в гуще	1	1
190	раз он	1	1
191	принадлежит только	1	1
192	здесь нет	1	1
193	во многом	1	1
194	мы имеем	3	1
195	же как	3	1
196	еще в	1	1
197	когда в	1	1
198	это только	3	1
199	мы в	2	1
200	что уже	2	1
201	же просто	1	1
202	и вообще	6	1
203	что иное	3	1
204	и действительно	1	1
205	мы всегда	1	1
206	же необходимо	1	1
207	и ни	1	1
208	и живой	1	1
209	и должно	2	1
210	или как	3	1
211	нечто совсем	1	1
212	с тою	1	1
213	кто же	1	1
214	того же	1	1
215	мы ее	1	1
216	о том	5	1
217	в ней	2	1
218	и та	6	1
219	одного из	1	1
220	она всегда	1	1
221	на них	1	1
222	он сам	1	1
223	эти качества	1	1
224	все его	3	1
225	иное как	3	1
226	быть в	4	1
227	же время	5	1
228	бы то	1	1
229	его в	3	1
230	мира мы	1	1
231	во всех	2	1
232	науке и	1	1
233	природы и	1	1
234	различия между	2	1
235	как нет	1	1
236	данном случае	2	1
237	совсем не	1	1
238	но не	6	1
239	мы будем	1	1
240	но как	5	1
241	точка зрения	1	1
242	если в	2	1
243	а потому	2	1
244	во всей	1	1
245	крайней мере	9	1
246	может стать	1	1
247	все время	3	1
