1	в том что	4	7
2	более или менее	4	5
3	в то же	4	5
4	с другой стороны	5	5
5	той или иной	1	4
6	в этом смысле	5	3
7	того или иного	5	3
8	тем не менее	12	3
9	с другими знаками	1	3
10	имеем в виду	2	3
11	мы имеем в	1	3
12	не может быть	3	3
13	можно сказать что	3	3
14	отношение знака к	4	3
15	так или иначе	6	3
16	и то же	1	3
17	в том числе	2	2
18	а с другой	1	2
19	тот или иной	4	2
20	в той или	1	2
21	в данном контексте	1	2
22	сама по себе	4	2
23	для того чтобы	2	2
24	но и любые	1	2
25	с одной стороны	5	2
26	может быть и	2	2
27	ни одно слово	1	2
28	по своему смыслу	1	1
29	на первый взгляд	1	1
30	входит в состав	1	1
31	содержит в себе	2	1
32	можно даже сказать	1	1
33	что иное как	3	1
34	в одном случае	1	1
35	не совпадает с	2	1
36	не является ни	1	1
37	как один из	1	1
38	что даже в	1	1
39	то же самое	5	1
40	больше и больше	1	1
41	обратим внимание на	1	1
42	отнюдь не в	1	1
43	то ни было	1	1
44	именно такого рода	1	1
45	не что иное	3	1
46	не только такие	1	1
47	и в то	1	1
48	друг от друга	2	1
49	в связи с	5	1
50	один из видов	1	1
51	только о том	1	1
52	с самим собою	1	1
53	таким образом что	1	1
54	не могли бы	1	1
55	было и не	1	1
56	том или ином	2	1
57	только в условиях	1	1
58	по крайней мере	6	1
59	собственно говоря только	1	1
60	в этом случае	7	1
61	то или иное	2	1
62	а в том	1	1
63	в том случае	2	1
64	так же как	1	1
65	каждая из этих	1	1
66	том числе и	2	1
67	том случае если	1	1
68	в частности в	2	1
69	можно говорить о	2	1
70	точно так же	3	1
71	том о чем	1	1
72	может быть определен	1	1
73	есть не что	3	1
74	это было бы	1	1
75	в том или	1	1
76	в известном смысле	1	1
77	по содержанию своему	2	1
78	ту или иную	1	1
79	в то время	1	1
80	также еще и	1	1
81	о том о	1	1
82	та или иная	2	1
83	а в то	1	1
84	своими корнями в	1	1
85	имея в виду	2	1
86	в таком случае	10	1
87	и прежде всего	2	1
88	бы то ни	2	1
89	определенного смысла и	1	1
90	и тем самым	1	1
91	в себе в	2	1
92	иметь в виду	1	1
93	подобно тому как	2	1
94	однако и в	1	1
95	о том что	14	1
96	или иной мере	1	1
97	тоже является знаком	1	1
98	момент для понимания	1	1
99	еще не есть	2	1
100	это и есть	2	1
101	отношений которые в	1	1
102	семантики лингвистических единиц	1	1
103	не все что	1	1
104	в этих случаях	1	1
105	в настоящее время	16	1
106	заключается в том	2	1
107	только то что	3	1
108	уходит своими корнями	1	1
