N	2gram	Bakhtin_Fr_2	UchenyiS
1	и в	49	14
2	а не	1	10
3	не только	17	10
4	прежде всего	19	8
5	и не	15	8
6	не может	7	7
7	в этом	15	7
8	то что	6	7
9	может быть	5	6
10	то же	7	5
11	в художественном	2	5
12	все это	9	5
13	хотя бы	1	5
14	перестает быть	2	5
15	художественного творчества	1	5
16	с другой	4	4
17	но и	13	4
18	в их	2	4
19	в этой	10	4
20	конечно не	1	4
21	вряд ли	2	3
22	и то	1	3
23	это не	1	3
24	было бы	3	3
25	как и	11	3
26	для этого	1	3
27	в частности	1	3
28	в своей	5	3
29	и т.д	2	3
30	в то	6	3
31	все же	7	3
32	но в	4	3
33	формы в	1	3
34	же время	6	3
35	в области	4	3
36	другой стороны	3	3
37	для него	9	3
38	не о	1	3
39	что все	1	2
40	одним из	2	2
41	и с	6	2
42	художественном произведении	1	2
43	до сих	4	2
44	самом деле	1	2
45	художественных произведений	1	2
46	в буквальном	1	2
47	в итоге	1	2
48	должна быть	1	2
49	превращается в	3	2
50	о чем	3	2
51	на эту	2	2
52	если бы	1	2
53	ничего не	2	2
54	если не	1	2
55	том что	4	2
56	материал для	1	2
57	но даже	2	2
58	мы и	1	2
59	меньшей степени	3	2
60	литературы и	2	2
61	художественном творчестве	1	2
62	с его	5	2
63	но не	5	2
64	в противовес	1	2
65	в его	18	2
66	по существу	2	2
67	что и	1	2
68	конце концов	1	2
69	сих пор	4	2
70	но это	2	2
71	в том	3	2
72	это уже	1	2
73	работы по	1	2
74	и для	1	2
75	что он	3	2
76	в себе	4	2
77	в самом	3	2
78	и у	1	2
79	только в	13	2
80	не в	1	2
81	все они	1	2
82	не есть	1	2
83	этом отношении	3	2
84	еще ничего	1	2
85	всех этих	3	2
86	не могут	1	2
87	могут быть	2	2
88	в конце	2	2
89	а о	1	2
90	как раз	1	2
91	тем что	4	2
92	таким образом	7	2
93	даже и	2	2
94	для себя	1	1
95	и это	3	1
96	гораздо больше	1	1
97	литературы а	1	1
98	об этом	1	1
99	связанных с	3	1
100	не делает	1	1
101	человека и	3	1
102	то есть	32	1
103	в виду	3	1
104	говорить не	1	1
105	значительной мере	1	1
106	входит в	1	1
107	первую очередь	1	1
108	есть язык	1	1
109	и прежде	2	1
110	или меньшей	3	1
111	в произведении	2	1
112	в пределах	2	1
113	и др	9	1
114	что для	3	1
115	никогда не	5	1
116	к созданию	1	1
117	но прежде	3	1
118	этот и	1	1
119	художественное творчество	1	1
120	так и	6	1
121	сводить к	1	1
122	одной стороны	3	1
123	той же	1	1
124	относится к	5	1
125	до конца	2	1
126	в храме	1	1
127	с тем	1	1
128	мы имеем	1	1
129	место и	1	1
130	и техники	1	1
131	такое понимание	1	1
132	именно этот	1	1
133	была уже	1	1
134	и глубина	1	1
135	он становится	1	1
136	и даже	2	1
137	метода в	2	1
138	приемы и	1	1
139	можно сказать	2	1
140	не вполне	1	1
141	вся система	1	1
142	в г	3	1
143	о нем	1	1
144	этой же	1	1
145	выхода в	1	1
146	как на	4	1
147	о том	3	1
148	в ней	2	1
149	и потому	5	1
150	относятся к	1	1
151	почти не	1	1
152	в котором	1	1
153	в кавычки	1	1
154	он был	2	1
155	в различных	1	1
156	из которых	1	1
157	в значительной	3	1
158	и созданное	1	1
159	в течение	3	1
160	не самый	1	1
161	пишет в	1	1
162	он может	1	1
163	бы в	1	1
164	не входит	1	1
165	того что	1	1
166	их в	3	1
167	у сервантеса	1	1
168	друг с	1	1
169	на его	2	1
170	это значит	1	1
171	что этот	1	1
172	и единого	1	1
173	за пределы	2	1
174	на то	2	1
175	литературных и	1	1
176	и вся	1	1
177	она не	1	1
178	еще раз	2	1
179	этом случае	1	1
180	независимо от	1	1
181	литературы как	1	1
182	большей или	3	1
183	в своем	5	1
184	от утверждения	2	1
185	в большей	3	1
186	и как-то	1	1
187	и все	3	1
188	того как	2	1
189	что только	2	1
190	вне его	1	1
191	этой тенденции	1	1
192	произведений и	1	1
193	тот же	5	1
194	на своем	1	1
195	и действительно	1	1
196	не существует	1	1
197	в которой	1	1
198	на большую	1	1
199	больше чем	1	1
200	он пытается	1	1
201	не было	4	1
202	он в	1	1
203	тогда когда	1	1
204	с одной	3	1
205	в качестве	2	1
206	но именно	3	1
207	приобретает характер	1	1
208	вообще в	1	1
209	мировоззрения и	1	1
210	с новой	1	1
211	что по	1	1
212	литературы в	2	1
213	далеко не	3	1
214	имеем в	2	1
215	но также	1	1
216	наша задача	1	1
217	же в	3	1
218	и всей	1	1
219	в виде	1	1
220	таков прежде	1	1
221	не столь	1	1
222	в нем	9	1
223	связанные с	2	1
224	с другом	1	1
225	но если	1	1
226	он не	1	1
227	сказать что	6	1
228	только как	1	1
229	не связанных	1	1
230	состоит из	1	1
231	одно из	1	1
232	в первую	2	1
233	равно как	1	1
234	он и	1	1
235	этот процесс	4	1
236	правда не	1	1
237	в свое	4	1
238	но он	6	1
239	у него	2	1
240	мы можем	2	1
241	всего что	2	1
242	ее в	2	1
243	него уже	1	1
244	и эта	2	1
245	это в	2	1
246	а это	1	1
247	к этому	1	1
248	что в	2	1
249	все что	2	1
250	бы это	1	1
