N	2gram	Trubetskoy_1	BTomashe
1	у нас	1	3
2	и не	8	2
3	в ней	1	2
4	больше чем	2	2
5	все это	6	2
6	со всем	1	1
7	во всяком	6	1
8	с другой	8	1
9	совершенно не	1	1
10	в своей	1	1
11	по крайней	5	1
12	всяком случае	6	1
13	и о	3	1
14	в области	9	1
15	и ее	1	1
16	на которой	1	1
17	не вполне	3	1
18	в эпоху	7	1
19	и в	26	1
20	так и	6	1
21	крайней мере	5	1
22	что все	4	1
23	всякий интерес	1	1
24	и нет	3	1
25	не было	2	1
26	и во	1	1
27	кроме того	1	1
28	было бы	1	1
29	одной из	5	1
30	далеко не	4	1
31	и потому	6	1
32	в значительной	3	1
33	все же	6	1
34	его не	2	1
35	и более	1	1
36	говорить не	1	1
37	прежде всего	2	1
38	что в	9	1
39	таким образом	22	1
40	еще не	2	1
41	не только	10	1
42	в данном	1	1
43	не следует	1	1
44	и на	2	1
45	другой стороны	1	1
46	тем более	1	1
47	а не	5	1
