N	3gram	Bakhtin_Pr_2	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	в связи с	1	3
4	он не только	1	2
5	с точки зрения	8	2
6	в письме к	2	2
7	но в то	3	2
8	не может быть	4	2
9	в том что	1	2
10	а между тем	1	1
11	самим собой в	1	1
12	а следовательно и	1	1
13	жития великого грешника	1	1
14	в этом смысле	2	1
15	достоевского а в	1	1
16	я очень хорошо	1	1
17	в том же	1	1
18	достоевский прежде всего	1	1
19	до сих пор	7	1
20	и не может	4	1
21	в романе достоевского	1	1
22	в той же	1	1
23	что в нем	1	1
24	среди них он	1	1
25	по крайней мере	1	1
26	может быть и	2	1
27	одно и то	2	1
28	о том как	1	1
29	ну что ж	3	1
30	его отношения к	1	1
31	о том же	2	1
32	и что он	1	1
33	в конце концов	2	1
34	и то же	2	1
35	но при этом	2	1
36	каждый из них	1	1
37	все же не	1	1
38	служит для него	1	1
39	во всяком случае	1	1
40	с другой стороны	3	1
41	как бы в	4	1
42	о нем в	1	1
43	тем не менее	2	1
44	что как раз	1	1
45	у него в	1	1
46	в то время	2	1
47	рассказ у тургенева	1	1
48	о том что	1	1
49	не только не	1	1
50	на этот раз	1	1
51	но в этом	1	1
52	еще один пример	1	1
53	не с точки	1	1
54	они как бы	1	1
55	на то что	2	1
56	письме к брату	1	1
57	к страхову в	1	1
58	рассматривать в связи	1	1
59	и все что	1	1
