N	4gram	Vinokur_St_1	Hudozhes
1	в то же время	4	4
2	только в том что	1	2
3	о том что в	1	2
4	дело не только в	1	2
5	не только в том	1	2
6	и в то же	1	2
7	мы имеем дело с	1	1
8	и т п по	1	1
9	в самом деле не	1	1
10	в одном из них	1	1
11	так же как и	1	1
12	во что бы то	1	1
13	и в этом отношении	1	1
14	бы то ни стало	1	1
15	и в самом деле	2	1
16	в том что в	2	1
17	дело в том что	4	1
18	одних и тех же	1	1
19	что бы то ни	1	1
20	в том числе и	2	1
21	в то время как	1	1
22	но с другой стороны	2	1
23	после того как он	1	1
24	заключается в том что	2	1
25	и в этом случае	2	1
26	никогда и не было	1	1
