N	3gram	Tiupa_Lite_2	Psycholo
1	для того чтобы	1	19
2	в том что	5	12
3	все то что	1	11
4	о том что	2	10
5	то же самое	1	6
6	к тому что	1	5
7	на самом деле	1	5
8	с точки зрения	3	4
9	что он не	1	4
10	можно было бы	1	4
11	в том чтобы	3	3
12	в первый раз	2	3
13	в конце концов	1	3
14	и т п	2	3
15	за то что	2	3
16	с одной стороны	6	3
17	тех пор пока	1	2
18	во всех этих	1	2
19	вместе с тем	1	2
20	с другой стороны	4	2
21	что может быть	1	2
22	может быть это	1	2
23	что в ней	1	2
24	не только не	1	2
25	речь идет о	3	2
26	до тех пор	1	2
27	в сущности говоря	1	2
28	и в сущности	1	1
29	чтобы извлечь из	1	1
30	по отношению к	3	1
31	подобно тому как	2	1
32	что не может	1	1
33	мы не можем	1	1
34	бы то ни	1	1
35	только то что	1	1
36	из того что	1	1
37	то же время	9	1
38	все той же	1	1
39	и не может	1	1
40	с этой точки	1	1
41	у него нет	1	1
42	при таком взгляде	1	1
43	то ни было	1	1
44	и в то	1	1
45	и не было	1	1
46	а с другой	1	1
47	слова и когда	1	1
48	в свою очередь	1	1
49	я не могу	1	1
50	в целом ряде	1	1
51	тем что в	1	1
52	органической связи с	1	1
53	при этом как	1	1
54	вместе с ним	1	1
55	не может быть	7	1
56	имел в виду	1	1
57	ничего общего с	1	1
58	когда речь идет	1	1
59	то есть в	1	1
60	этой точки зрения	1	1
61	в конечном счете	5	1
62	в то же	9	1
63	место в этом	1	1
64	например с точки	1	1
65	быть не может	1	1
