N	2gram	Vinokur_St_2	Narrotol
1	не только	19	32
2	может быть	2	25
3	но и	19	23
4	в качестве	5	21
5	и не	9	20
6	и в	29	19
7	в том	27	18
8	в этом	21	17
9	не в	4	14
10	в частности	4	14
11	том что	27	14
12	представляет собой	1	12
13	тогда как	2	12
14	своего рода	5	12
15	а не	5	12
16	то что	11	11
17	а в	1	11
18	точки зрения	5	10
19	не может	2	10
20	при этом	2	9
21	так и	9	9
22	в его	13	9
23	со стороны	2	9
24	в себе	2	8
25	с другой	4	8
26	не является	3	8
27	героя в	1	8
28	еще не	1	7
29	по отношению	1	7
30	как в	3	7
31	все же	6	7
32	времени и	4	7
33	как и	2	7
34	к тому	10	7
35	а также	2	7
36	такого рода	2	7
37	ни для	1	7
38	с его	2	6
39	но не	3	6
40	точка зрения	1	6
41	в той	5	6
42	о том	17	6
43	что он	13	6
44	именно в	4	6
45	как это	2	6
46	отношению к	1	6
47	том числе	1	6
48	но в	8	6
49	отличие от	2	5
50	и как	2	5
51	в этой	2	5
52	тому же	3	5
53	в отличие	2	5
54	по себе	3	5
55	в основе	1	5
56	и его	6	5
57	нуждается в	1	5
58	в форме	1	5
59	казалось что	1	5
60	в данном	2	5
61	можно сказать	1	5
62	речь идет	4	4
63	данном случае	1	4
64	то же	2	4
65	здесь не	1	4
66	за собой	1	4
67	в нем	4	4
68	в принципе	1	4
69	но все	7	4
70	и с	4	4
71	было бы	5	4
72	и тем	1	4
73	не мог	3	4
74	связи с	4	4
75	не столько	7	4
76	те же	1	4
77	одного из	1	4
78	же время	1	4
79	во втором	1	4
80	только в	2	4
81	хотя бы	3	4
82	у него	1	4
83	в особенности	2	4
84	прежде всего	5	4
85	если не	2	4
86	как бы	5	4
87	да и	1	4
88	отличается от	1	4
89	же в	1	4
90	одной из	3	4
91	сказать что	2	4
92	другой стороны	3	4
93	это и	1	3
94	в первом	1	3
95	же как	3	3
96	в сущности	1	3
97	и он	3	3
98	в ней	7	3
99	и на	6	3
100	бы то	2	3
101	этого эпизода	1	3
102	в ее	2	3
103	что они	2	3
104	как говорит	2	3
105	хотя и	4	3
106	когда он	1	3
107	что это	3	3
108	уже в	1	3
109	из этих	1	3
110	он не	9	3
111	то ни	2	3
112	не будет	1	3
113	особенно в	2	3
114	ни в	3	3
115	себя внимание	2	3
116	тем не	2	3
117	не менее	3	3
118	в то	2	3
119	тем что	3	3
120	одна из	1	3
121	на него	1	3
122	никогда не	3	3
123	на себя	3	3
124	обращает на	3	3
125	этом отношении	9	3
126	как мы	1	3
127	свою очередь	1	3
128	на том	1	3
129	не с	1	3
130	столь же	1	3
131	между тем	5	3
132	один из	1	3
133	из них	3	3
134	не о	1	3
135	и даже	3	3
136	даже не	1	3
137	или иначе	1	3
138	в свою	1	3
139	а с	3	3
140	как будто	1	3
141	не существует	1	3
142	что в	19	3
143	будто бы	1	3
144	ни было	2	3
145	жизни в	1	3
146	жизни и	1	3
147	как известно	2	2
148	одним из	6	2
149	например в	3	2
150	и потому	2	2
151	самом деле	3	2
152	идет о	3	2
153	к другому	1	2
154	и до	1	2
155	который в	1	2
156	говорить о	1	2
157	он сам	1	2
158	но как	1	2
159	не то	3	2
160	отношение к	1	2
161	нет и	2	2
162	независимо от	1	2
163	что именно	2	2
164	в своем	9	2
165	что касается	1	2
166	в полном	3	2
167	более или	2	2
168	точкой зрения	1	2
169	так или	1	2
170	все эти	2	2
171	в известном	3	2
172	и тот	1	2
173	роль в	1	2
174	например как	1	2
175	себя и	1	2
176	не как	1	2
177	значительной степени	2	2
178	различие между	1	2
179	а по	1	2
180	для своей	2	2
181	зрения на	1	2
182	его в	2	2
183	истории и	2	2
184	несмотря на	2	2
185	или менее	2	2
186	и сейчас	3	2
187	с точки	2	2
188	при всех	1	2
189	в соборе	1	2
190	даже в	2	2
191	рассказе о	1	2
192	вплоть до	1	2
193	она не	1	2
194	в обоих	3	2
195	которого он	1	2
196	не могло	3	2
197	не имеет	2	2
198	ничего не	4	2
199	при всем	1	2
200	году как	1	2
201	как раз	8	2
202	что на	3	2
203	оно не	3	2
204	утверждать что	2	2
205	на другой	1	2
206	в пределах	1	2
207	что у	4	2
208	можно было	1	2
209	или в	1	2
210	было в	1	2
211	во второй	1	2
212	о своей	2	2
213	со словами	1	2
214	в значительной	2	2
215	известном смысле	1	2
216	он уже	1	2
217	одно из	1	2
218	для него	4	2
219	сами по	2	2
220	не случайно	1	2
221	представляют собой	1	2
222	одну из	1	2
223	к которому	1	2
224	и др	2	2
225	говорит о	2	2
226	не было	3	2
227	не на	2	2
228	его как	2	2
229	наконец в	3	2
230	о чем	5	2
231	на чем	1	2
232	по существу	2	2
233	только о	2	2
234	вокруг него	1	2
235	и для	1	2
236	в связи	1	2
237	у нее	1	2
238	в результате	2	2
239	в двух	1	2
240	и все	1	2
241	к самому	1	2
242	между ними	1	2
243	совершенно не	2	2
244	в какой	2	2
245	так же	3	2
246	в таком	1	2
247	точно так	1	2
248	они не	2	2
249	также и	2	1
250	того же	2	1
251	жил в	1	1
252	на самом	3	1
253	думал о	2	1
254	них как	1	1
255	порой даже	1	1
256	за все	1	1
257	характерное для	1	1
258	отношения между	1	1
259	др в	1	1
260	в какой-то	1	1
261	едва ли	1	1
262	действительности и	1	1
263	в году	3	1
264	по его	3	1
265	им самим	1	1
266	бы уже	1	1
267	число таких	1	1
268	есть нечто	1	1
269	совпадает с	1	1
270	больше всего	2	1
271	о возможности	1	1
272	х годов	1	1
273	в изложении	1	1
274	мы и	1	1
275	которое в	1	1
276	как не	1	1
277	одного слова	1	1
278	о роли	1	1
279	сам по	1	1
280	пребывания в	2	1
281	к своему	2	1
282	царем и	3	1
283	столько же	3	1
284	в веке	1	1
285	этот текст	1	1
286	к месту	1	1
287	в чем	1	1
288	автора есть	1	1
289	по своему	2	1
290	совершенно особое	1	1
291	иметь в	3	1
292	совсем не	1	1
293	могло быть	3	1
294	и который	2	1
295	о смерти	1	1
296	только потому	2	1
297	перед глазами	1	1
298	при решении	1	1
299	теория литературного	1	1
300	всего к	1	1
301	мере в	2	1
302	другому не	1	1
303	узнает о	1	1
304	что как	1	1
305	не сливаются	1	1
306	как нам	1	1
307	нельзя было	1	1
308	и к	4	1
309	поэтому и	1	1
310	характер как	1	1
311	в самом	7	1
312	и придает	1	1
313	идет не	1	1
314	а во-вторых	1	1
315	формы в	1	1
316	следует понимать	1	1
317	не оставляет	1	1
318	с фактической	2	1
319	данном контексте	1	1
320	всем его	1	1
321	будто и	1	1
322	из его	2	1
323	на его	2	1
324	силу и	1	1
325	и богатое	1	1
326	одному из	1	1
327	еще раньше	1	1
328	свет в	1	1
329	в первую	1	1
330	в понимании	1	1
331	фактической стороны	1	1
332	отношений между	3	1
333	они свидетельствуют	1	1
334	том чтобы	1	1
335	новое и	1	1
336	свое время	1	1
337	его от	1	1
338	и по	3	1
339	на этом	1	1
340	от других	1	1
341	таким образом	10	1
342	составной частью	1	1
343	в совершенно	1	1
344	в другом	4	1
345	об этом	6	1
346	была в	1	1
347	входя в	1	1
348	первую очередь	1	1
349	с другими	1	1
350	только там	1	1
351	этом смысле	1	1
352	что один	1	1
353	должен был	4	1
354	но именно	1	1
355	но уже	1	1
356	в них	2	1
357	жизни то	1	1
358	а за	1	1
359	он и	1	1
360	мы видели	1	1
361	с такой	1	1
362	мы не	1	1
363	в развитии	1	1
364	в один	2	1
365	два слова	2	1
366	в котором	7	1
367	в их	3	1
368	нет возможности	1	1
369	к одному	1	1
370	как произведение	2	1
371	место в	1	1
372	это разные	1	1
373	на свою	1	1
374	не представляется	2	1
375	от его	2	1
376	последовательности в	1	1
377	особое место	1	1
378	но он	3	1
379	в россии	3	1
380	через посредство	1	1
381	что было	2	1
382	и более	2	1
383	не могли	2	1
384	в конце	2	1
385	том же	2	1
386	что этот	2	1
387	и то	1	1
388	отметить что	2	1
389	может служить	1	1
390	дело не	2	1
391	принадлежат к	1	1
392	дело в	4	1
393	кого из	1	1
394	в процессе	2	1
395	в русской	5	1
396	материала в	1	1
397	что ей	1	1
398	это еще	2	1
399	для всего	1	1
400	этих двух	1	1
401	к концу	1	1
402	к ней	1	1
403	потому что	9	1
404	свидетельствуют о	2	1
405	на всем	2	1
406	в книге	1	1
407	не по	2	1
408	было не	1	1
409	как живая	1	1
410	в области	2	1
411	ему не	2	1
412	а как	4	1
413	у нас	3	1
414	возражает против	1	1
415	не могут	1	1
416	чтобы сделать	2	1
417	для такого	1	1
418	что оно	1	1
419	настроений в	1	1
420	но также	4	1
421	из монастыря	1	1
422	они и	1	1
423	от элементов	1	1
424	для кого	1	1
425	все лица	1	1
426	у себя	1	1
427	что все	1	1
428	в виду	7	1
429	слава богу	1	1
430	и сами	1	1
431	действующие лица	3	1
432	и от	1	1
433	только таким	1	1
434	мысль о	1	1
435	а когда	1	1
436	представляется возможным	2	1
437	лучше сказать	2	1
438	был всем	1	1
439	в классической	2	1
440	слова а	1	1
441	стоят в	1	1
442	и совершенно	1	1
443	и сам	2	1
444	к его	1	1
445	тот же	1	1
446	на них	1	1
447	если бы	2	1
448	и вообще	2	1
449	к языку	1	1
450	и здесь	3	1
451	внимание на	4	1
452	голоса в	1	1
453	и во	1	1
454	изложенной в	1	1
455	которых в	1	1
456	были слабые	1	1
