N	3gram	Tiupa_Anal_2	Problemy
1	с точки зрения	2	8
2	по отношению к	4	5
3	то же время	2	5
4	с самим собою	1	5
5	в то же	2	5
6	в отличие от	2	4
7	сама по себе	1	4
8	не может быть	1	4
9	друг с другом	1	4
10	в самом деле	1	4
11	более или менее	1	3
12	можно было бы	2	3
13	в эту минуту	1	3
14	ведь и сам	1	3
15	к тому же	4	3
16	с другой стороны	2	3
17	той или иной	3	3
18	с самим собой	1	3
19	никак не может	1	3
20	как и в	3	3
21	а затем и	1	2
22	в этом смысле	2	2
23	как раз и	1	2
24	с оглядкой на	1	2
25	на этот вопрос	1	2
26	в том или	2	2
27	в отношении к	1	2
28	и то же	1	2
29	одно и то	1	2
30	тем не менее	3	2
31	и в словах	1	2
32	о том же	1	2
33	другой стороны и	1	2
34	но ведь и	1	2
35	от автора и	1	2
36	и не знает	1	2
37	на то что	2	2
38	в этих случаях	1	2
39	если бы он	1	1
40	а между тем	1	1
41	прежде всего в	1	1
42	как бы не	1	1
43	он не только	1	1
44	то же самое	1	1
45	с установкой на	1	1
46	по крайней мере	3	1
47	тот же самый	1	1
48	и во всех	1	1
49	в таком случае	2	1
50	хотя бы и	1	1
51	сами по себе	1	1
52	но и в	1	1
53	между тем как	1	1
54	ибо и в	1	1
55	тому же и	1	1
56	о себе не	1	1
57	том или ином	2	1
58	в значительной степени	2	1
59	а как бы	1	1
60	не говорит о	1	1
61	не о том	1	1
62	с одной стороны	4	1
63	на этот раз	1	1
64	в связи с	1	1
65	как один из	1	1
66	как мы это	1	1
67	до некоторой степени	1	1
68	так или иначе	1	1
69	героя с самим	1	1
70	словам того же	1	1
71	о том что	6	1
72	но и на	1	1
73	этой точки зрения	1	1
74	не только не	2	1
75	как бы уже	1	1
76	можно сказать что	1	1
77	может быть да	1	1
78	уже и не	1	1
79	в том что	6	1
80	не менее в	1	1
