N	3gram	Berdyaev_M_1	Marksizm
1	не может быть	17	10
2	по отношению к	2	8
3	для того чтобы	2	6
4	в том что	1	6
5	в самом деле	1	5
6	может быть и	1	5
7	в отношении к	1	4
8	и не может	2	3
9	в отличие от	1	3
10	до сих пор	2	3
11	в высшей степени	2	3
12	о том что	1	3
13	а иногда и	1	2
14	а не в	4	2
15	быть и речи	1	2
16	а не к	1	2
17	в зависимости от	1	2
18	но и в	4	2
19	не было бы	5	2
20	в значительной степени	1	2
21	во всяком случае	1	2
22	все более и	1	2
23	и речи о	1	2
24	в нем нет	1	2
25	более и более	1	2
26	выходят за пределы	1	2
27	добро и зло	1	1
28	но и он	1	1
29	и добро и	1	1
30	для него не	1	1
31	на том что	1	1
32	что иное как	1	1
33	а вовсе не	1	1
34	прежде всего –	1	1
35	с одним из	1	1
36	со свободой и	1	1
37	он не может	2	1
38	к нему не	1	1
39	они не могут	1	1
40	под ним не	1	1
41	находятся в состоянии	1	1
42	но он не	2	1
43	у него нет	1	1
44	жизни и в	1	1
45	социальной среды в	1	1
46	был бы не	1	1
47	до конца и	1	1
48	не только в	2	1
49	отношению к нему	1	1
50	по сравнению с	1	1
51	не могут быть	2	1
52	во всех этих	1	1
53	в котором не	1	1
54	в самой жизни	1	1
55	он не знает	2	1
56	все внешнее –	1	1
57	и в том	1	1
58	становится в центре	1	1
59	как бы не	1	1
60	видел в ней	1	1
61	никогда не может	2	1
62	даже и в	1	1
63	всего того что	1	1
64	с тем что	3	1
65	к нему и	1	1
66	не что иное	1	1
67	в дневнике писателя	2	1
68	есть прежде всего	1	1
69	для него как	1	1
70	но также и	1	1
71	тем что он	2	1
72	но не только	1	1
