N	2gram	Medvedev_F_1	Problema
1	в его	23	43
2	и не	20	42
3	и в	24	38
4	познания и	4	30
5	не может	16	27
6	может быть	14	26
7	как бы	6	22
8	по отношению	4	21
9	в художественном	3	20
10	отнюдь не	6	19
11	отношению к	4	19
12	и с	8	17
13	к содержанию	1	17
14	и его	10	16
15	и поступка	1	15
16	в этом	15	15
17	в нем	14	15
18	и т	12	14
19	только в	2	13
20	т п	4	13
21	прежде всего	22	13
22	независимо от	4	13
23	но не	3	12
24	за пределы	2	12
25	художественного творчества	1	12
26	в единстве	7	12
27	в искусстве	5	12
28	к материалу	1	11
29	художественного произведения	23	11
30	во всех	5	11
31	в области	3	11
32	ни в	2	11
33	и для	1	11
34	не входит	1	10
35	отношение к	3	10
36	таким образом	13	10
37	в их	11	10
38	материала в	3	10
39	к нему	1	10
40	не только	7	9
41	не имеет	1	9
42	его в	3	9
43	художественной формы	2	9
44	но и	7	9
45	и как	3	8
46	входит в	6	8
47	было бы	6	8
48	точки зрения	16	8
49	место в	7	8
50	для нее	1	8
51	произведения как	2	8
52	в том	6	8
53	и др	5	8
54	художественное произведение	6	8
55	то что	8	8
56	еще не	6	7
57	в самом	5	7
58	вообще не	1	7
59	как и	11	7
60	не в	8	7
61	как мы	5	7
62	с другой	5	7
63	между тем	2	7
64	действительность познания	1	7
65	слова в	1	7
66	с помощью	3	7
67	но отнюдь	1	7
68	совершенно не	1	7
69	в своей	11	7
70	что в	4	7
71	отношения к	6	6
72	самом деле	6	6
73	на основе	6	6
74	там где	1	6
75	в м	1	6
76	и наконец	3	6
77	в пределах	6	6
78	с точки	13	6
79	в психике	1	6
80	не есть	2	6
81	ничего не	2	6
82	произведение в	3	6
83	все же	3	6
84	а в	6	6
85	только как	2	6
86	момент содержания	1	6
87	себя как	1	5
88	художественном произведении	3	5
89	высшей степени	1	5
90	тем как	1	5
91	отличие от	1	5
92	в своем	11	5
93	все эти	6	5
94	к единству	1	5
95	при этом	5	5
96	то же	10	5
97	это не	2	5
98	в них	3	5
99	в высшей	1	5
100	далеко не	1	5
101	в содержание	2	5
102	в отличие	1	5
103	творчества и	1	5
104	так и	18	5
105	произведения в	8	5
106	его целом	8	5
107	и созерцателя	1	5
108	в основе	3	5
109	и о	1	5
110	никогда не	4	5
111	с ним	2	5
112	конечно не	4	5
113	большинстве случаев	2	5
114	художника и	1	5
115	в большинстве	3	5
116	не на	2	5
117	а не	10	5
118	могут быть	1	5
119	быть только	1	5
120	должно быть	11	5
121	формы и	5	5
122	мы здесь	1	4
123	на самом	7	4
124	должна быть	7	4
125	содержания в	1	4
126	конститутивным моментом	2	4
127	в ней	10	4
128	организованного материала	1	4
129	но конечно	1	4
130	как в	8	4
131	но в	5	4
132	в нашем	2	4
133	в себе	3	4
134	перестает быть	3	4
135	произведение как	3	4
136	в данном	1	4
137	не должна	7	4
138	не менее	11	4
139	тем самым	3	4
140	в то	9	4
141	чтобы стать	2	4
142	представлять себе	3	4
143	должны быть	5	4
144	здесь не	3	4
145	в ее	8	4
146	данном случае	1	4
147	в произведении	2	4
148	не с	2	4
149	от всех	3	4
150	каждый момент	1	4
151	в форме	1	4
152	к которому	2	4
153	что не	1	4
154	более того	3	4
155	и потому	9	4
156	в более	1	4
157	лишь как	5	4
158	хотя бы	5	4
159	может и	2	4
160	между ними	3	4
161	сказать что	1	4
162	другой стороны	1	4
163	также и	1	3
164	например в	1	3
165	науку об	1	3
166	противном случае	1	3
167	едва ли	1	3
168	действительности и	3	3
169	поэтического произведения	3	3
170	на материале	1	3
171	которую мы	1	3
172	говорить о	1	3
173	эстетики и	2	3
174	внешнего произведения	1	3
175	бы то	3	3
176	точка зрения	2	3
177	менее всего	2	3
178	иногда и	1	3
179	произведение не	1	3
180	нет и	2	3
181	из важнейших	2	3
182	значение для	2	3
183	связи и	1	3
184	его своеобразии	1	3
185	кроме того	1	3
186	и к	4	3
187	отдельных произведений	1	3
188	в целом	6	3
189	формальный метод	9	3
190	на произведение	1	3
191	творчество и	1	3
192	к миру	2	3
193	он не	3	3
194	выходя за	1	3
195	произведении как	3	3
