N	3gram	Bakhtin_KF_1	Problemy
1	то же время	2	10
2	в то же	2	10
3	на самом деле	3	9
4	по отношению к	22	6
5	но в то	1	4
6	во всяком случае	1	4
7	той или иной	2	4
8	в этом смысле	3	3
9	он не может	1	3
10	бы то ни	2	3
11	то ни было	2	3
12	не может быть	11	3
13	то все же	1	2
14	смысле этого слова	1	2
15	к нему он	1	2
16	то что я	2	2
17	с точки зрения	9	2
18	и в то	1	2
19	и не в	1	2
20	слова и его	1	2
21	и в этом	3	2
22	для него и	1	2
23	и та же	1	2
24	одна и та	1	2
25	в его целом	10	2
26	в большинстве случаев	1	2
27	в том что	2	2
28	своем смысле и	2	1
29	в виду и	1	1
30	слово не может	1	1
31	в чем не	4	1
32	сознания и не	1	1
33	время от времени	1	1
34	и в своей	2	1
35	потому что в	1	1
36	дело в том	1	1
37	непосредственной близости к	1	1
38	и эта интонация	1	1
39	в том же	1	1
40	проникает в его	1	1
41	в нем и	3	1
42	и по отношению	1	1
43	из него все	1	1
44	оно должно быть	1	1
45	и мысли но	1	1
46	но не в	1	1
47	в своем смысле	5	1
48	вместе с тем	1	1
49	по своей структуре	1	1
50	и т.п но	1	1
51	о нем но	1	1
52	он ни был	2	1
53	развивается как бы	1	1
54	со всех сторон	1	1
55	точки зрения формальной	1	1
56	как если бы	1	1
57	и то что	1	1
58	в непосредственной близости	1	1
59	может быть и	1	1
60	к тому что	1	1
61	в значительной степени	1	1
62	для него самого	1	1
63	до конца и	1	1
64	что может быть	1	1
65	то что уже	1	1
66	отношении к нему	1	1
67	ведь оно не	1	1
68	в ней в	1	1
69	как бы два	1	1
70	в котором не	1	1
71	в его действительной	1	1
72	и как бы	1	1
73	смысле и в	1	1
74	во всех отношениях	2	1
75	с ним и	1	1
76	в этот момент	1	1
77	жизнь и это	1	1
78	к той же	1	1
79	я не могу	1	1
80	и ни в	2	1
81	раз и навсегда	2	1
82	бы меня не	1	1
83	все это может	1	1
84	в свою очередь	1	1
85	и не должен	1	1
86	и того же	1	1
87	мы не найдем	1	1
88	но все эти	3	1
89	но в этом	1	1
90	ни в чем	4	1
91	как бы ни	1	1
92	одного и того	1	1
93	бы он ни	2	1
94	вопрос о том	2	1
95	тем не менее	2	1
96	какого бы то	1	1
97	мог бы быть	1	1
98	для того чтобы	1	1
99	этом смысле можно	1	1
100	и было бы	1	1
101	а не в	2	1
102	и все эти	2	1
103	друг для друга	1	1
104	уже не в	1	1
105	что и в	1	1
106	то же самое	1	1
107	не вступает в	1	1
108	входит в его	1	1
