N	4gram	Trubetskoy_1	Freidism
1	в то же время	2	4
2	одной и той же	1	3
3	но мы знаем что	1	2
4	бы то ни было	2	2
5	и не может быть	1	2
6	до сих пор не	2	1
7	с точки зрения настоящего	1	1
8	потому не может служить	1	1
9	в целом ряде других	1	1
10	в самом деле если	1	1
11	которой мы говорили выше	1	1
12	только с точки зрения	1	1
13	в самом деле ведь	1	1
14	в основе их лежит	1	1
15	то направление в котором	1	1
16	а может быть и	1	1
17	в более позднее время	1	1
18	о которой мы говорили	2	1
19	нет и не может	1	1
20	что в данном случае	1	1
