N	2gram	Medvedev_U_1	Sovremen
1	не может	7	17
2	может быть	6	12
3	таким образом	2	11
4	мы не	2	9
5	в этом	7	7
6	и в	14	7
7	мы можем	1	6
8	ничего не	2	6
9	как и	3	6
10	и не	8	6
11	что же	1	5
12	прежде всего	8	5
13	нет и	1	4
14	в том	2	4
15	не только	10	4
16	это не	3	4
17	их в	1	4
18	он может	1	3
19	то же	5	3
20	и т.д	3	3
21	отнюдь не	1	3
22	все же	3	3
23	но в	3	3
24	мы получаем	2	3
25	он в	1	3
26	в этой	4	3
27	в себе	2	3
28	что она	2	3
29	в конце	2	3
30	в нем	1	3
31	было бы	3	3
32	а не	10	3
33	и потому	1	3
34	не в	2	3
35	все это	5	3
36	при таком	2	3
37	и все	1	3
38	в системе	2	3
39	у нас	3	3
40	состоит из	1	3
41	в области	3	3
42	приводит к	1	2
43	той же	1	2
44	и даже	1	2
45	и что	1	2
46	самом деле	2	2
47	в его	2	2
48	в самом	2	2
49	по мнению	1	2
50	в которой	1	2
51	с одной	1	2
52	уже не	1	2
53	то и	1	2
54	с другом	1	2
55	в виде	1	2
56	на его	1	2
57	у него	1	2
58	то ни	3	2
59	что все	2	2
60	в некоторых	2	2
61	что такое	4	2
62	всего только	1	2
63	из которых	1	2
64	друг с	1	2
65	форма в	1	2
66	тот же	1	2
67	не могут	2	2
68	могут быть	2	2
69	что при	1	2
70	же самое	2	2
71	что в	1	2
72	в таком	1	2
73	правда не	1	1
74	и это	1	1
75	человека и	1	1
76	своими собственными	1	1
77	почему и	1	1
78	что такой	1	1
79	их и	2	1
80	мы имеем	1	1
81	же как	1	1
82	смысле можно	1	1
83	если бы	2	1
84	и действительно	1	1
85	затем он	1	1
86	о том	1	1
87	только возможно	1	1
88	в ней	1	1
89	без труда	1	1
90	все его	1	1
91	его работы	1	1
92	быть в	1	1
93	же время	3	1
94	бы то	3	1
95	с его	2	1
96	но конечно	2	1
97	данном случае	1	1
98	но не	2	1
99	к этому	1	1
100	в конечном	4	1
101	конечном счете	4	1
102	крайней мере	2	1
103	мы снова	1	1
104	независимо от	1	1
105	форму и	2	1
106	и отчетливо	1	1
107	только в	2	1
108	в этот	1	1
109	он уже	1	1
110	метода не	1	1
111	не приходится	2	1
112	в известном	1	1
113	конечно не	4	1
114	и у	2	1
115	этот процесс	1	1
116	науки является	1	1
117	а это	1	1
118	он не	1	1
119	конечно нет	2	1
120	его и	2	1
121	по существу	2	1
122	но что	1	1
123	не случайно	2	1
124	же остается	1	1
125	по его	1	1
126	это значит	1	1
127	и только	5	1
128	одной стороны	1	1
129	до сих	2	1
130	с другой	4	1
131	этом смысле	2	1
132	но нам	1	1
133	и прежде	1	1
134	только к	3	1
135	к области	2	1
136	не было	1	1
137	этого не	1	1
138	и вся	1	1
139	как целого	1	1
140	на эту	2	1
141	должно быть	1	1
142	том что	2	1
143	этом случае	1	1
144	но если	1	1
145	почти не	1	1
146	она в	1	1
147	в данном	1	1
148	в течение	1	1
149	является только	1	1
150	познакомиться с	1	1
151	он ставит	1	1
152	по крайней	2	1
153	образом на	1	1
154	именно к	1	1
155	общего и	1	1
156	если нет	1	1
157	по себе	2	1
158	в своем	1	1
159	оно конечно	1	1
160	счете только	1	1
161	еще раз	1	1
162	сих пор	2	1
163	они относятся	1	1
164	она не	1	1
165	что с	1	1
166	но для	1	1
167	случае он	1	1
168	в процессе	1	1
169	это уже	2	1
170	которых она	1	1
171	никогда не	1	1
172	т.д пока	1	1
173	это то	1	1
174	все они	2	1
175	как всякая	1	1
176	с новой	1	1
177	ни было	3	1
178	же в	1	1
179	но это	2	1
180	все элементы	1	1
181	этой области	3	1
182	а о	2	1
183	сказать что	1	1
184	определяет собою	1	1
185	и для	2	1
186	очень часто	1	1
187	если у	1	1
188	он называет	1	1
189	равно как	1	1
190	сколько угодно	2	1
191	но верно	1	1
192	в то	3	1
193	в свое	1	1
194	самое что	1	1
195	этого и	1	1
196	и эта	1	1
197	все что	1	1
