N	2gram	Bakhtin_Fr_7	EvropaiC
1	таким образом	19	32
2	в том	11	31
3	и в	41	24
4	том что	4	20
5	все эти	13	19
6	не может	3	18
7	то что	8	17
8	может быть	4	15
9	все же	1	15
10	точки зрения	5	13
11	самом деле	1	12
12	в своем	9	12
13	в этом	15	12
14	с этим	2	11
15	между тем	1	11
16	все это	10	11
17	во всех	3	10
18	по отношению	2	10
19	культуры и	1	10
20	так и	10	10
21	как бы	7	10
22	отношению к	2	10
23	все что	4	10
24	того же	3	9
25	при этом	3	9
26	как и	14	9
27	в результате	2	9
28	что в	9	9
29	в самом	1	8
30	чем у	1	8
31	с точки	3	8
32	мы говорили	1	8
33	знаем что	1	8
34	не в	9	8
35	так же	5	8
36	и все	14	8
37	на самом	2	7
38	в силу	1	7
39	или менее	2	7
40	по существу	8	7
41	по своей	1	7
42	к тому	2	7
43	развития культуры	1	7
44	о том	6	7
45	и что	1	7
46	что он	3	7
47	но и	9	7
48	и не	7	7
49	более или	2	7
50	о котором	2	7
51	из этого	1	7
52	должна быть	1	6
53	еще не	2	6
54	и на	4	6
55	тогда как	1	6
56	в этой	13	6
57	в мире	3	6
58	в сознании	1	6
59	несмотря на	3	6
60	и при	1	6
61	от друга	1	6
62	с ним	2	6
63	что и	5	6
64	того что	2	6
65	только в	6	6
66	все они	6	6
67	так что	1	6
68	так как	3	6
69	друг от	1	6
70	вместе с	5	6
71	у них	2	6
72	как на	1	6
73	между двумя	1	5
74	из всех	2	5
75	бороться с	1	5
76	как к	1	5
77	и к	5	5
78	но в	8	5
79	в которой	2	5
80	ступени развития	1	5
81	что это	4	5
82	в себе	11	5
83	тому же	1	5
84	не только	5	5
85	но все	4	5
86	не будет	1	5
87	что все	2	5
88	и с	4	5
89	на все	1	5
90	его в	3	5
91	и без	1	5
92	в то	10	5
93	в его	12	5
94	потому что	5	5
95	и их	3	5
96	у него	6	5
97	именно в	2	5
98	далеко не	2	5
99	ничем не	3	5
100	по своему	2	5
101	и для	5	5
102	и от	8	5
103	к этому	5	5
104	одним из	1	4
105	в такой	1	4
106	и то	2	4
107	то же	13	4
108	мы уже	12	4
109	та же	4	4
110	что его	1	4
111	отношение к	2	4
112	хотя и	4	4
113	он не	4	4
114	в одну	4	4
115	из них	3	4
116	должно быть	4	4
117	в их	3	4
118	оказывается что	3	4
119	признать что	1	4
120	том же	1	4
121	из которых	2	4
122	связи с	1	4
123	тех кто	1	4
124	в дальнейшем	1	4
125	никогда не	2	4
126	и т.д	2	4
127	и у	5	4
128	если мы	1	4
129	не есть	2	4
130	в виде	1	4
131	не так	1	4
132	в конце	8	4
133	в области	2	4
134	конце концов	4	4
135	не могут	1	4
136	в течение	2	4
137	в состоянии	2	4
138	прямой линии	1	4
139	в таком	1	4
140	но по	2	3
141	но даже	1	3
142	в данном	2	3
143	в истории	1	3
144	целый ряд	4	3
145	что по	1	3
146	и наконец	4	3
147	в нашем	1	3
148	в тех	1	3
149	к которой	1	3
150	в нем	7	3
151	на земле	4	3
152	и по	3	3
153	и может	2	3
154	в совершенно	1	3
155	на этой	4	3
156	это не	6	3
157	в жизни	1	3
158	с тем	1	3
159	чем в	1	3
160	в этих	2	3
161	таким же	3	3
162	представление о	1	3
163	даже в	1	3
164	образом в	1	3
165	в разных	2	3
166	во всем	1	3
167	уже и	1	3
168	у нас	1	3
169	этой истории	1	3
170	ничего общего	1	3
171	и это	5	3
172	данном случае	1	3
173	жизнь и	2	3
174	подлежит сомнению	1	3
175	человеческого рода	1	3
176	тот же	2	3
177	сказали что	1	3
178	очень много	1	3
179	в начале	1	3
180	при помощи	1	3
181	и других	2	3
182	отличие от	1	3
183	как у	1	3
184	прежде всего	11	3
185	в связи	2	3
186	и потому	3	3
187	мы сказали	1	3
188	сейчас же	1	3
189	не подлежит	3	3
190	что только	1	3
191	от него	1	3
