N	2gram	Vygotskiy__1	RusskieA
1	и в	23	36
2	не только	16	22
3	том что	21	19
4	что в	14	19
5	в том	24	17
6	но и	14	16
7	так как	7	15
8	во время	1	14
9	и другие	1	13
10	в этом	17	12
11	в других	1	11
12	и т	1	10
13	и на	8	10
14	это не	1	10
15	как и	14	10
16	как мы	5	10
17	вместе с	9	10
18	потому что	6	10
19	т д	1	9
20	об этом	3	9
21	а в	2	9
22	состоит в	1	8
23	с тем	7	8
24	о том	6	8
25	один из	2	8
26	мы увидим	1	8
27	из них	1	8
28	может быть	14	8
29	как это	2	8
30	что они	3	7
31	так и	5	7
32	между тем	9	7
33	что и	1	7
34	и других	3	7
35	представляют собой	2	7
36	полагает что	3	6
37	мы не	7	6
38	в виде	2	6
39	так например	1	6
40	таким образом	26	6
41	при этом	4	6
42	не имеет	2	6
43	уже не	2	6
44	в них	2	6
45	и не	9	6
46	все это	6	6
47	то что	17	6
48	как в	4	5
49	все же	3	5
50	показывает что	3	5
51	при изучении	1	5
52	в которых	3	5
53	того как	2	5
54	как будто	1	5
55	и у	1	5
56	одно из	2	5
57	в течение	2	5
58	как бы	11	5
59	с в	1	4
60	еще не	1	4
61	во всех	3	4
62	в эти	1	4
63	представляет собой	11	4
64	с собой	2	4
65	из этих	3	4
66	в их	3	4
67	что этот	2	4
68	тому что	5	4
69	вплоть до	1	4
70	связи с	3	4
71	к тому	4	4
72	еще в	1	4
73	и что	5	4
74	тем что	6	4
75	а с	4	4
76	и др	1	4
77	в тех	1	4
78	того что	15	4
79	по существу	4	4
80	как уже	7	4
81	не может	12	4
82	только в	6	4
83	к этому	4	4
84	на каждом	1	3
85	представление о	2	3
86	которые не	3	3
87	в своем	3	3
88	не можем	1	3
89	что это	3	3
90	и те	2	3
91	связанные с	1	3
92	в основном	1	3
93	на этом	2	3
94	то же	8	3
95	но все	2	3
96	для них	1	3
97	несмотря на	2	3
98	в этих	2	3
99	точки зрения	26	3
100	таким же	1	3
101	с точки	18	3
102	тем не	1	3
103	их в	4	3
104	не менее	1	3
105	ничего не	3	3
106	вывод что	1	3
107	можно сделать	1	3
108	приводит к	4	3
109	к жизни	1	3
110	не с	2	3
111	начиная с	2	3
112	а также	1	3
113	от них	2	3
114	связаны с	1	3
115	в середине	1	3
116	также в	1	3
117	как например	1	3
118	по этому	1	3
119	в качестве	9	3
120	слова в	1	3
121	в одном	4	3
122	к ним	1	3
123	также на	1	3
124	в области	3	3
125	и из	1	3
126	на этот	3	3
127	о чем	2	3
128	так же	16	3
129	в это	1	3
130	этого слова	4	3
131	на других	1	3
132	и к	4	3
133	в свою	4	3
134	но эти	1	3
135	как известно	3	2
136	например в	1	2
137	переход от	1	2
138	но тем	2	2
139	между двумя	2	2
140	в доме	1	2
141	к нам	1	2
142	их к	1	2
143	как не	1	2
144	в ней	1	2
145	друг к	1	2
146	на самом	1	2
147	но не	4	2
148	обстояло дело	1	2
149	к слову	6	2
150	не просто	1	2
151	отнюдь не	1	2
152	однако как	1	2
153	работа в	2	2
154	независимо от	6	2
155	что именно	3	2
156	с этим	6	2
157	мы можем	6	2
158	хотя и	2	2
159	и как	5	2
160	его к	1	2
161	но в	5	2
162	та же	1	2
163	в целом	20	2
164	все эти	4	2
165	в нашем	2	2
166	в дальнейшем	1	2
167	и до	2	2
168	выводу что	4	2
169	как он	3	2
170	к выводу	4	2
171	что она	4	2
172	в нем	1	2
173	всех этих	2	2
174	чем у	1	2
175	в силу	6	2
176	его от	1	2
177	главным образом	2	2
178	и с	9	2
179	к другу	2	2
180	разница между	1	2
181	на этой	1	2
182	в жизни	1	2
183	такой же	3	2
184	в один	2	2
185	этому же	1	2
186	должны были	3	2
187	и более	5	2
188	том же	2	2
189	для этого	5	2
190	этого мало	1	2
191	нас к	8	2
192	она не	3	2
193	у него	1	2
194	представления и	1	2
195	именно с	1	2
196	детей и	1	2
197	но даже	1	2
198	и здесь	1	2
199	могут быть	3	2
200	и другим	2	2
201	области изучения	1	2
202	как они	1	2
203	значения и	2	2
204	свою очередь	3	2
205	в более	1	2
206	мы наблюдаем	1	2
207	что у	2	2
208	что от	1	2
209	находится в	1	2
210	на все	3	2
211	и поэтому	2	2
212	в различных	1	2
213	связь между	6	2
214	в его	14	2
215	в свете	4	2
216	значит что	1	2
217	этот вопрос	3	2
218	в какой	5	2
219	показывают что	3	2
220	приводит нас	2	2
221	так что	1	2
222	сомнений в	1	2
223	полагали что	1	2
224	и нового	1	2
225	но что	1	2
226	не было	1	2
227	не были	1	2
228	которые можно	1	2
229	с ней	2	2
230	и пр	2	2
231	до конца	1	2
232	не на	1	2
233	так обстояло	1	2
234	а не	3	2
235	воздействовать на	2	2
236	и многие	1	2
237	в изучении	2	2
238	стоит в	1	2
239	должна была	1	2
240	в частности	2	2
241	в равной	2	2
242	и потому	2	2
243	предположить что	1	2
244	там где	2	2
245	останавливаться на	3	2
246	только для	3	2
247	между прочим	1	2
248	между собой	5	2
249	к вопросу	2	2
250	мы видим	4	2
251	и для	1	2
252	тем и	3	2
253	или в	1	2
254	когда он	2	2
255	мы должны	5	2
256	в своих	5	2
257	ни странно	1	1
258	ту же	1	1
259	и развитие	1	1
260	также и	1	1
261	же как	6	1
262	рассматривается как	2	1
263	самом деле	3	1
264	значении этого	1	1
265	тех же	2	1
266	зависимости от	2	1
267	непосредственно не	2	1
268	форм мышления	3	1
269	в первом	2	1
270	по которым	1	1
271	на две	3	1
272	что эти	2	1
273	и ее	7	1
274	собственном смысле	5	1
275	с таким	3	1
276	чем именно	1	1
277	по его	1	1
278	приходит к	3	1
279	мы уже	1	1
280	из всех	2	1
281	собой акт	1	1
282	только разницей	1	1
283	что если	2	1
284	которую мы	4	1
285	изложения и	1	1
286	вопрос о	7	1
287	время от	1	1
288	к новой	1	1
289	вторая часть	1	1
290	приводят к	1	1
291	говорить о	2	1
292	не вполне	1	1
293	животном мире	1	1
294	направление в	1	1
295	же что	1	1
296	настоящая работа	1	1
297	которую можно	1	1
298	в отличие	1	1
299	той только	1	1
300	на них	1	1
301	в чем	4	1
302	с его	4	1
303	а следовательно	1	1
304	на основе	1	1
305	оно в	1	1
306	целом ряде	2	1
307	одном и	1	1
308	ответ на	3	1
309	по отношению	7	1
310	в общем	3	1
311	очевидно что	1	1
312	нового в	1	1
313	себе и	2	1
314	отличие от	1	1
315	мы сейчас	1	1
316	формы мышления	2	1
317	и должны	2	1
318	в истории	1	1
319	что во	1	1
320	же с	1	1
321	его на	2	1
322	от до	4	1
323	оторванное от	1	1
324	показать что	2	1
325	что касается	1	1
326	перед нами	5	1
327	целый ряд	4	1
328	и наконец	2	1
329	от этого	2	1
330	не связаны	2	1
331	в которой	3	1
332	но который	1	1
333	не оставляет	1	1
334	то и	3	1
335	в себе	6	1
336	формами мышления	2	1
337	думается что	5	1
338	на то	5	1
339	наблюдаем в	1	1
340	не имеют	1	1
341	что было	1	1
342	все другие	2	1
343	он не	5	1
344	потребности в	1	1
345	он должен	2	1
346	не к	2	1
347	настоящей работе	2	1
348	пытается объяснить	1	1
349	объяснить его	1	1
350	объяснения и	2	1
351	а затем	5	1
352	что все	4	1
353	в совершенно	1	1
354	значение в	3	1
355	о котором	2	1
356	уже знаем	1	1
357	но их	1	1
358	должен был	1	1
359	и тем	6	1
360	прочим в	1	1
361	ни в	4	1
362	этом мы	1	1
363	повод для	2	1
364	в этой	7	1
365	более общей	1	1
366	на основании	5	1
367	мы видели	2	1
368	сообщает и	1	1
369	теоретических построений	1	1
370	в развитии	12	1
371	значение как	2	1
372	что между	2	1
373	но если	1	1
374	и при	2	1
375	никак не	1	1
376	и без	1	1
377	просто в	1	1
378	не столько	4	1
379	от времени	1	1
380	что до	1	1
381	что я	1	1
382	из центральных	1	1
383	одном из	2	1
384	ее на	4	1
385	но эта	1	1
386	точку зрения	2	1
387	которые в	1	1
388	свет на	1	1
389	ее для	1	1
390	и эти	2	1
391	не могли	2	1
392	две части	2	1
393	что сам	1	1
394	известно и	1	1
395	значение слова	5	1
396	которые она	2	1
397	в то	7	1
398	что наука	1	1
399	тогда когда	3	1
400	дело в	2	1
401	только из	1	1
402	в основе	8	1
403	к изучению	2	1
404	но вместе	4	1
405	составные элементы	2	1
406	не раньше	1	1
407	в самых	3	1
408	считает что	1	1
409	следовательно и	1	1
410	примерно в	1	1
411	и всегда	1	1
412	слова как	2	1
413	две большие	1	1
414	того в	1	1
415	все стороны	1	1
416	степени их	1	1
417	и его	6	1
418	к этим	2	1
419	и сама	1	1
420	этом отношении	4	1
421	ему не	1	1
422	с другом	4	1
423	тем это	1	1
424	нам что	1	1
425	вопросу об	1	1
426	необходимо также	1	1
427	чтобы сделать	1	1
428	те кто	2	1
429	должны быть	1	1
430	с по	1	1
431	для дальнейшего	2	1
432	для себя	4	1
433	и это	3	1
434	в виду	1	1
435	на другой	1	1
436	данном случае	2	1
437	представляющее собой	1	1
438	которым живет	1	1
439	большей частью	1	1
440	в собственном	5	1
441	нами выше	1	1
442	тех случаях	2	1
443	на природу	1	1
444	то время	5	1
445	всей своей	1	1
446	можно было	3	1
447	из всего	1	1
448	каждого из	2	1
449	и мы	3	1
450	самого понятия	1	1
451	во второй	1	1
