N	3gram	Potebnia_M_4	Istorich
1	и т д	3	22
2	не может быть	5	7
3	тем не менее	4	6
4	с другой стороны	1	5
5	до сих пор	4	5
6	в большинстве случаев	2	4
7	с одной стороны	1	4
8	на то что	4	4
9	в том что	7	4
10	дело в том	1	3
11	по отношению к	8	3
12	то же самое	4	3
13	точно так же	1	3
14	в то время	1	3
15	в связи с	1	3
16	о том что	5	3
17	может быть назван	3	2
18	выше мы видели	1	2
19	этот вопрос мы	1	2
20	мере того как	4	2
21	по мере того	4	2
22	в этих случаях	2	2
23	но и в	1	2
24	то что в	2	2
25	на этот вопрос	2	2
26	могли бы быть	1	2
27	вместе с тем	3	2
28	здесь мы имеем	1	2
29	если бы мы	1	2
30	таким образом мы	2	2
31	же самое что	1	2
32	на первый взгляд	1	2
33	мы видели что	1	2
34	один и тот	2	2
35	мы не можем	3	2
36	само по себе	5	2
37	с самого начала	1	2
38	вопрос о том	2	2
39	так тесно связаны	1	2
40	и тот же	2	2
41	к тому чтобы	1	1
42	не как в	1	1
43	если бы в	1	1
44	отсюда видно что	1	1
45	мы имеем дело	2	1
46	иметь в виду	1	1
47	да и не	1	1
48	это было бы	1	1
49	равно как и	2	1
50	подобно тому как	2	1
51	так что в	1	1
52	о том как	1	1
53	в этом случае	5	1
54	только тогда когда	4	1
55	в силу того	1	1
56	так как оно	2	1
57	хотя в этом	1	1
58	не было и	2	1
59	как один из	1	1
60	сами по себе	2	1
61	можно говорить о	1	1
62	исследования но в	1	1
63	а именно на	1	1
64	ответить на вопрос	1	1
65	имеем дело не	1	1
66	а может быть	1	1
67	и т п	4	1
68	бы мы не	1	1
69	может быть только	1	1
70	и что это	1	1
71	в том случае	3	1
72	не может считаться	1	1
73	в это время	1	1
74	и многие другие	1	1
75	в ту же	1	1
76	в том чтобы	1	1
77	того что он	1	1
78	дело не с	1	1
79	то что она	2	1
80	что не всегда	1	1
81	это не так	1	1
82	а не как	1	1
83	если это так	1	1
84	что такое изучение	1	1
85	не в том	2	1
86	не могут быть	2	1
87	это не значит	2	1
88	со стороны его	1	1
89	со второй половины	1	1
90	быть не может	1	1
91	может быть названо	1	1
92	что связь эта	1	1
93	но так как	1	1
94	т д то	1	1
95	лишь тогда когда	3	1
96	мы могли бы	2	1
97	образом мы видим	1	1
98	это потому что	2	1
99	в своем развитии	2	1
100	том случае когда	1	1
101	силу того что	1	1
102	есть не что	1	1
103	сказанного видно что	1	1
104	таким образом в	1	1
105	до тех пор	6	1
106	никогда не может	1	1
107	что у меня	1	1
108	в одном из	1	1
109	легко заметить что	1	1
110	что иное как	2	1
111	не более как	1	1
112	относится и к	1	1
113	смысле этого слова	1	1
114	заметить что в	1	1
115	если бы не	2	1
116	после того как	2	1
117	уже было бы	1	1
118	с течением времени	2	1
119	к тому что	1	1
120	в каком отношении	1	1
121	не что иное	2	1
122	может быть объяснено	1	1
123	то же что	1	1
124	дело не в	1	1
125	и в этом	4	1
126	внимание на то	3	1
127	что речь идет	1	1
128	для того чтобы	4	1
129	что мы должны	1	1
130	освобождает нас от	1	1
131	что и в	2	1
132	но тем не	2	1
133	в этом отношении	1	1
134	что он в	1	1
135	до известной степени	2	1
