N	2gram	Voloshinov_1	Mirosoze
1	и в	12	46
2	в нем	6	22
3	у него	1	22
4	может быть	14	21
5	в этом	4	20
6	не только	4	18
7	и не	10	18
8	никогда не	5	18
9	для него	3	18
10	но и	3	15
11	не может	16	15
12	как и	5	13
13	а не	5	13
14	не есть	2	13
15	друг друга	1	12
16	прежде всего	8	12
17	и он	1	11
18	не было	1	11
19	в ней	6	11
20	у нас	1	11
21	но в	5	10
22	та же	1	10
23	в себе	3	10
24	он не	2	10
25	не в	4	9
26	не знает	1	9
27	отношение к	4	8
28	в своем	2	8
29	так как	9	8
30	она не	2	8
31	как бы	13	8
32	но это	2	8
33	как в	5	7
34	и к	4	7
35	в нашем	11	7
36	хотя бы	5	7
37	и потому	2	7
38	и для	3	7
39	что это	1	6
40	в русской	1	6
41	и здесь	2	6
42	так же	3	6
43	того что	3	6
44	жизни и	4	6
45	по преимуществу	1	5
46	то же	5	5
47	не способен	2	5
48	друг к	1	5
49	в самом	4	5
50	и вот	1	5
51	что она	1	5
52	что все	1	5
53	к другу	1	5
54	в своей	3	5
55	в отношении	2	5
56	и его	13	5
57	к тому	1	5
58	и это	1	5
59	те же	2	5
60	это не	2	5
61	в его	2	5
62	то что	5	5
63	и все	2	5
64	с его	2	4
65	думать что	1	4
66	в жизни	5	4
67	том что	5	4
68	жизнь и	1	4
69	того чтобы	1	4
70	только и	1	4
71	должны быть	1	4
72	так и	4	4
73	для этого	1	4
74	себя в	1	4
75	уже не	4	4
76	что и	2	4
77	в свою	1	4
78	они не	1	4
79	до конца	2	4
80	есть уже	2	4
81	что в	2	4
82	же как	1	3
83	чтобы не	1	3
84	это и	1	3
85	высшей степени	1	3
86	и на	4	3
87	в чем	2	3
88	менее всего	1	3
89	и она	1	3
90	не бывает	1	3
91	и с	3	3
92	на все	2	3
93	его в	4	3
94	ни в	3	3
95	в них	3	3
96	в высшей	1	3
97	все равно	1	3
98	одна и	1	3
99	и тогда	1	3
100	в такой	3	3
101	что всякий	1	3
102	по своей	1	3
103	себя и	2	3
104	момент в	1	3
105	не существует	1	3
106	было в	1	3
107	если бы	9	3
108	с ним	3	3
109	о том	3	3
110	и во	1	3
111	жизни он	1	3
112	и можно	1	3
113	что они	1	3
114	к которой	1	3
115	в том	6	3
116	природой и	1	3
117	только в	6	3
118	есть в	1	3
119	не так	2	3
120	творчестве достоевского	1	3
121	от того	4	3
122	до сих	3	3
123	к которому	1	3
124	не раскрывает	1	3
125	нет ничего	2	3
126	в творчестве	3	3
127	жизни в	1	3
128	сих пор	3	3
129	человека для	1	3
130	теряет свою	1	3
131	отношении к	3	3
132	сказать что	7	3
133	я и	1	2
134	сам по	1	2
135	от этой	2	2
136	когда человек	1	2
137	не имеют	1	2
138	с таким	1	2
139	из подполья	1	2
140	во всех	1	2
141	то он	1	2
142	по отношению	11	2
143	себе и	1	2
144	выйти из	1	2
145	как к	3	2
146	нельзя было	1	2
147	хотя и	1	2
148	увидим что	1	2
149	то в	1	2
150	бы не	2	2
151	и тот	1	2
152	и те	2	2
153	дальше и	1	2
154	не к	3	2
155	на этом	1	2
156	еще более	1	2
157	не всегда	1	2
158	должно быть	1	2
159	в этих	2	2
160	точки зрения	14	2
161	нас не	1	2
162	в который	1	2
163	место в	2	2
164	от его	1	2
165	но эта	1	2
166	которые в	1	2
167	в атмосфере	2	2
168	тогда когда	2	2
169	чем не	1	2
170	ничего не	2	2
171	связи с	1	2
172	как будто	1	2
173	в основе	1	2
174	оно не	2	2
175	можно было	1	2
176	по себе	3	2
177	и та	2	2
178	и что	2	2
179	к нему	4	2
180	все время	6	2
181	подобно тому	1	2
182	которое было	1	2
183	тот же	1	2
184	мы увидим	1	2
185	а лишь	1	2
186	между тем	3	2
187	уже в	2	2
188	себе в	1	2
189	и мир	1	2
190	есть выражение	1	2
191	любит и	2	2
192	мы еще	1	2
193	что не	4	2
194	в идиоте	1	2
195	такой степени	1	2
196	вместе с	2	2
197	тому как	1	2
198	да и	3	2
199	из этой	1	2
200	но для	3	2
201	человек и	1	2
202	ее и	3	2
203	и самое	2	2
204	бы за	1	2
205	быть и	3	2
206	человеческого общества	2	2
207	но этот	2	2
208	отношению к	11	2
209	и эта	1	2
210	пор не	1	1
211	ней более	1	1
212	и то	2	1
213	приходят к	1	1
214	самом деле	3	1
215	и марксистский	1	1
216	права и	1	1
217	проникает в	1	1
218	ведь и	3	1
219	должна быть	5	1
220	этом направлении	1	1
221	мы не	3	1
222	свои права	1	1
223	и ее	3	1
224	не знают	1	1
225	на них	1	1
226	тем как	2	1
227	теряет свой	1	1
228	значение и	1	1
229	сознания не	1	1
230	в свои	1	1
231	за пределы	4	1
232	сама по	1	1
233	он думает	1	1
234	все остальные	1	1
235	кто не	1	1
236	его к	2	1
237	лежит на	2	1
238	не хочет	1	1
239	отказывается от	1	1
240	в целом	1	1
241	формы в	1	1
242	все эти	3	1
243	во многих	1	1
244	бы только	1	1
245	она становится	1	1
246	перестает быть	2	1
247	как часто	1	1
248	он должен	3	1
249	заложены основы	1	1
250	это один	1	1
251	но все	2	1
252	значительной степени	1	1
253	что является	1	1
254	совпадают с	1	1
255	же не	1	1
256	они должны	1	1
257	сознание и	1	1
258	в другом	1	1
259	и менее	1	1
260	входит в	1	1
261	на протяжении	1	1
262	люди не	1	1
263	было бы	1	1
264	и тем	1	1
265	берет на	1	1
266	и уже	3	1
267	которой он	1	1
268	нигде не	1	1
269	как перед	1	1
270	во взаимоотношениях	1	1
271	очень своеобразно	1	1
272	остается в	1	1
273	на себя	1	1
274	и становится	1	1
275	но если	1	1
276	только того	1	1
277	можно найти	2	1
278	и без	1	1
279	в котором	3	1
280	с точки	2	1
281	к одному	1	1
282	степени не	1	1
283	признать что	1	1
284	их активность	1	1
285	него не	1	1
286	она в	1	1
287	и более	3	1
288	одна сторона	1	1
289	как о	1	1
290	форма не	1	1
291	для всего	1	1
292	с этих	1	1
293	же этот	1	1
294	хором с	1	1
295	уже и	1	1
296	и делает	1	1
297	него но	1	1
298	записок из	1	1
299	представлять себе	1	1
300	в момент	2	1
301	полное и	1	1
302	его для	1	1
303	не могут	1	1
304	за его	2	1
305	в окончательном	1	1
306	или он	1	1
307	как не	2	1
308	в ее	1	1
309	в пределах	3	1
310	дано в	1	1
311	вещи и	2	1
312	по природе	2	1
313	на что	1	1
314	в словах	1	1
315	со словами	1	1
316	оценок и	2	1
317	и кровь	1	1
318	и который	1	1
319	в значительной	1	1
320	до известной	2	1
321	все в	1	1
322	и только	1	1
323	нем и	1	1
324	так для	1	1
325	социальной среды	2	1
326	ли он	1	1
327	в какой	2	1
328	не то	1	1
329	не из	1	1
330	но есть	1	1
331	его и	1	1
332	в пространстве	1	1
333	моментов в	1	1
334	у нее	1	1
335	для них	1	1
336	но что	2	1
337	дело и	1	1
338	бытия и	1	1
339	из нее	1	1
340	этом отношении	1	1
341	бы это	1	1
342	общества все	1	1
343	на примере	2	1
344	с другой	4	1
345	миру и	1	1
346	и прежде	1	1
347	нельзя отождествлять	1	1
348	а с	1	1
349	окружающей его	1	1
350	и политического	1	1
351	одного только	1	1
352	как свое	1	1
353	о чем	1	1
354	на эту	1	1
355	человека или	1	1
356	от всех	2	1
357	связь с	2	1
358	ни на	2	1
359	другая сторона	1	1
360	на самом	4	1
361	независимо от	2	1
362	а между	1	1
363	с этой	2	1
364	все это	3	1
365	я ты	2	1
366	она должна	1	1
367	уж конечно	1	1
368	формы и	3	1
369	оторвался от	1	1
370	но тот	1	1
371	а к	2	1
372	когда он	3	1
373	мы должны	1	1
374	самом себе	1	1
375	все они	2	1
376	понять эту	1	1
377	на их	1	1
378	между ними	2	1
379	с ней	1	1
380	они как	1	1
381	была бы	2	1
382	культуры в	1	1
383	из этого	3	1
384	этого события	1	1
385	но эти	1	1
386	к этому	2	1
387	как на	2	1
