N	2gram	Vygotskiy__4	UchenyiS
1	и в	20	14
2	а не	7	10
3	не только	15	10
4	и не	8	8
5	прежде всего	2	8
6	в этом	24	7
7	не может	6	7
8	то что	15	7
9	может быть	12	6
10	и только	4	5
11	художественное произведение	1	5
12	все это	1	5
13	то же	16	5
14	в их	12	4
15	что такое	5	4
16	с другой	12	4
17	конечно не	1	4
18	но и	9	4
19	в этой	3	4
20	у нас	1	3
21	бы то	1	3
22	в своей	7	3
23	все же	5	3
24	не как	1	3
25	то ни	1	3
26	в то	1	3
27	по нашему	2	3
28	и формы	1	3
29	в частности	5	3
30	для этого	1	3
31	другой стороны	9	3
32	в области	4	3
33	для него	2	3
34	но в	3	3
35	и то	10	3
36	было бы	8	3
37	этой области	2	3
38	и т.д	2	3
39	это не	5	3
40	ни было	1	3
41	нашему мнению	2	3
42	как и	9	3
43	только к	3	3
44	не столько	1	2
45	одним из	2	2
46	на каждом	6	2
47	в себе	10	2
48	или иных	1	2
49	установку на	2	2
50	и с	4	2
51	же не	2	2
52	если не	2	2
53	нас в	3	2
54	по себе	1	2
55	конце концов	1	2
56	мы и	2	2
57	но не	3	2
58	смысле этого	7	2
59	как таковой	1	2
60	ничего не	1	2
61	по существу	3	2
62	и у	2	2
63	этом смысле	8	2
64	тем что	7	2
65	и для	4	2
66	даже и	1	2
67	о чем	1	2
68	и является	3	2
69	не все	1	2
70	вопроса о	2	2
71	т.е в	1	2
72	что она	1	2
73	что он	6	2
74	представляется нам	4	2
75	что все	3	2
76	формы и	3	2
77	думается что	1	2
78	должна быть	2	2
79	в том	42	2
80	только в	10	2
81	между тем	9	2
82	является в	3	2
83	могли бы	9	2
84	таким образом	25	2
85	на первый	4	2
86	но даже	1	2
87	что и	9	2
88	в его	11	2
89	тех или	1	2
90	сих пор	1	2
91	если бы	5	2
92	как раз	1	2
93	могут быть	7	2
94	что мы	7	2
95	не в	4	2
96	же самое	7	2
97	в самом	6	2
98	каждом шагу	6	2
99	самом деле	7	2
100	мы не	1	2
101	а как	1	2
102	этом отношении	7	2
103	в конце	1	2
104	но это	1	2
105	не есть	2	2
106	том что	35	2
107	не могут	3	2
108	до сих	1	2
109	они относятся	1	1
110	то и	1	1
111	является с	1	1
112	это то	1	1
113	этих слов	1	1
114	которое мы	2	1
115	друг с	7	1
116	относятся к	2	1
117	в процессе	27	1
118	от слова	2	1
119	и что	8	1
