N	3gram	Potebnia_M_4	Problema
1	по отношению к	8	19
2	и т п	4	13
3	не может быть	5	11
4	с точки зрения	3	6
5	между тем как	2	5
6	в большинстве случаев	2	5
7	в данном случае	2	4
8	с другой стороны	1	4
9	на самом деле	3	3
10	не выходя за	1	3
11	может быть только	1	3
12	и проч в	1	3
13	все то что	1	3
14	с одной стороны	1	3
15	то же время	3	3
16	в том что	7	3
17	в то же	3	3
18	тем не менее	4	3
19	и проч но	2	3
20	можно сказать что	4	2
21	то же самое	4	2
22	в том же	2	2
23	со всех сторон	1	2
24	но и в	1	2
25	и не может	1	2
26	и др в	1	2
27	не могут быть	2	2
28	мы имеем дело	2	2
29	никогда не может	1	2
30	выходя за пределы	1	2
31	сказать и о	1	2
32	для того чтобы	4	2
33	в этом отношении	1	2
34	именно в том	1	1
35	а между тем	4	1
36	что иное как	2	1
37	но что в	1	1
38	хотя и не	1	1
39	рядом с ними	1	1
40	иметь в виду	1	1
41	в виду что	1	1
42	да и не	1	1
43	в свою очередь	1	1
44	бы они ни	1	1
45	подобно тому как	2	1
46	в настоящее время	1	1
47	в том и	2	1
48	и проч а	1	1
49	о том как	1	1
50	если так то	1	1
51	языка то есть	1	1
52	а следовательно и	1	1
53	до сих пор	4	1
54	хотя бы и	2	1
55	до известной степени	2	1
56	сами по себе	2	1
57	может иметь место	1	1
58	что все эти	1	1
59	при этом в	2	1
60	не было бы	1	1
61	но и при	1	1
62	с тем что	4	1
63	в поэтическом произведении	1	1
64	на то что	4	1
65	могли бы быть	1	1
66	может быть и	1	1
67	и не в	1	1
68	т п и	1	1
69	бы и в	1	1
70	различаем в слове	1	1
71	конечно не в	1	1
72	не что иное	2	1
73	не в его	1	1
74	если бы мы	1	1
75	смысле этого слова	1	1
76	отношению к нему	1	1
77	на том основании	1	1
78	и в этом	4	1
79	по отношению ко	1	1
80	и как бы	2	1
81	имеем дело с	1	1
82	этом в виду	1	1
83	не в том	2	1
84	в связи с	1	1
85	о том какое	1	1
86	если бы все	1	1
87	то есть не	1	1
88	в том смысле	2	1
89	у нас в	1	1
90	лицом к лицу	1	1
91	и в том	2	1
92	в свое время	1	1
93	и проч так	1	1
94	а в том	2	1
95	в истории и	1	1
96	и проч и	3	1
97	есть не что	1	1
98	с ними в	1	1
99	таким образом в	1	1
100	то что в	2	1
101	следует прибавить что	1	1
102	том основании что	1	1
103	равно как и	2	1
104	том смысле что	1	1
105	в то время	1	1
106	тем самым и	1	1
107	художественного произведения но	1	1
108	и т д	3	1
109	то есть в	2	1
110	и в самом	1	1
111	можем сказать что	2	1
112	вопрос о том	2	1
113	не может стать	1	1
114	то есть я	1	1
115	не более как	1	1
116	которые могут быть	1	1
117	и быть не	1	1
118	к тому что	1	1
119	его мы можем	1	1
120	если бы не	2	1
121	имеет для него	3	1
122	быть не может	1	1
123	проч но не	1	1
124	может быть объяснено	1	1
125	бы не было	2	1
126	как и в	1	1
127	на этот вопрос	2	1
128	дело в том	1	1
129	не менее как	1	1
130	они могут быть	1	1
131	мы различаем в	1	1
