N	2gram	Ircho_Kome_2	Mirosoze
1	и в	26	46
2	в нем	6	22
3	у него	4	22
4	может быть	11	21
5	в этом	10	20
6	не только	7	18
7	и не	14	18
8	никогда не	1	18
9	для него	1	18
10	но и	10	15
11	не может	3	15
12	человека в	3	14
13	как и	4	13
14	ведет к	1	13
15	а не	1	13
16	друг друга	3	12
17	к человеку	1	12
18	прежде всего	4	12
19	потому что	6	12
20	не было	3	11
21	в ней	3	11
22	у нас	1	11
23	но в	3	10
24	та же	1	10
25	в себе	1	10
26	он не	2	10
27	он был	2	9
28	не в	2	9
29	не знает	1	9
30	и есть	2	8
31	отношение к	2	8
32	в своем	6	8
33	любовь к	1	8
34	так как	4	8
35	в любви	2	8
36	как бы	2	8
37	в мире	2	7
38	как в	3	7
39	и к	2	7
40	в нашем	2	7
41	в этой	3	7
42	хотя бы	2	7
43	и для	4	7
44	что он	5	7
45	вопрос о	3	6
46	там и	1	6
47	что это	4	6
48	и здесь	6	6
49	во власти	1	6
50	жизнь в	1	6
51	так же	1	6
52	и там	1	6
53	жизни и	3	6
54	то же	3	5
55	в самом	4	5
56	бы и	2	5
57	привести к	1	5
58	что она	2	5
59	в своей	3	5
60	в конце	2	5
61	и его	12	5
62	к тому	12	5
63	и это	2	5
64	это не	2	5
65	один из	5	5
66	в его	4	5
67	для того	5	5
68	то что	6	5
69	и все	2	5
70	в духе	2	5
71	с его	5	4
72	думать что	1	4
73	в жизни	1	4
74	человек который	1	4
75	народа и	1	4
76	том что	9	4
77	жизнь и	1	4
78	тому что	4	4
79	не имеет	3	4
80	из людей	1	4
81	того чтобы	6	4
82	они и	1	4
83	должен быть	1	4
84	что у	4	4
85	так и	12	4
86	означает что	1	4
87	себя в	3	4
88	что и	7	4
89	в свою	1	4
90	до конца	1	4
91	т е	1	4
92	человека не	1	4
93	что в	9	4
94	все что	1	4
95	чувствовать себя	1	3
96	стали бы	2	3
97	той же	3	3
98	они были	1	3
99	и самого	1	3
100	и на	7	3
101	в чем	1	3
102	человеку и	2	3
103	как он	3	3
104	в каждом	3	3
105	и с	5	3
106	на все	1	3
107	его в	4	3
108	мира сего	1	3
109	ни в	5	3
110	в них	4	3
111	он же	1	3
112	одна и	1	3
113	и тогда	1	3
114	не мог	1	3
115	не для	2	3
116	любви и	1	3
117	того как	3	3
118	по своей	1	3
119	в трагедии	1	3
120	в образе	3	3
121	было в	1	3
122	если бы	9	3
123	с ним	1	3
124	о том	6	3
125	и во	2	3
126	в том	11	3
127	только в	4	3
128	не так	1	3
129	тем что	3	3
130	от того	2	3
131	до сих	2	3
132	к которому	1	3
133	считает себя	1	3
134	с которым	2	3
135	нет ничего	1	3
136	в творчестве	1	3
137	жизни в	1	3
138	и нет	1	3
139	сих пор	2	3
140	и от	4	3
141	сказать что	1	3
142	отношения к	1	2
143	не имеют	1	2
144	и за	2	2
145	его не	1	2
146	а для	1	2
147	же что	1	2
148	не был	1	2
149	во всех	3	2
150	землю и	1	2
151	то он	1	2
152	по отношению	3	2
153	более чем	4	2
154	свою вину	2	2
155	как к	1	2
156	нельзя было	1	2
157	хотя и	4	2
158	в действительности	2	2
159	от этого	2	2
160	в которой	5	2
161	если человек	1	2
162	замыкается в	1	2
163	и если	2	2
