N	3gram	Vinokur_Vv_1	Analitik
1	о том что	12	6
2	в том что	12	6
3	в данном случае	4	5
4	состоит в том	2	4
5	по отношению к	4	4
6	с одной стороны	4	4
7	и в этом	3	4
8	в этом случае	6	4
9	мы имеем дело	1	3
10	подобно тому как	1	3
11	в этом отношении	3	3
12	по крайней мере	4	3
13	того или иного	1	3
14	той или иной	1	3
15	тем не менее	8	3
16	в обоих случаях	1	2
17	в этом смысле	10	2
18	в соответствии с	2	2
19	с точки зрения	2	2
20	в то же	5	2
21	можно было бы	3	2
22	том или ином	1	2
23	и то что	2	2
24	в значительной степени	1	2
25	а не только	1	2
26	не только в	4	2
27	в отличие от	3	2
28	в том или	1	2
29	с другой стороны	5	2
30	в частности в	1	2
31	то же время	5	2
32	и в самом	3	2
33	в этой системе	1	2
34	тех или иных	3	2
35	говорилось о том	1	1
36	а между тем	1	1
37	что иное как	4	1
38	можно сказать что	3	1
39	сказать что в	1	1
40	никак не может	1	1
41	имеется в виду	1	1
42	как это было	1	1
43	прямо говорит о	1	1
44	хотя бы и	2	1
45	и цельную картину	1	1
46	все это делает	1	1
47	которая сама по	1	1
48	но и в	1	1
49	как и наоборот	1	1
50	на этот вопрос	3	1
51	каждом из них	1	1
52	с этой точки	1	1
53	и тогда когда	1	1
54	в применении к	6	1
55	все что может	1	1
56	самое что и	1	1
57	его можно было	1	1
58	дело не с	1	1
59	и т.д в	1	1
60	ответ на вопрос	2	1
61	и то же	1	1
62	как один из	1	1
63	в известном смысле	3	1
64	имеем дело с	1	1
65	так или иначе	4	1
66	в свою очередь	1	1
67	в связи с	2	1
68	одно и то	1	1
69	прежде всего в	1	1
70	в целом ряде	2	1
71	уже не к	1	1
72	в свое время	2	1
73	этой точки зрения	1	1
74	а в том	1	1
75	только то что	1	1
76	речь идет уже	1	1
77	по поводу того	1	1
78	есть не что	2	1
79	не может быть	8	1
80	ответ на этот	1	1
81	же самое что	2	1
82	заключается в том	3	1
83	не что иное	4	1
84	в самом деле	5	1
85	во второй половине	2	1
86	в этих случаях	2	1
87	в самом его	1	1
88	в том-то и	1	1
89	к тому что	1	1
90	сама по себе	3	1
91	дело не в	1	1
92	в этом втором	1	1
93	могут быть в	1	1
94	точно так же	2	1
95	то же самое	2	1
96	обратим внимание на	1	1
97	идет уже не	1	1
