N	2gram	Vinokur_Vv_1	SlovoVZh
1	не может	13	16
2	может быть	24	14
3	точки зрения	7	14
4	как бы	5	13
5	и его	5	13
6	таким образом	19	12
7	и в	27	12
8	по отношению	4	11
9	отношению к	4	11
10	и не	13	10
11	если бы	2	9
12	так как	13	9
13	прежде всего	8	8
14	сказать что	5	7
15	в ней	3	6
16	в том	31	6
17	только в	13	6
18	при этом	3	6
19	с помощью	1	6
20	в нем	13	6
21	слова и	1	6
22	все время	1	6
23	должна быть	2	5
24	то же	8	5
25	в виду	4	5
26	можно сказать	3	5
27	как в	1	5
28	но в	10	5
29	и др	2	5
30	в жизни	1	5
31	а не	3	5
32	как и	5	5
33	что мы	2	5
34	том что	26	5
35	к предмету	1	5
36	никогда не	3	5
37	хотя бы	5	5
38	то что	17	5
39	на самом	1	4
40	зависимости от	1	4
41	литературы и	1	4
42	как если	1	4
43	к нему	2	4
44	к автору	1	4
45	в литературе	1	4
46	в этом	34	4
47	все же	8	4
48	в самом	12	4
49	уже не	5	4
50	не только	21	4
51	ни было	1	4
52	отношение к	3	4
53	свое выражение	3	4
54	от того	3	4
55	так и	1	4
56	материала и	1	4
57	с другой	8	4
58	что не	5	4
59	не в	8	4
60	его в	6	4
61	дело в	3	4
62	и является	1	4
63	и к	1	4
64	жизни и	2	4
65	и на	3	4
66	здесь не	2	3
67	самом деле	6	3
68	в котором	4	3
69	ведь и	1	3
70	ясно что	9	3
71	еще не	4	3
72	мы не	2	3
73	и вообще	3	3
74	о том	15	3
75	бы то	1	3
76	но и	5	3
77	между тем	8	3
78	нуждается в	2	3
79	того что	12	3
80	быть и	2	3
81	и ее	4	3
82	все эти	3	3
83	только на	3	3
84	в себе	4	3
85	слово в	1	3
86	да и	4	3
87	для него	1	3
88	он должен	1	3
89	не к	2	3
90	то ни	1	3
91	и с	2	3
92	до сих	5	3
93	в них	4	3
94	и уже	3	3
95	в своей	4	3
96	так же	3	3
97	в такой	1	3
98	тем не	8	3
99	этой точки	1	3
100	как к	1	3
101	и более	1	3
102	в содержание	1	3
103	по себе	9	3
104	произведения и	2	3
105	сих пор	5	3
106	не менее	8	3
107	все это	6	3
108	но для	1	3
109	и для	4	3
110	это как	1	3
111	находит свое	1	3
112	так называемой	3	3
113	с ним	1	3
114	или не	1	3
115	отношении к	2	3
116	в каком	1	3
117	от этой	1	2
118	значения и	1	2
119	как не	1	2
120	и то	5	2
121	как это	5	2
122	в себя	1	2
123	и совершенно	2	2
124	вещи и	1	2
125	мы имеем	3	2
126	нас и	1	2
127	истории литературы	3	2
128	искусства и	1	2
129	не остается	1	2
130	и та	1	2
131	настоящее время	1	2
132	и что	4	2
133	между собой	1	2
134	в чем	4	2
135	данном случае	5	2
136	в данном	11	2
137	к слову	1	2
138	в его	10	2
139	что и	3	2
140	в форме	2	2
141	и содержания	1	2
142	независимо от	3	2
143	с чисто	2	2
144	в своем	3	2
145	кроме того	1	2
146	как уже	2	2
147	его к	2	2
148	дело с	6	2
149	в какой	4	2
150	и так	1	2
151	сливается с	3	2
152	в самое	1	2
153	в настоящее	1	2
154	с одной	4	2
155	выражение в	1	2
156	уже в	5	2
157	тому же	1	2
158	и те	2	2
159	имеем в	1	2
160	перестает быть	1	2
161	содержания и	1	2
162	в зависимости	1	2
163	к ним	1	2
164	мы можем	2	2
165	но что	3	2
166	из него	1	2
167	одно и	1	2
168	но все	3	2
169	в особенности	4	2
170	с другими	1	2
171	это не	8	2
172	оно не	1	2
173	литературы с	2	2
174	более того	1	2
175	одной стороны	4	2
176	соприкасается с	1	2
177	зависит от	3	2
178	до конца	3	2
179	другой стороны	5	2
180	автора и	1	2
181	в момент	1	2
182	вместе с	6	2
183	в отношении	2	2
184	но не	7	2
185	живого общения	1	2
186	общего с	1	2
187	точку зрения	1	2
188	с этой	4	2
189	еще раз	1	2
190	с точки	2	2
191	в атмосфере	1	2
192	этой стороны	2	2
193	тогда когда	3	2
194	в то	5	2
195	слова но	1	2
196	ничего не	2	2
197	а к	1	2
198	этих двух	1	2
199	и все	1	2
200	но зато	2	2
201	в этих	3	2
202	но это	1	2
203	бы оно	1	2
204	между ними	2	2
205	стороны и	3	2
206	содержанию и	1	2
207	могут быть	4	2
208	как только	1	2
209	же самое	2	2
210	что в	11	2
211	как на	11	2
212	и другие	1	2
213	не есть	4	2
214	к этому	3	2
215	если же	2	2
216	за ее	1	1
217	а между	1	1
218	и это	6	1
219	на нечто	1	1
220	например в	2	1
221	же как	3	1
222	именно эту	1	1
223	как мы	9	1
224	и о	1	1
225	чтобы не	1	1
226	момент в	1	1
227	сам по	1	1
228	свою очередь	1	1
229	языки в	1	1
230	совершенно ясно	1	1
231	это и	1	1
232	только то	1	1
233	с самого	1	1
234	идет речь	2	1
235	из его	2	1
236	определяется в	1	1
237	из двух	2	1
238	можно было	7	1
239	мы уже	1	1
240	отличная от	1	1
241	усвоить себе	1	1
242	так называемую	2	1
243	на вещи	2	1
244	а уж	1	1
245	нуждаются в	1	1
246	это только	4	1
247	жизнь и	1	1
248	та же	1	1
249	что уже	3	1
250	от породившей	1	1
251	для этого	3	1
252	в содержании	1	1
253	собственно в	1	1
254	не вполне	4	1
255	то она	1	1
256	зато она	1	1
257	так называемые	1	1
258	к целому	1	1
259	слово не	1	1
260	быть более	1	1
261	себе общий	1	1
262	на какой-нибудь	1	1
263	быть понято	1	1
264	не нужно	2	1
265	с соответствующими	1	1
266	в значительной	2	1
267	во всех	2	1
268	вопросу о	2	1
269	в конечном	1	1
270	то мы	1	1
271	все в	1	1
272	и всего	1	1
273	то в	1	1
274	от его	1	1
275	это бывает	1	1
276	самый принцип	1	1
277	в общем	12	1
278	автор как	1	1
279	искусства в	1	1
280	в индивидуальной	1	1
281	себе и	2	1
282	крайней мере	4	1
283	непосредственно в	1	1
284	именно в	8	1
285	сама по	3	1
286	от целого	1	1
287	знания и	3	1
288	в лучшем	1	1
289	содержание но	1	1
290	в одной	1	1
291	не входят	1	1
292	что именно	2	1
293	было области	1	1
294	так называемая	2	1
295	что здесь	2	1
296	как например	5	1
297	ее различных	1	1
298	на которой	1	1
299	в новой	1	1
300	понять и	1	1
301	хотя и	3	1
302	и понимания	1	1
303	тот же	1	1
304	ценностей и	1	1
305	и художественного	1	1
306	явления в	1	1
307	себе не	1	1
308	увидим что	1	1
309	все возможные	1	1
310	как нечто	8	1
311	нашего времени	2	1
312	случае она	1	1
313	к делу	3	1
314	героического эпоса	1	1
315	тому как	1	1
316	весь круг	1	1
317	отношения между	1	1
318	что это	3	1
319	более широком	1	1
320	в целом	5	1
321	его содержания	1	1
322	самое содержание	1	1
323	не то	1	1
324	себя в	2	1
325	есть в	1	1
326	бы только	1	1
327	литературы в	3	1
328	права и	1	1
329	во многих	1	1
330	находящееся в	2	1
331	обоих этих	1	1
332	значение и	2	1
333	в виде	4	1
334	своим содержанием	1	1
335	что она	3	1
336	слова не	1	1
337	или даже	1	1
338	при помощи	2	1
339	и обратно	4	1
340	его и	1	1
341	сказано в	1	1
342	формы но	1	1
343	одно из	5	1
344	как часто	1	1
345	всяком случае	3	1
346	ведь это	1	1
347	не как	3	1
348	в одном	4	1
349	и вот	3	1
350	вовсе не	6	1
351	можно с	1	1
352	языке мы	1	1
353	у него	1	1
354	какой бы	2	1
355	подобно тому	1	1
356	на этом	3	1
357	она имеет	1	1
358	нее не	1	1
359	или иных	3	1
360	не бывает	2	1
361	самом же	1	1
362	значительной степени	1	1
