N	2gram	Nazirov_Tv_2	SlovoVZh
1	не может	7	16
2	может быть	8	14
3	как бы	11	13
4	и его	9	13
5	таким образом	10	12
6	и в	20	12
7	по отношению	3	11
8	отношению к	3	11
9	и не	9	10
10	если бы	4	9
11	так как	3	9
12	прежде всего	8	8
13	художественного произведения	1	7
14	сказать что	1	7
15	для нас	1	7
16	в том	8	6
17	только в	2	6
18	при этом	8	6
19	в нем	3	6
20	все время	2	6
21	в процессе	2	6
22	то же	7	5
23	в виду	1	5
24	отнюдь не	4	5
25	как в	4	5
26	но в	4	5
27	и др	3	5
28	в жизни	1	5
29	героя и	2	5
30	а не	6	5
31	как и	6	5
32	том что	4	5
33	никогда не	11	5
34	то что	3	5
35	литературы и	1	4
36	к автору	1	4
37	в литературе	2	4
38	в этом	8	4
39	все же	5	4
40	в самом	3	4
41	уже не	3	4
42	не только	13	4
43	отношение к	1	4
44	так и	6	4
45	с другой	2	4
46	что не	3	4
47	не в	4	4
48	его в	3	4
49	дело в	1	4
50	и является	1	4
51	и к	1	4
52	и на	5	4
53	самом деле	2	3
54	в котором	3	3
55	в пределах	1	3
56	ясно что	1	3
57	еще не	5	3
58	мы не	4	3
59	с героем	1	3
60	и вообще	2	3
61	о том	5	3
62	но и	8	3
63	между тем	3	3
64	точка зрения	2	3
65	нуждается в	1	3
66	когда он	4	3
67	и наконец	2	3
68	имеет в	2	3
69	и ее	2	3
70	все эти	4	3
71	в себе	3	3
72	в поэзии	1	3
73	в творчестве	5	3
74	для него	3	3
75	не к	1	3
76	и по	2	3
77	и с	8	3
78	до сих	3	3
79	ни в	1	3
80	в них	1	3
81	в своей	6	3
82	так же	5	3
83	в такой	2	3
84	и более	1	3
85	из этого	2	3
86	по себе	1	3
87	сих пор	3	3
88	не менее	2	3
89	все это	6	3
90	с автором	1	3
91	и для	1	3
92	это как	1	3
93	ее и	1	3
94	находит свое	1	3
95	с ним	3	3
96	отношении к	1	3
97	от этой	2	2
98	как это	1	2
99	опираясь на	2	2
100	в себя	1	2
101	действия и	2	2
102	едва ли	2	2
103	со всех	1	2
104	и значение	1	2
105	и здесь	1	2
106	не остается	1	2
107	с его	1	2
108	и что	2	2
109	между собой	1	2
110	в чем	4	2
111	в его	10	2
112	что и	1	2
113	в формах	1	2
114	как уже	1	2
115	его к	1	2
116	и потому	4	2
117	сливается с	1	2
118	бы не	2	2
119	с одной	1	2
120	уже в	2	2
121	тому же	2	2
122	в душе	4	2
123	он не	3	2
124	не так	2	2
125	эта последняя	1	2
126	извне как	1	2
127	влияние на	1	2
128	с другими	2	2
129	это не	7	2
130	более того	2	2
131	определить его	1	2
132	зависит от	2	2
133	другой стороны	2	2
134	была бы	1	2
135	оценки и	1	2
136	автора и	1	2
137	в момент	1	2
138	о ком	1	2
139	связь с	2	2
140	нет ничего	3	2
141	вместе с	3	2
142	но не	5	2
143	общего с	1	2
144	место в	3	2
145	несравненно более	2	2
146	точку зрения	2	2
147	исповеди и	1	2
148	с этой	3	2
149	она не	1	2
150	автором и	1	2
151	такой же	2	2
152	в основном	6	2
153	этой стороны	1	2
154	в то	10	2
155	на него	2	2
156	героев и	1	2
157	ничего не	4	2
158	но отнюдь	1	2
159	а к	1	2
160	но зато	3	2
161	в этих	1	2
162	но это	5	2
163	между ними	1	2
164	от всех	1	2
165	стороны и	1	2
166	но этот	1	2
167	им не	1	2
168	могут быть	2	2
169	и вполне	1	2
170	как только	1	2
171	на это	1	2
172	что в	7	2
173	как на	1	2
174	и другие	1	2
175	не есть	1	2
176	к этому	3	2
177	если же	1	2
178	с собственной	1	1
179	а между	1	1
180	и это	3	1
181	ту же	1	1
182	например в	5	1
183	же как	3	1
184	именно эту	1	1
185	как мы	1	1
186	и о	1	1
187	и художественное	1	1
188	совпадают с	1	1
189	свою очередь	1	1
190	есть форма	1	1
191	на основе	1	1
192	это и	1	1
193	характер и	1	1
194	с первого	1	1
195	только то	1	1
196	с самого	1	1
197	то время	1	1
198	по преимуществу	2	1
199	из его	1	1
200	проникает в	2	1
201	высшей степени	1	1
202	умирает в	1	1
203	можно было	1	1
204	мы уже	1	1
205	автора со	1	1
206	жизнь и	1	1
207	что уже	1	1
208	является в	1	1
209	метафорическое выражение	1	1
210	и всякого	1	1
211	до минимума	1	1
212	и стиль	1	1
213	не вполне	1	1
214	на себя	1	1
215	сводится к	2	1
216	ценности и	1	1
217	к целому	1	1
218	и он	2	1
219	с большим	3	1
220	всех сторон	1	1
221	за пределами	1	1
222	восприятие художественного	1	1
223	но при	1	1
224	и умирает	1	1
225	там же	9	1
226	столь же	1	1
227	мы понимаем	1	1
228	во всех	1	1
229	в конечном	1	1
230	важно не	1	1
231	то мы	1	1
232	то в	1	1
