N	2gram	Vygotskiy__4	Vladivir
1	и в	33	40
2	то что	44	28
3	и не	13	25
4	не только	7	25
5	у него	6	24
6	то есть	13	24
7	в том	21	18
8	но и	3	18
9	том что	22	18
10	что в	21	17
11	также и	2	17
12	в этом	28	16
13	не может	10	14
14	так что	7	14
15	в его	10	14
16	вовсе не	5	13
17	точки зрения	6	13
18	в виде	3	13
19	только в	4	13
20	в конце	8	12
21	сказать что	13	12
22	таким образом	13	11
23	потому что	24	11
24	никогда не	5	11
25	о том	20	11
26	едва ли	2	11
27	это есть	1	10
28	как раз	9	10
29	и его	5	10
30	ни в	3	10
31	и потому	2	10
32	не просто	4	10
33	прежде всего	2	10
34	то это	3	10
35	в себе	6	9
36	и с	2	9
37	что это	13	9
38	в своей	4	9
39	и то	2	9
40	есть только	2	9
41	для него	1	8
42	может быть	22	8
43	как мы	4	8
44	так же	13	8
45	в этой	9	8
46	и что	25	8
47	он не	11	8
48	не был	2	8
49	а также	1	8
50	а не	6	8
51	в своем	7	8
52	как и	5	7
53	с тем	4	7
54	а в	4	7
55	в то	3	7
56	вместе с	8	7
57	к тому	12	7
58	же с	1	7
59	того что	4	7
60	что и	3	7
61	и если	9	7
62	несмотря на	1	7
63	в своих	3	7
64	что все	11	7
65	так как	12	7
66	и как	5	7
67	и здесь	3	6
68	это значит	1	6
69	не будет	4	6
70	так и	3	6
71	в смысле	1	6
72	по себе	9	6
73	об этом	4	6
74	и даже	1	6
75	с точки	4	6
76	хотя бы	2	6
77	и от	2	6
78	во всем	2	6
79	да и	3	6
80	и на	5	6
81	почему же	2	6
82	и это	5	6
83	но это	1	6
84	все эти	6	5
85	для нас	7	5
86	конце концов	3	5
87	ничего общего	1	5
88	в одном	3	5
89	у нас	4	5
90	совсем не	1	5
91	дело в	1	5
92	но если	3	5
93	в отношении	1	5
94	тому же	3	5
95	в истории	1	5
96	должно быть	3	5
97	ничего не	2	5
98	эти три	2	5
99	тем что	3	5
100	мы уже	5	5
101	можно считать	1	5
102	с другой	2	5
103	в ней	6	5
104	что он	20	5
105	только на	1	5
106	можно было	4	5
107	не было	3	5
108	еще не	1	4
109	вопрос о	2	4
110	говорит о	4	4
111	утверждает что	4	4
112	и все	12	4
113	на то	10	4
114	поскольку он	1	4
115	даже в	2	4
116	есть все	1	4
117	как это	14	4
118	все же	5	4
119	бы и	2	4
120	а с	2	4
121	но не	3	4
122	здесь в	3	4
123	не имеет	2	4
124	если мы	12	4
125	что если	3	4
126	мы должны	6	4
127	в течение	1	4
128	и о	4	4
129	такого рода	1	4
130	то же	9	4
131	него в	1	4
132	однако и	1	4
133	в котором	2	4
134	но даже	1	4
135	тому что	6	4
136	такой же	2	4
137	до конца	7	4
138	в результате	2	4
139	но в	2	4
140	при помощи	4	4
141	она была	1	4
142	то время	2	4
143	по существу	2	4
144	в каком	8	4
145	или как	1	4
146	было бы	12	4
147	никак не	6	4
148	точно так	3	4
149	о боге	1	4
150	в глаза	1	4
151	в дальнейшем	1	4
152	в самом	12	4
153	весь этот	1	3
154	во всяком	3	3
155	в связи	1	3
156	бы то	2	3
157	ее в	4	3
158	или не	1	3
159	тех кто	1	3
160	при этом	2	3
161	и для	3	3
162	как на	6	3
163	был бы	3	3
164	к нему	1	3
165	в нем	7	3
166	не в	2	3
167	и вообще	1	3
168	не так	1	3
169	нисколько не	5	3
170	которое в	1	3
171	того чтобы	22	3
172	же в	1	3
173	но все	2	3
174	независимо от	1	3
175	в виду	2	3
176	сводится к	2	3
177	и только	7	3
178	но для	1	3
179	все то	12	3
180	этом смысле	1	3
181	то как	2	3
182	то ни	1	3
183	в таком	4	3
184	на самом	6	3
185	он мог	1	3
186	жизнь и	4	3
187	за пределы	1	3
188	вот что	1	3
189	что этот	3	3
190	что есть	1	3
191	человека и	1	3
192	это не	6	3
193	в чем	1	3
194	не все	2	3
195	всяком случае	3	3
196	не столько	1	3
197	это было	4	3
198	мы имеем	2	3
