N	2gram	Vinokur_St_3	Sovremen
1	не может	7	17
2	может быть	19	12
3	точки зрения	7	12
4	таким образом	10	11
5	мы не	2	9
6	в каждом	4	8
7	в этом	24	7
8	не можем	1	7
9	и в	25	7
10	каждый раз	2	6
11	ничего не	4	6
12	как и	4	6
13	и не	10	6
14	в результате	2	6
15	отдельном случае	1	5
16	и наконец	3	5
17	все эти	3	5
18	что же	1	5
19	каждом отдельном	1	5
20	прежде всего	10	5
21	с точки	4	5
22	в дальнейшем	1	4
23	вопрос о	1	4
24	нет и	2	4
25	в том	20	4
26	в целом	4	4
27	из них	1	4
28	же это	1	4
29	так как	3	4
30	мы видели	1	4
31	не только	12	4
32	в развитии	2	4
33	с помощью	1	4
34	как бы	6	4
35	вместе с	2	4
36	это не	7	4
37	точку зрения	2	4
38	а в	6	4
39	жизни и	1	4
40	он может	2	3
41	в первом	1	3
42	с самого	2	3
43	то же	5	3
44	ясно что	1	3
45	и т.д	1	3
46	между собой	1	3
47	может не	1	3
48	его развития	1	3
49	все же	4	3
50	еще не	2	3
51	но в	5	3
52	в этой	14	3
53	уже в	3	3
54	как он	1	3
55	что она	1	3
56	в одном	1	3
57	в конце	6	3
58	в нем	1	3
59	из двух	1	3
60	на этой	1	3
61	было бы	7	3
62	а не	5	3
63	не в	6	3
64	все это	8	3
65	самого начала	2	3
66	при таком	1	3
67	одна из	2	3
68	для нас	1	3
69	и все	1	3
70	в системе	3	3
71	у нас	4	3
72	состоит из	1	3
73	и к	4	3
74	когда мы	1	3
75	отличается от	4	3
76	в области	6	3
77	как известно	1	2
78	как мы	2	2
79	свою очередь	1	2
80	тем же	1	2
81	приводит к	1	2
82	той же	2	2
83	времени и	2	2
84	в и	1	2
85	на этом	3	2
86	для его	2	2
87	из одного	1	2
88	говорить о	3	2
89	и что	3	2
90	и во	2	2
91	самом деле	2	2
92	говорить об	1	2
93	в его	12	2
94	каждая из	3	2
95	с этим	7	2
96	в самом	2	2
97	по мнению	3	2
98	в которой	4	2
99	что это	16	2
100	из этих	6	2
101	тот или	1	2
102	с одной	2	2
103	со всеми	1	2
104	и они	1	2
105	уже не	3	2
106	то и	2	2
107	так сказать	2	2
108	в виде	3	2
109	на его	4	2
110	тем не	2	2
111	мы знаем	1	2
112	всяком случае	4	2
113	у него	9	2
114	и по	2	2
115	но все	2	2
116	что все	3	2
117	с общим	1	2
118	конечно в	1	2
119	или иной	2	2
120	в живом	1	2
121	в некоторых	3	2
122	и пр	13	2
123	такой же	2	2
124	свою собственную	1	2
125	что такое	7	2
126	он должен	1	2
127	из которых	4	2
128	такого рода	5	2
129	это за	2	2
130	форма в	1	2
131	не менее	2	2
132	о значении	1	2
133	можно назвать	4	2
134	на котором	2	2
135	и именно	1	2
136	из четырех	1	2
137	этих двух	2	2
138	но очень	1	2
139	мы видим	4	2
140	не дает	1	2
141	в свою	2	2
142	могут быть	2	2
143	же самое	1	2
144	что в	19	2
145	во всяком	4	2
146	приходится сказать	1	1
147	должен быть	2	1
148	и это	5	1
149	он ищет	1	1
150	для этих	1	1
151	своего развития	1	1
152	совпадают с	1	1
153	то она	2	1
154	с ее	2	1
155	а из	1	1
156	на самом	1	1
157	мы имели	2	1
158	так в	1	1
159	по преимуществу	1	1
160	и до	1	1
161	что такой	1	1
162	по аналогии	1	1
163	можно было	1	1
164	этом направлении	1	1
165	те же	1	1
166	из всех	1	1
167	и четвертого	1	1
168	есть не	1	1
169	принадлежит только	1	1
170	здесь нет	2	1
171	во многом	2	1
172	мы имеем	5	1
173	отчасти в	1	1
174	мы в	1	1
175	поэтому в	1	1
176	эти кусочки	1	1
177	если бы	4	1
178	и вообще	1	1
179	и ни	2	1
180	и должно	1	1
181	или как	1	1
182	то они	1	1
183	того же	2	1
184	подчеркнуть что	3	1
185	о том	8	1
186	в ней	4	1
187	вражда к	1	1
188	одного из	2	1
189	развитии в	1	1
190	которую можно	1	1
