N	3gram	Tiupa_Hudo_1	Dialekti
1	с точки зрения	3	9
2	в том что	7	9
3	что иное как	1	8
4	не что иное	1	8
5	по крайней мере	1	7
6	не может быть	3	6
7	то же время	5	6
8	в то же	5	6
9	есть не что	1	5
10	сама по себе	2	5
11	для того чтобы	2	5
12	в этом смысле	3	4
13	это и есть	1	4
14	подобно тому как	1	4
15	то или иное	1	3
16	личности с ее	1	3
17	я думаю что	1	2
18	в данный момент	2	2
19	и в то	1	2
20	ни в коем	2	2
21	точно так же	1	2
22	с этой точки	1	2
23	в коем случае	2	2
24	ту или иную	1	2
25	этой точки зрения	1	2
26	иметь в виду	1	2
27	коем случае не	2	2
28	в свою очередь	2	2
29	та или иная	1	2
30	тем не менее	3	2
31	в сравнении с	1	2
32	себя и что	1	1
33	мы имеем дело	2	1
34	прежде всего в	1	1
35	точки зрения в	1	1
36	у достоевского в	1	1
37	не было и	1	1
38	в романе достоевского	1	1
39	именно в этом	1	1
40	их никто не	1	1
41	можно говорить о	1	1
42	не входит в	1	1
43	в отличие от	7	1
44	можно сказать что	3	1
45	мы видим в	1	1
46	всегда так или	1	1
47	во всей его	2	1
48	в основе своей	1	1
49	в том случае	1	1
50	субъект и объект	1	1
51	содержит в себе	1	1
52	это было бы	1	1
53	это ведет к	1	1
54	и в сущности	1	1
55	того что не	1	1
56	жизнь личности в	1	1
57	так или иначе	3	1
58	в связи с	1	1
59	в виду что	1	1
60	уходит своими корнями	1	1
61	своими корнями в	1	1
62	как бы в	1	1
63	было и не	1	1
64	в этом случае	1	1
65	о том что	1	1
66	и прежде всего	1	1
67	с другой стороны	5	1
68	друг от друга	1	1
69	в последней главе	1	1
70	чисто познавательного логического	1	1
71	в чем собственно	1	1
72	тех или иных	2	1
73	в отношении к	1	1
74	не сама по	1	1
75	перед нами не	1	1
76	из того что	1	1
77	по себе а	1	1
78	том случае если	1	1
79	отношении к нему	1	1
80	той или иной	4	1
81	он еще не	1	1
