1	в то же время	2	3
2	и в этом смысле	3	3
3	дело в том что	4	2
4	не что иное как	1	2
5	и притом не только	1	2
6	еще и потому что	2	1
7	что бы то ни	2	1
8	с одной стороны и	2	1
9	бы то ни было	1	1
10	так а не иначе	1	1
11	тем не менее если	3	1
12	таким а не другим	1	1
13	лишь в том что	1	1
14	с этой точки зрения	1	1
15	во что бы то	2	1
16	заключается в том что	1	1
17	и в том что	1	1
18	который сам по себе	1	1
19	с такой точки зрения	1	1
20	и то и другое	1	1
21	в таком случае эта	1	1
22	и в таком виде	1	1
23	тем не менее он	1	1
24	бы то ни стало	2	1
25	то чего я хочу	1	1
