1	в отличие от	3	5
2	в этом отношении	3	5
3	к тому же	1	5
4	в данном случае	3	4
5	по отношению к	5	4
6	в том что	21	4
7	с одной стороны	7	4
8	о том что	4	4
9	в том числе	3	3
10	с точки зрения	18	3
11	не может быть	6	3
12	я и ты	1	3
13	не в одном	1	2
14	и в частности	1	2
15	в целом и	1	2
16	одной стороны и	2	2
17	какого бы то	1	2
18	то ни было	1	2
19	на то что	6	2
20	в том чтобы	4	2
21	то же самое	2	2
22	из того что	4	2
23	том числе и	3	2
24	той или иной	1	2
25	в самом деле	4	2
26	состоит в том	3	2
27	бы то ни	1	2
28	и тем самым	1	2
29	с другой стороны	1	2
30	подобно тому как	2	2
31	и в самом	2	2
32	а также в	1	1
33	до какой степени	1	1
34	только в том	1	1
35	то что в	1	1
36	с ней в	1	1
37	в той или	1	1
38	решающее значение для	1	1
39	данном случае не	1	1
40	и т.д но	1	1
41	хотя бы и	2	1
42	только на то	1	1
43	того же самого	1	1
44	в связи с	6	1
45	может быть вообще	1	1
46	или иной мере	1	1
47	в целом как	1	1
48	речевого общения между	1	1
49	здесь может быть	1	1
50	сама по себе	2	1
51	того что автор	1	1
52	который может быть	1	1
53	то что для	1	1
54	для того чтобы	10	1
55	по существу это	1	1
56	в другом месте	2	1
57	именно в этом	1	1
58	более или менее	2	1
59	в истинном смысле	2	1
60	от жизни а	1	1
61	как раз в	2	1
62	о том как	1	1
63	вопрос о том	2	1
64	на самом деле	2	1
65	по аналогии со	1	1
66	вместе с ней	1	1
67	в конечном счете	4	1
68	и то что	1	1
69	мы все время	1	1
70	в процессе своего	1	1
71	ничего общего с	1	1
72	друг от друга	2	1
73	это не только	1	1
74	этой точки зрения	1	1
75	и к тому	1	1
76	ее возникновения и	1	1
77	не только не	1	1
78	и только в	1	1
