N	4gram	Savitsky_E_1	Psycholo
1	в то время как	1	5
2	с этой точки зрения	5	4
3	заключается в том что	2	3
4	может быть сведена к	1	2
5	несмотря на то что	1	2
6	с одной стороны и	6	1
7	дело в том что	1	1
8	с другой стороны в	1	1
9	одного и того же	1	1
10	заключает в себе ничего	1	1
11	в том числе и	1	1
12	роль которая выпадает на	1	1
13	один и тот же	1	1
14	то мы увидим что	1	1
15	только в том случае	1	1
16	само по себе не	2	1
17	в том случае если	1	1
18	что само по себе	1	1
19	одну и ту же	1	1
20	так же как и	3	1
21	и для того чтобы	1	1
22	не заключает в себе	1	1
23	которая выпадает на долю	1	1
24	ту или иную идеологию	1	1
25	поскольку речь идет о	1	1
