N	3gram	Tiupa_Anal_1	VrazhdaK
1	и все же	2	5
2	то же время	6	4
3	в то же	8	4
4	в связи с	1	3
5	с точки зрения	4	2
6	но в то	2	2
7	не может быть	16	2
8	в том что	9	2
9	о себе знать	1	1
10	впервые на это	1	1
11	да и в	1	1
12	в е годы	1	1
13	далеко не все	1	1
14	равно как и	1	1
15	в этом смысле	1	1
16	в соответствии с	1	1
17	в том же	1	1
18	до сих пор	1	1
19	и не может	4	1
20	более того в	1	1
21	в той же	1	1
22	в этом отношении	2	1
23	внимание в частности	1	1
24	начале х годов	2	1
25	но и как	1	1
26	по крайней мере	1	1
27	друг у друга	1	1
28	одно и то	1	1
29	о том как	1	1
30	на первый взгляд	1	1
31	и то же	1	1
32	одним из первых	1	1
33	в известном смысле	1	1
34	а с другой	1	1
35	все же не	1	1
36	во всяком случае	1	1
37	с другой стороны	2	1
38	в свою очередь	1	1
39	о том что	3	1
40	и в самом	1	1
41	в начале х	2	1
42	в глубине души	1	1
