N	2gram	Tiupa_Vved_1	Formalny
1	и в	13	24
2	в его	4	23
3	прежде всего	7	22
4	и не	12	20
5	так и	8	18
6	точки зрения	1	16
7	не может	7	16
8	в этом	21	15
9	в нем	5	14
10	может быть	18	14
11	таким образом	4	13
12	в своем	5	11
13	как и	11	11
14	в своей	5	11
15	в их	1	11
16	не менее	4	11
17	в ней	4	10
18	то же	5	10
19	вовсе не	1	10
20	настоящее время	1	10
21	и ее	1	10
22	и его	5	10
23	и их	1	10
24	а не	15	10
25	в настоящее	1	10
26	в то	4	9
27	в процессе	1	9
28	и потому	1	9
29	все это	1	9
30	и на	3	8
31	как в	4	8
32	и с	2	8
33	лишь в	2	8
34	не в	6	8
35	же время	3	8
36	в ее	1	8
37	то что	6	8
38	в свою	4	8
39	на самом	4	7
40	должна быть	2	7
41	с ее	1	7
42	не только	20	7
43	место в	2	7
44	жизни и	7	7
45	до конца	3	7
46	и от	2	7
47	но и	19	7
48	еще не	7	6
49	самом деле	3	6
50	отнюдь не	7	6
51	более или	2	6
52	в целом	3	6
53	все эти	1	6
54	в этой	1	6
55	как бы	4	6
56	входит в	1	6
57	как таковой	1	6
58	или менее	2	6
59	свою очередь	4	6
60	на основе	1	6
61	в пределах	2	6
62	в том	10	6
63	было бы	4	6
64	как это	1	6
65	и все	4	6
66	а в	6	6
67	о литературе	1	6
68	хотя бы	1	5
69	во всех	2	5
70	но в	6	5
71	в самом	2	5
72	при этом	26	5
73	по себе	2	5
74	не могло	2	5
75	и до	1	5
76	у нас	1	5
77	должен быть	1	5
78	как мы	3	5
79	в литературе	2	5
80	того что	6	5
81	только на	1	5
82	со стороны	5	5
83	с другой	5	5
84	и др	1	5
85	в искусстве	1	5
86	по отношению	7	4
87	в истории	1	4
88	и к	2	4
89	не как	2	4
90	в мире	8	4
91	с другими	1	4
92	как о	2	4
93	оно не	1	4
94	при таком	1	4
95	никогда не	4	4
96	если бы	7	4
97	в формах	1	4
98	мы увидим	1	4
99	всяком случае	1	4
100	с одной	5	4
101	литературного произведения	1	4
102	одной стороны	5	4
103	литература в	1	4
104	в связи	1	4
105	в частности	13	4
106	отношению к	7	4
107	стороны и	1	4
108	быть и	2	4
109	что в	3	4
110	к этой	1	4
111	так же	1	4
112	во всяком	1	4
113	мы не	4	3
114	по аналогии	1	3
115	зависимости от	1	3
116	но не	5	3
117	отношение к	2	3
118	как к	1	3
119	все же	6	3
120	целый ряд	2	3
121	и наконец	2	3
122	в себе	5	3
123	так сказать	2	3
124	он не	3	3
125	перестает быть	1	3
126	всех этих	1	3
127	так например	1	3
128	значение в	1	3
129	в жизни	4	3
130	произведение как	1	3
131	в них	2	3
132	кругозора и	1	3
133	они не	1	3
134	в отношении	1	3
135	тем самым	5	3
136	не о	2	3
137	в основе	3	3
138	связи с	1	3
139	сводится к	4	3
140	не по	1	3
141	к тому	6	3
142	здесь не	2	3
143	особенно в	1	3
144	аналогии с	1	3
145	бы в	3	3
146	наконец в	1	3
147	как она	1	3
148	один из	3	3
149	для него	3	3
150	в особенности	1	3
151	и даже	1	3
152	в области	3	3
153	бытия в	2	3
154	не было	2	3
155	произведение в	2	3
156	на фоне	2	3
157	в художественном	1	3
158	но это	3	3
159	каждой из	1	3
160	у них	1	3
161	с помощью	1	3
162	же в	1	3
163	между ними	1	3
164	среду в	1	3
165	что он	1	3
166	тех же	1	2
167	в зависимости	1	2
168	и должен	1	2
169	а как	1	2
170	как если	1	2
171	своей работе	1	2
172	а только	1	2
173	друг от	1	2
174	идет о	1	2
175	в него	1	2
176	однако не	1	2
177	впечатление что	1	2
178	в произведении	1	2
179	в литературном	1	2
180	он в	1	2
181	в нашем	6	2
182	и если	1	2
183	на его	1	2
184	и вот	1	2
185	том чтобы	2	2
186	и более	3	2
187	могла бы	3	2
188	в работе	1	2
189	это не	6	2
190	начала и	2	2
191	с тем	1	2
192	мы видели	2	2
193	жизни но	1	2
194	что содержание	1	2
195	не так	1	2
196	гуманитарных наук	1	2
197	человеческое сознание	1	2
198	бы быть	1	2
199	на него	2	2
200	чтобы стать	2	2
201	к другим	1	2
202	жизни не	1	2
203	одна из	4	2
204	в противовес	3	2
205	во всем	1	2
206	а лишь	2	2
