N	3gram	Losev_Vesc_1	Otkroven
1	в нем нет	1	3
2	для того чтобы	2	3
3	это было бы	1	2
4	что у него	1	2
5	не может быть	6	2
6	ли сказать что	3	2
7	можно ли сказать	3	2
8	с тем что	1	2
9	ни у кого	1	2
10	не только одно	1	1
11	и ни с	1	1
12	как будто бы	1	1
13	по сравнению с	6	1
14	по природе своей	1	1
15	все еще не	1	1
16	не в том	1	1
17	кем и ни	1	1
18	это потому что	1	1
19	одно из самых	1	1
20	в самом деле	4	1
21	есть не только	2	1
22	всякий кто хочет	1	1
23	это не есть	1	1
24	и все эти	1	1
25	о том как	1	1
26	ни с кем	1	1
27	но почему же	1	1
28	да и то	1	1
29	есть момент в	1	1
30	во всяком случае	2	1
31	сам по себе	3	1
32	потому что у	1	1
33	с кем и	1	1
34	даже и в	1	1
35	само по себе	1	1
36	он и не	1	1
37	о том что	4	1
38	в этом отношении	1	1
39	самое главное в	1	1
40	ни с какой	1	1
41	должна быть не	1	1
42	и в самом	1	1
43	ни с чем	2	1
44	в том что	4	1
45	вообще но и	2	1
46	на то что	2	1
47	и не в	1	1
48	и то что	3	1
49	т е от	1	1
50	но может ли	1	1
51	отличается от всех	1	1
52	друг с другом	1	1
53	в самом начале	1	1
54	хотя бы даже	1	1
55	в самом последнем	1	1
56	от того что	1	1
57	не есть просто	4	1
