N	3gram	Medvedev_U_1	Myshleni
1	в том что	2	21
2	с одной стороны	1	7
3	не может быть	4	6
4	на то что	1	6
5	в самом деле	2	4
6	в конечном счете	4	4
7	в данном случае	1	3
8	в этом отношении	2	3
9	более или менее	1	2
10	в этом смысле	2	2
11	хотя бы и	2	2
12	само по себе	1	2
13	то же самое	2	2
14	же самое что	1	2
15	нам думается что	1	2
16	друг с другом	1	2
17	у нас в	1	1
18	это было бы	1	1
19	имеем в виду	1	1
20	в течение многих	1	1
21	вот почему она	1	1
22	на первый план	1	1
23	до сих пор	2	1
24	говорит он в	1	1
25	сам по себе	1	1
26	не входит в	1	1
27	бы то ни	3	1
28	он пытается заменить	1	1
29	с тем что	1	1
30	на каждом шагу	2	1
31	элементы из которых	1	1
32	и то что	2	1
33	и в частности	2	1
34	не в том	1	1
35	то ни было	3	1
36	по нашему мнению	3	1
37	прежде всего что	1	1
38	не могут быть	2	1
39	он не обладает	1	1
40	с другой стороны	3	1
41	верно и то	1	1
42	во главу угла	1	1
43	никогда не может	1	1
44	еще один пример	1	1
45	можно сказать что	1	1
46	мы имеем в	1	1
47	это не только	1	1
48	в буквальном смысле	1	1
49	вот почему в	1	1
50	он прежде всего	1	1
