N	3gram	Bakhtin_sl_2	VerxiiNi
1	с одной стороны	5	7
2	с точки зрения	3	6
3	во всяком случае	2	6
4	более или менее	2	5
5	в том числе	1	5
6	до сих пор	2	5
7	для того чтобы	2	5
8	о том что	1	4
9	том числе и	1	4
10	но все же	4	4
11	всяком случае не	1	3
12	в связи с	2	3
13	тем не менее	1	3
14	в том что	4	3
15	нет для него	1	2
16	и связанные с	2	2
17	но все это	1	2
18	в этом отношении	3	2
19	может быть и	2	2
20	так и от	1	2
21	между этими двумя	1	2
22	таким образом в	1	2
23	то же время	4	2
24	с самого начала	1	2
25	той или иной	5	2
26	на то что	1	2
27	в то же	4	2
28	влечет за собой	1	2
29	и в сущности	2	1
30	даже там где	1	1
31	не может не	1	1
32	в широком смысле	1	1
33	иметь в виду	1	1
34	по отношению к	4	1
35	и в смысле	1	1
36	а следовательно и	1	1
37	и в то	1	1
38	до известной степени	1	1
39	сами по себе	1	1
40	особенно важное значение	1	1
41	никогда не могут	1	1
42	на каждом шагу	2	1
43	утверждать что в	1	1
44	их отношение к	1	1
45	в xvii веке	1	1
46	но в то	3	1
47	глубокие различия между	1	1
48	тот факт что	2	1
49	и не могут	1	1
50	говорить не приходится	1	1
51	в отличие от	12	1
52	точки зрения а	1	1
53	не только как	1	1
54	все более и	1	1
55	мы уже говорили	1	1
56	в этом направлении	1	1
57	тем или иным	1	1
58	друг к другу	1	1
59	с другой стороны	1	1
60	речь идет о	1	1
61	мы видели что	1	1
62	а в том	1	1
63	сих пор не	2	1
64	не может быть	15	1
65	может и не	1	1
66	так и в	3	1
67	в свою очередь	2	1
68	тем и другим	1	1
69	не только не	1	1
70	более и более	1	1
71	в этой роли	1	1
