N	3gram	Berdyaev_M_1	PoTuStor
1	до сих пор	2	3
2	по сравнению с	1	3
3	во всяком случае	1	3
4	не может быть	17	3
5	в нем нет	1	2
6	в самом деле	1	2
7	не могут быть	2	2
8	о том что	1	2
9	на протяжении всей	1	2
10	а иногда и	1	1
11	в глубине ее	1	1
12	мы имеем в	1	1
13	новых и новых	1	1
14	имеем в виду	1	1
15	и есть та	1	1
16	он не был	1	1
17	в свою противоположность	2	1
18	и та же	1	1
19	можно было бы	1	1
20	вместе с тем	5	1
21	ним может быть	1	1
22	быть может наиболее	1	1
23	в высшей степени	2	1
24	человека и все	1	1
25	человек не может	2	1
26	в конце пути	2	1
27	в этот момент	1	1
28	в том что	1	1
29	в разных местах	1	1
30	в любви к	4	1
31	это и есть	4	1
32	одна и та	1	1
33	что иное как	1	1
34	и ту же	1	1
35	влечет его к	1	1
36	есть прежде всего	1	1
37	на этом пути	2	1
38	в него все	1	1
39	в том смысле	2	1
40	не что иное	1	1
41	для того чтобы	2	1
42	одну и ту	1	1
43	не был связан	1	1
44	мы увидим что	3	1
