N	3gram	Tiupa_Anal_1	Myshleni
1	в том что	9	21
2	с точки зрения	4	18
3	для того чтобы	3	10
4	с одной стороны	3	7
5	в зависимости от	1	6
6	в связи с	1	6
7	во всяком случае	1	6
8	не может быть	16	6
9	по отношению к	5	5
10	в самом деле	2	4
11	из того что	3	4
12	а с другой	1	4
13	в том чтобы	7	4
14	о том что	3	4
15	в конечном счете	4	4
16	состоит в том	3	3
17	в том числе	3	3
18	в отличие от	6	3
19	в собственном смысле	1	3
20	том числе и	1	3
21	в данном случае	2	3
22	смысле этого слова	1	3
23	собственном смысле слова	1	3
24	вместе с ним	2	3
25	в этом отношении	2	3
26	того что в	2	2
27	более или менее	1	2
28	подобно тому как	3	2
29	в этом смысле	1	2
30	в том же	1	2
31	или во всяком	1	2
32	на вопрос о	1	2
33	в целом но	1	2
34	то же самое	2	2
35	и в самом	1	2
36	друг с другом	1	2
37	только тогда когда	1	2
38	по своей природе	1	1
39	следует что для	1	1
40	в той или	3	1
41	и к тому	2	1
42	этой точки зрения	1	1
43	этого слова как	1	1
44	имеем в виду	1	1
45	в этом последнем	1	1
46	как и во	1	1
47	в том и	2	1
48	и в качестве	1	1
49	о том как	1	1
50	один и тот	1	1
51	что как бы	1	1
52	существует независимо от	1	1
53	до сих пор	1	1
54	на точку зрения	1	1
55	сам по себе	1	1
56	бы то ни	3	1
57	на самом же	1	1
58	самим по себе	1	1
59	того и другого	2	1
60	а вместе с	1	1
61	в сущности говоря	1	1
62	или хотя бы	1	1
63	в частности к	1	1
64	как если бы	1	1
65	именно в этом	2	1
66	только для того	1	1
67	что даже в	1	1
68	в том случае	1	1
69	в коем случае	2	1
70	рода что и	1	1
71	вновь и вновь	1	1
72	и в частности	1	1
73	и тогда когда	1	1
74	не в том	3	1
75	сами по себе	2	1
76	первую из этих	1	1
77	в данный момент	1	1
78	в такой же	1	1
79	то ни было	3	1
80	в самом простом	1	1
81	и тот же	1	1
82	не свидетельствует о	1	1
83	и не могут	1	1
84	представляет собой не	1	1
85	а отнюдь не	1	1
86	все без исключения	1	1
87	не могут быть	2	1
88	по этому пути	1	1
89	мышления в частности	1	1
90	это также не	1	1
91	дело не в	1	1
92	с ним и	1	1
93	который по своей	1	1
94	и тем самым	1	1
95	том и заключается	1	1
96	могла бы быть	1	1
97	с другой стороны	2	1
98	ни в коем	2	1
99	и все же	2	1
100	том случае если	1	1
101	коем случае не	2	1
102	или можно сказать	1	1
103	значение этих слов	1	1
104	в отрыве от	2	1
105	включает в себя	1	1
106	той или иной	6	1
107	мы имеем в	1	1
108	только в том	1	1
109	самом же деле	1	1
110	в известном смысле	1	1
111	должно быть понято	1	1
112	том что он	2	1
113	как и в	1	1
114	к тому же	4	1
115	а затем уже	1	1
116	как мы постараемся	1	1
117	в свое время	2	1
