N	2gram	Medvedev_F_3	Stilisti
1	и в	27	42
2	не только	9	27
3	как бы	8	27
4	прежде всего	4	22
5	внутренней речи	2	18
6	хотя бы	6	17
7	то же	15	15
8	но и	10	15
9	социального общения	9	14
10	и не	30	14
11	не может	24	12
12	может быть	25	12
13	мы уже	3	11
14	как и	14	11
15	точки зрения	16	11
16	отнюдь не	8	10
17	в этом	18	10
18	и как	4	10
19	как мы	8	10
20	мы должны	2	10
21	что мы	1	10
22	мы не	4	9
23	при этом	8	9
24	в то	7	9
25	для того	4	9
26	то что	8	9
27	в ней	5	8
28	все же	6	8
29	в себе	3	8
30	таким образом	18	8
31	тем самым	1	8
32	и это	2	8
33	слово как	3	8
34	с тем	7	8
35	что же	5	8
36	в зависимости	5	7
37	зависимости от	5	7
38	и на	3	7
39	было бы	6	7
40	и тем	3	7
41	так как	9	7
42	никогда не	5	7
43	же время	7	7
44	потому что	7	7
45	того чтобы	5	7
46	ничего не	2	7
47	с его	2	7
48	слов и	4	7
49	только в	8	7
50	и его	19	7
51	мы можем	4	7
52	а не	17	7
53	и от	11	7
54	во всех	3	6
55	в этой	2	6
56	жестов и	1	6
57	но ведь	4	6
58	в нем	15	6
59	не в	12	6
60	в процессе	15	6
61	в области	2	6
62	так и	21	6
63	язык и	1	6
64	в форме	1	6
65	язык в	1	6
66	и так	1	6
67	в конце	3	6
68	или иной	2	6
69	той же	3	5
70	уже в	4	5
71	в нашем	1	5
72	в той	3	5
73	независимо от	5	5
74	одно и	1	5
75	и с	3	5
76	того или	1	5
77	же мы	1	5
78	мы видели	4	5
79	с точки	14	5
80	и той	1	5
81	тому что	3	5
82	в сознании	1	5
83	а в	1	5
84	не является	5	5
85	же самое	3	5
86	те же	3	5
87	в его	7	5
88	и следовательно	3	5
89	и является	4	5
90	и их	5	5
91	слова в	1	5
92	с помощью	8	5
93	вместе с	6	5
94	как это	4	5
95	слова и	4	5
96	высказывания но	2	5
97	или иного	1	5
98	и то	1	4
99	самом деле	16	4
100	или иную	1	4
101	тем же	7	4
102	общения в	1	4
103	себя в	1	4
104	что именно	5	4
105	но в	6	4
106	с определенной	1	4
107	в самом	11	4
108	что это	3	4
109	так сказать	5	4
110	уже не	3	4
111	можно было	1	4
112	в каждом	5	4
113	и выбор	3	4
114	его в	7	4
115	ту или	2	4
116	художественного творчества	2	4
117	самого начала	1	4
118	на него	1	4
119	у нас	3	4
120	но все	1	4
121	так называемые	2	4
122	к тому	4	4
123	той или	1	4
124	внутренняя речь	2	4
125	языка и	1	4
126	с самого	1	4
127	если бы	12	4
128	в словах	1	4
129	о том	4	4
130	можно сказать	3	4
131	все время	6	4
132	того что	3	4
133	один из	1	4
134	мы видим	1	4
135	мы увидим	2	4
136	в качестве	1	4
137	если мы	7	4
138	вопроса о	1	4
139	общения и	2	4
140	связаны с	2	4
141	не просто	1	4
142	и пр	15	4
143	в слове	4	4
144	к своему	1	4
145	все это	7	4
146	бы в	6	4
147	выбор слов	1	4
148	так же	9	4
149	отношения к	2	3
150	на самом	14	3
151	социальной группы	2	3
152	круг предметов	1	3
153	жизни это	1	3
154	еще не	6	3
155	видели что	2	3
156	то он	3	3
157	нет и	3	3
158	или иное	2	3
159	построения и	1	3
160	хотя и	1	3
161	та же	1	3
162	выражение в	1	3
163	если он	1	3
164	вследствие этого	3	3
165	не к	1	3
166	слов в	1	3
167	их в	3	3
168	не будет	1	3
169	об этом	1	3
170	лишь в	9	3
171	целое высказывание	1	3
172	это не	3	3
173	может стать	3	3
174	убедились что	1	3
175	высказывание как	5	3
176	чаще всего	1	3
177	том что	4	3
178	необходимо чтобы	2	3
179	слово и	1	3
180	в разных	1	3
181	слова как	2	3
182	связь и	1	3
183	связи с	5	3
184	да и	4	3
185	в виду	3	3
186	но при	2	3
187	в ее	4	3
188	то или	2	3
189	роль в	4	3
190	внутреннюю речь	1	3
191	и здесь	1	3
192	не имеем	1	3
193	связь между	4	3
194	нуждается в	3	3
195	мы ни	2	3
196	то мы	3	3
197	жизни и	4	3
198	конечно не	4	3
199	только на	4	3
200	в данной	2	3
201	из них	2	3
202	его и	3	3
203	не так	1	3
204	в котором	2	3
205	в одном	1	3
206	содержание и	2	3
207	мы убедились	1	3
208	свое выражение	2	3
209	от того	2	3
210	что и	2	3
211	и даже	2	3
212	всякое высказывание	3	3
213	социальной жизни	4	3
214	и эта	3	3
215	конце концов	2	3
216	высказывания с	1	3
217	этого слова	2	3
218	этом случае	1	3
219	в целом	4	3
220	высказывания и	5	3
221	как таковой	3	3
222	в начале	1	3
223	но для	2	3
224	тех или	1	3
225	и для	6	3
226	в конструкции	3	3
227	для нас	3	3
228	и все	8	3
229	главным образом	2	3
230	между ними	15	3
231	не знает	1	3
232	сказать что	3	3
233	не учитывая	1	3
234	высказывания как	3	3
235	я и	1	2
236	человека и	2	2
237	в какой-то	1	2
238	и этот	1	2
239	его не	1	2
240	со всех	1	2
241	и конечно	1	2
242	мы имеем	1	2
243	всех его	1	2
244	нам в	1	2
245	высказывания в	1	2
246	но даже	1	2
247	как не	2	2
248	быть понято	4	2
249	и определяется	1	2
250	между собой	4	2
251	оценок и	2	2
252	установки на	1	2
253	но не	5	2
254	значение и	1	2
255	только тогда	1	2
256	должны были	1	2
257	очевидно что	2	2
258	понято и	1	2
259	себе и	1	2
260	оно является	1	2
261	в кругозор	2	2
262	как в	4	2
263	высказывания от	1	2
264	и нет	1	2
265	может получить	1	2
266	между двумя	1	2
267	как таковое	1	2
268	материалом и	2	2
269	роль играет	1	2
270	бы и	3	2
271	все эти	6	2
272	бы не	2	2
273	и те	4	2
274	высказывания не	1	2
275	друг другу	2	2
276	этот процесс	3	2
277	высказывания его	2	2
278	художественного высказывания	1	2
279	понимания и	1	2
280	одной и	2	2
281	человека в	2	2
282	значительной степени	1	2
283	зрения на	1	2
284	ясно что	3	2
285	есть не	1	2
286	объективной действительности	1	2
287	его слов	1	2
288	с этим	1	2
289	в жизни	11	2
290	общение и	1	2
291	но мы	1	2
292	при которых	1	2
293	в этих	3	2
294	и при	1	2
295	в своей	6	2
296	мы конечно	1	2
297	в отношении	2	2
298	слова здесь	1	2
299	мы говорили	1	2
300	место в	10	2
301	в которых	3	2
302	для всякого	1	2
303	но эта	2	2
304	в мире	1	2
305	при условии	1	2
306	однако в	2	2
307	жанр и	2	2
