N	2gram	Nazirov_Vr_1	Dialekti
1	не есть	1	54
2	т е	3	48
3	и не	5	27
4	точки зрения	2	25
5	и в	8	24
6	не только	9	23
7	не может	2	19
8	не просто	1	18
9	ничего не	1	17
10	и есть	1	16
11	и что	8	15
12	с точки	2	14
13	то что	7	14
14	в таком	1	14
15	таким образом	2	13
16	что он	4	13
17	может быть	4	13
18	и даже	6	13
19	что это	1	12
20	того что	1	12
21	не менее	2	11
22	не имеет	1	11
23	что же	1	11
24	отнюдь не	2	10
25	тем не	1	10
26	только не	1	10
27	но и	7	9
28	нет ничего	1	9
29	в этом	8	8
30	и как	3	8
31	отличается от	1	8
32	прежде всего	1	8
33	том что	3	8
34	это и	1	7
35	– не	1	7
36	в самом	1	7
37	как и	6	7
38	никогда не	2	7
39	как раз	2	7
40	потому что	1	7
41	ясно что	1	7
42	в виду	4	7
43	он –	1	7
44	в особенности	1	7
45	что в	7	7
46	я не	3	6
47	– это	6	6
48	то же	5	6
49	об этом	5	6
50	и с	6	6
51	вы не	1	6
52	о том	4	6
53	и все	7	6
54	все это	4	6
55	хотя и	1	5
56	он не	3	5
57	по крайней	1	5
58	одно и	1	5
59	так и	1	5
60	было бы	1	5
61	в них	2	5
62	в том	3	5
63	в то	5	5
64	и его	3	5
65	утверждаю что	1	5
66	уже не	2	5
67	крайней мере	1	5
68	как же	2	5
69	что для	1	5
70	но это	2	5
71	только как	1	5
72	жизни и	1	5
73	как на	1	5
74	и то	2	4
75	говорить о	1	4
76	первый план	1	4
77	в чем	3	4
78	в истории	4	4
79	это не	4	4
80	на первый	2	4
81	что есть	3	4
82	как о	1	4
83	от того	1	4
84	и это	2	4
85	то время	1	4
86	жизнь и	1	4
87	о нем	6	4
88	с другой	1	4
89	для него	2	4
90	это будет	1	4
91	говорит о	1	4
92	так же	4	4
93	только что	1	4
94	себя как	1	3
95	той же	1	3
96	и я	1	3
97	с этим	1	3
98	в своем	3	3
99	все же	6	3
100	тем более	2	3
101	на то	3	3
102	в нем	6	3
103	в силу	1	3
104	не будет	1	3
105	он и	1	3
106	имеется в	1	3
107	есть еще	1	3
108	раз и	1	3
109	из которых	1	3
110	тем самым	1	3
111	одна из	2	3
112	же время	5	3
113	во всем	1	3
114	и о	3	3
115	из двух	1	3
116	быть может	1	3
117	это было	1	3
118	к нему	1	3
119	быть и	1	3
120	и ее	2	3
121	это же	1	3
122	при помощи	2	3
123	из них	2	3
124	мы знаем	2	3
125	друг друга	1	3
126	тем что	3	3
127	в каком	1	3
128	не было	5	3
129	как бы	4	3
130	и от	1	3
131	только о	1	3
132	я вижу	1	3
133	все что	1	3
134	также и	1	2
135	же как	2	2
136	в частности	1	2
137	уже по	1	2
138	в разные	1	2
139	и он	2	2
140	в ней	4	2
141	еще не	2	2
142	на них	1	2
143	с его	3	2
144	но не	1	2
145	и уж	1	2
146	его на	2	2
147	в мысли	1	2
148	целый ряд	4	2
149	но в	6	2
150	то в	1	2
151	в условиях	1	2
152	в себе	2	2
153	тому же	1	2
154	но на	1	2
155	при этом	4	2
156	что у	3	2
157	людей и	1	2
158	говорить не	1	2
159	все равно	1	2
160	этого не	1	2
161	во внимание	1	2
162	и уже	3	2
163	несмотря на	4	2
164	всяком случае	1	2
165	в их	1	2
166	их в	2	2
167	что этот	1	2
168	но они	1	2
169	следовательно и	1	2
170	же он	1	2
171	могут быть	1	2
172	не забудем	1	2
173	меня в	1	2
174	так в	2	2
175	и вообще	1	2
176	нас в	1	2
177	и во	3	2
178	в его	3	2
179	и можно	1	2
180	получается что	1	2
181	в третий	1	2
182	тех пор	1	2
183	себя в	1	2
184	и у	3	2
185	своим собственным	1	2
186	же в	2	2
187	хочет быть	1	2
188	никто не	1	2
189	у него	5	2
190	тогда это	1	2
191	именно в	1	2
192	души и	1	2
193	у человека	1	2
194	только от	1	2
195	но как	2	2
196	с тех	1	2
197	по которому	1	2
198	оказалось что	1	2
199	но для	1	2
200	нем можно	1	2
201	для нас	4	2
202	бы в	1	2
203	я думаю	1	2
204	но вот	1	2
205	а в	2	2
206	личность и	2	2
207	другой стороны	1	2
208	обычно не	1	2
209	о себе	3	2
210	бы его	1	2
211	из этого	1	2
