N	3gram	Medvedev_F_2	Tragedij
1	то же время	5	5
2	в то же	5	5
3	так и в	3	3
4	в отличие от	2	2
5	и в дальнейшем	2	2
6	в данном случае	1	2
7	но в то	1	2
8	между этими двумя	2	2
9	но все же	2	2
10	в том что	2	2
11	в этом случае	1	1
12	в известной степени	1	1
13	самостоятельное значение и	1	1
14	в таком виде	1	1
15	это было в	1	1
16	и не может	3	1
17	и должна быть	1	1
18	сам по себе	3	1
19	и не могли	1	1
20	в той же	1	1
21	что он не	1	1
22	мы бы сказали	1	1
23	и т п	9	1
24	вместе с ними	1	1
25	может быть понят	1	1
26	в этом романе	1	1
27	это может быть	1	1
28	в применении к	2	1
29	во всяком случае	5	1
30	в высшей степени	4	1
31	в конце концов	2	1
32	смысле этого слова	1	1
33	но при этом	1	1
34	и в этом	5	1
35	тем не менее	1	1
36	не могут быть	4	1
37	прежде всего необходимо	1	1
38	все же не	1	1
39	в связи с	10	1
40	и с тем	1	1
41	то что он	1	1
42	не может быть	10	1
43	это и есть	1	1
44	с самого начала	2	1
45	в самом деле	5	1
46	с тем и	2	1
47	отметить что в	1	1
48	к тому что	2	1
49	как и в	1	1
