N	2gram	Propp_Isto_3	PoTuStor
1	может быть	11	17
2	и в	22	16
3	и пр	11	12
4	в этом	17	9
5	таким образом	10	9
6	и только	1	9
7	мы можем	6	9
8	прежде всего	3	9
9	и с	4	8
10	точки зрения	2	8
11	и его	4	8
12	не может	4	8
13	совершенно не	2	8
14	не только	14	7
15	сказать что	3	7
16	самом деле	1	6
17	конечно не	1	6
18	при этом	2	6
19	с точки	1	6
20	и это	2	6
21	к отцу	2	6
22	и к	3	6
23	еще не	10	5
24	в чем	3	5
25	отношение к	4	5
26	все эти	4	5
27	что такое	1	5
28	только для	1	5
29	ни в	2	5
30	в него	2	5
31	как бы	1	5
32	на самом	2	4
33	и ее	3	4
34	и на	4	4
35	отнюдь не	1	4
36	но в	10	4
37	в этой	5	4
38	в нем	9	4
39	его в	3	4
40	в один	1	4
41	художественного творчества	1	4
42	все это	1	4
43	самого начала	1	4
44	как мы	8	4
45	с ее	1	4
46	с самого	1	4
47	так и	2	4
48	можно сказать	2	4
49	в его	3	4
50	с ними	3	4
51	только в	4	4
52	и их	1	4
53	так как	7	4
54	и даже	2	4
55	но и	12	4
56	и не	12	4
57	и все	3	4
58	хотя бы	1	4
59	все что	3	4
60	и есть	2	3
61	и как	3	3
62	и вот	2	3
63	их в	3	3
64	на этом	4	3
65	на этой	1	3
66	том что	8	3
67	во время	6	3
68	сих пор	5	3
69	в одном	2	3
70	до сих	5	3
71	к себе	1	3
72	с другими	1	3
73	и она	3	3
74	в том	9	3
75	в большинстве	1	3
76	только на	2	3
77	большинстве случаев	2	3
78	мы знаем	2	3
79	всяком случае	2	3
80	даже не	2	3
81	и др	2	3
82	для сознания	1	3
83	вместе с	9	3
84	и потому	2	3
85	как это	4	3
86	могут быть	5	3
87	матери и	2	3
88	в основном	1	3
89	что в	15	3
90	в этих	11	3
91	а в	6	3
92	то что	7	3
93	жизни и	2	3
94	во всяком	2	3
95	ту же	2	2
96	же как	2	2
97	доступ в	1	2
98	и этот	1	2
99	мы уже	6	2
100	мы не	1	2
101	и о	2	2
102	на них	1	2
103	между собой	1	2
104	из этих	3	2
105	но как	1	2
106	нет и	1	2
107	с этим	8	2
108	в этот	2	2
109	что это	1	2
110	и через	1	2
111	вообще не	1	2
112	он не	5	2
113	и по	1	2
114	то же	6	2
115	по своему	1	2
116	связанных с	2	2
117	было бы	3	2
118	в жизни	2	2
119	по всему	1	2
120	в них	6	2
121	всю жизнь	2	2
122	как и	3	2
123	в своей	1	2
124	знаем что	2	2
125	войти в	1	2
126	этих трех	1	2
127	не менее	5	2
128	никогда не	3	2
129	что на	4	2
130	в каком	1	2
131	не будет	1	2
132	как не	1	2
133	и этим	1	2
134	только то	1	2
135	в пределах	4	2
136	для этого	1	2
137	с ним	1	2
138	находится в	4	2
139	о том	3	2
140	другими словами	1	2
141	для нас	4	2
142	что и	9	2
143	один из	5	2
144	оно и	1	2
145	мы видим	8	2
146	что он	9	2
147	и действительно	2	2
148	и так	2	2
149	со всеми	1	2
150	с нею	1	2
151	не можем	1	2
152	в начале	1	2
153	за счет	2	2
154	к ним	1	2
155	у него	3	2
156	дела с	1	2
157	характерно для	2	2
158	себя и	1	2
159	что не	2	2
160	а на	1	2
161	что мы	1	2
162	в частности	5	2
163	так же	3	2
164	в область	1	2
165	с этой	1	2
166	своей жизни	1	2
167	но это	3	2
168	от матери	1	2
169	и для	2	2
170	не существует	1	2
171	нет никаких	2	2
172	не есть	1	2
173	это делает	2	2
174	все остальные	1	2
175	не знает	1	2
176	есть и	5	2
177	ее в	3	2
178	к этому	7	2
179	они не	4	2
180	человека и	1	1
181	мы здесь	4	1
182	и то	2	1
183	это и	1	1
184	согласии с	1	1
185	я умру	2	1
186	не имеют	2	1
187	его не	3	1
188	со всех	1	1
189	очень широко	1	1
190	хорошо и	1	1
191	к нашей	2	1
192	мы имеем	19	1
193	и входит	1	1
194	вопрос о	2	1
195	на место	1	1
196	выходит из	1	1
197	я не	3	1
198	как я	1	1
199	из того	2	1
200	не совсем	3	1
201	уже непонятным	1	1
202	в ней	2	1
203	как один	1	1
204	иное как	3	1
205	столь же	1	1
206	что его	1	1
207	где же	1	1
208	здесь имеем	1	1
209	но не	7	1
210	через некоторое	2	1
211	роль их	1	1
212	не входит	1	1
213	с сыном	1	1
214	вступают в	2	1
215	иногда и	1	1
216	мы сейчас	2	1
217	право на	1	1
218	что они	8	1
219	только путем	1	1
220	к сожалению	1	1
221	для объяснения	1	1
222	в течение	6	1
223	в особом	2	1
224	общего с	1	1
225	некоторое время	3	1
226	все же	5	1
227	хотя и	2	1
228	и золотого	1	1
229	из сознания	1	1
230	что по	2	1
231	его к	1	1
232	есть ли	2	1
233	уже не	7	1
234	ни один	2	1
235	сказать о	1	1
236	имеем в	4	1
237	во многих	2	1
238	полового созревания	1	1
239	человек не	1	1
240	на его	3	1
241	что она	5	1
242	не следует	1	1
243	что было	2	1
244	главным образом	1	1
245	образом и	2	1
246	в корне	1	1
247	только те	1	1
248	но вместе	1	1
249	из него	1	1
250	подобно тому	1	1
251	человека в	1	1
252	от нее	1	1
253	как они	1	1
254	этом нет	1	1
255	а то	2	1
256	в мире	1	1
257	той же	2	1
258	то нам	1	1
259	на все	2	1
260	где оно	1	1
261	не нашел	1	1
262	по женской	1	1
263	входит в	1	1
264	ничего удивительного	1	1
265	уже знаем	2	1
266	для них	3	1
267	с тем	2	1
268	друга в	1	1
269	искать в	1	1
270	но если	1	1
271	приводящая к	1	1
272	в следующем	1	1
273	любовь и	1	1
274	выше мы	3	1
275	не будем	3	1
276	которые в	1	1
277	каждое из	1	1
278	друг другу	2	1
279	жизни является	1	1
280	однако в	1	1
281	на всю	1	1
282	же мы	1	1
283	можно ли	3	1
284	одна из	2	1
285	почти во	1	1
286	сын не	1	1
287	в самых	2	1
288	что иное	3	1
289	для всего	1	1
290	только не	2	1
291	не имеет	2	1
292	это мы	1	1
293	ничего не	6	1
294	эта сторона	1	1
295	очень мало	1	1
296	в русском	2	1
297	нам важен	1	1
298	во всем	1	1
299	связи с	6	1
300	уже и	1	1
301	отец не	2	1
302	потом в	2	1
303	мы и	1	1
304	тела и	1	1
305	один шаг	1	1
306	с другом	1	1
307	от того	1	1
308	у меня	5	1
309	нам что	1	1
310	его за	1	1
311	отличается от	1	1
312	к тому	3	1
313	что при	1	1
314	на это	2	1
315	она не	4	1
316	ничего общего	1	1
317	надо искать	1	1
318	говорит и	2	1
319	на другой	2	1
320	данном случае	3	1
321	но во-первых	1	1
322	в себя	1	1
323	роль в	2	1
324	и что	2	1
325	касается не	1	1
326	и сам	1	1
327	в другом	2	1
328	и ту	1	1
329	можно было	1	1
330	каждого из	1	1
331	отсюда и	1	1
332	к тем	1	1
333	если бы	6	1
334	новых и	1	1
335	в глубине	1	1
336	в разных	1	1
337	о ней	2	1
338	в известных	1	1
339	и здесь	7	1
340	в порядке	1	1
341	два момента	1	1
342	имеем дело	1	1
343	и та	1	1
344	на волю	1	1
345	нас в	1	1
346	с нами	1	1
347	эти два	3	1
348	в другой	4	1
349	в свете	5	1
350	все время	2	1
351	человека как	1	1
352	к нему	5	1
353	что здесь	6	1
354	о двух	1	1
355	тот же	1	1
356	дело с	2	1
357	мы увидим	3	1
358	жизнь с	1	1
359	может оказаться	1	1
360	смерти как	1	1
361	остановиться подробнее	1	1
362	с одной	2	1
363	в качестве	2	1
364	всем мире	1	1
365	не пытается	1	1
366	уже в	1	1
367	и они	4	1
368	то и	6	1
369	всем его	1	1
370	в нашей	1	1
371	форма гроба	1	1
372	повторять и	1	1
373	не дает	2	1
374	быть объяснены	1	1
375	его и	4	1
376	пока не	1	1
377	вовсе не	2	1
378	случае не	1	1
379	заметить что	1	1
380	не говорит	1	1
381	собственно с	1	1
382	перейти к	2	1
383	со стороны	3	1
384	с другой	7	1
385	сущность этого	1	1
386	и тех	1	1
387	здесь в	1	1
388	в каких	1	1
389	и прежде	1	1
390	в свою	4	1
391	женской линии	1	1
392	и быть	1	1
393	мы еще	3	1
394	говорит о	1	1
395	близко к	1	1
396	в некоторых	5	1
397	связано с	4	1
398	них и	1	1
399	у нас	4	1
400	одной стороны	2	1
401	на этот	1	1
402	нужно снять	1	1
403	а не	6	1
404	именно так	2	1
405	жизнь в	1	1
406	в руках	1	1
407	из моментов	1	1
408	не всегда	4	1
409	становится ясным	1	1
410	обращение с	1	1
411	в связи	3	1
412	связь с	6	1
413	вопрос можно	1	1
414	многих случаях	1	1
415	этот мотив	5	1
416	и столь	1	1
417	предположить что	7	1
418	в данном	4	1
419	тому как	1	1
420	что же	1	1
421	вне этой	1	1
422	из этой	2	1
423	наконец и	1	1
424	друг с	1	1
425	в состоянии	1	1
426	очень важный	1	1
427	том смысле	1	1
428	о его	1	1
429	это уже	1	1
430	только одна	1	1
431	при таком	1	1
432	она может	1	1
433	и другими	1	1
434	которой можно	1	1
435	которая в	1	1
436	особого рода	3	1
437	это может	1	1
438	в эту	1	1
439	еще более	2	1
440	мы должны	7	1
441	словесное выражение	1	1
442	же в	2	1
443	нет ничего	2	1
444	или при	1	1
445	с ней	6	1
446	но этим	1	1
447	от всех	1	1
448	что такие	1	1
449	является и	1	1
450	пр это	1	1
451	по которой	1	1
452	не что	3	1
453	ко всему	1	1
454	на своем	1	1
455	на свет	1	1
456	правда все	1	1
457	этой точки	1	1
458	и эта	1	1
459	это в	1	1
460	как на	1	1
