1	и т п	8	15
2	совершенно ясно что	1	14
3	в том что	2	9
4	не может быть	3	8
5	в самом деле	1	7
6	о том что	1	7
7	во всяком случае	1	6
8	в зависимости от	1	5
9	то время как	2	5
10	для того чтобы	5	5
11	с одной стороны	2	5
12	в то время	3	5
13	так же как	2	4
14	как и в	2	4
15	до сих пор	3	3
16	все то что	2	3
17	в отличие от	2	3
18	надо сказать что	1	3
19	так и в	1	2
20	с точки зрения	2	2
21	т п все	1	2
22	сама по себе	1	2
23	в этом отношении	3	2
24	смысле этого слова	1	2
25	только на почве	1	2
26	и в самом	1	2
27	то есть в	1	2
28	то есть к	1	2
29	вместе с тем	2	2
30	и в частности	2	1
31	но она не	1	1
32	в том числе	4	1
33	для нас не	1	1
34	и в сущности	2	1
35	и в особенности	2	1
36	дело в том	2	1
37	тогда когда они	1	1
38	оставляем в стороне	1	1
39	одном и том	1	1
40	существенную роль в	2	1
41	включает в себя	1	1
42	и того же	5	1
43	романе и в	1	1
44	с самого начала	2	1
45	тогда когда оно	1	1
46	и во всяком	1	1
47	одной стороны и	2	1
48	что в таком	2	1
49	и во всех	1	1
50	не могут быть	1	1
51	могут быть названы	1	1
52	бросается в глаза	1	1
53	как своего рода	1	1
54	один из самых	1	1
55	отношение и это	1	1
56	совершенно независимо от	1	1
57	одно и то	3	1
58	в связи с	5	1
59	совершенно так же	1	1
60	вместе с ними	1	1
61	в этом романе	2	1
62	и в этом	1	1
63	в тех случаях	1	1
64	особенно в его	1	1
65	друг к другу	2	1
66	по сравнению с	2	1
67	одного и того	5	1
68	приходит к выводу	1	1
69	в себя и	1	1
70	том числе и	2	1
71	имел в виду	1	1
72	а следовательно и	1	1
73	одна из форм	1	1
74	не только в	2	1
75	в значительной мере	1	1
76	к выводу что	1	1
77	она же в	1	1
78	и это отношение	1	1
79	к цели то	1	1
80	быть или не	1	1
81	к тому же	2	1
82	цели то есть	1	1
83	мы видим в	1	1
84	совершенно новое значение	1	1
85	в искусстве и	1	1
86	в широком смысле	2	1
87	что он должен	1	1
88	т п но	1	1
89	или не быть	1	1
90	и ту же	1	1
91	в буквальном смысле	2	1
92	а вовсе не	1	1
93	в нем не	3	1
94	в свою очередь	1	1
95	и в том	1	1
96	та или иная	1	1
97	одну и ту	1	1
98	но вместе с	1	1
99	сами по себе	1	1
100	когда мы говорим	1	1
101	может быть только	3	1
102	прежде всего совершенно	1	1
103	в это время	1	1
104	и том же	1	1
105	в том же	1	1
106	и то же	3	1
107	но для того	2	1
108	и их значение	1	1
109	и для того	1	1
110	же как и	2	1
