N	2gram	Tiupa_Teor_1	Formalny
1	и не	13	30
2	вовсе не	3	28
3	и в	18	27
4	может быть	17	25
5	не может	4	24
6	так и	10	21
7	и его	8	19
8	в этом	8	18
9	таким образом	3	18
10	а не	9	17
11	точки зрения	9	16
12	то же	7	15
13	в нем	4	15
14	между ними	4	15
15	как и	4	14
16	с точки	3	14
17	не в	7	12
18	если бы	3	12
19	в самом	4	11
20	в жизни	2	11
21	и от	1	11
22	художественное произведение	1	11
23	не могут	2	10
24	место в	5	10
25	но и	9	10
26	художественной конструкции	1	10
27	в действительности	1	9
28	не только	16	9
29	лишь в	6	9
30	так как	1	9
31	так же	2	9
32	отнюдь не	3	8
33	с помощью	1	8
34	как бы	5	8
35	при этом	12	8
36	входит в	1	8
37	ни в	2	8
38	как мы	1	8
39	в пределах	5	8
40	только в	6	8
41	как раз	2	8
42	то что	3	8
43	что в	9	8
44	художественного произведения	4	7
45	тем же	1	7
46	с тем	1	7
47	не менее	4	7
48	же время	5	7
49	потому что	3	7
50	его в	2	7
51	между тем	5	7
52	в его	6	7
53	в том	16	7
54	если мы	2	7
55	все это	2	7
56	совершенно не	1	7
57	в то	6	7
58	в искусстве	6	7
59	здесь и	1	6
60	действительности и	1	6
61	еще не	4	6
62	но в	9	6
63	все эти	2	6
64	в своей	6	6
65	и ее	3	6
66	произведения в	1	6
67	и теперь	1	6
68	было бы	1	6
69	в литературе	2	6
70	что он	1	6
71	с другой	7	6
72	более того	1	6
73	вместе с	2	6
74	в данном	8	6
75	и для	2	6
76	бы в	1	6
77	истории литературы	1	6
78	в своих	1	6
79	совсем не	1	5
80	но не	9	5
81	в одной	1	5
82	независимо от	1	5
83	в художественном	3	5
84	в единстве	1	5
85	без исключения	4	5
86	в каждом	1	5
87	высказывание как	1	5
88	ни было	1	5
89	материала в	2	5
90	того чтобы	1	5
91	сводится к	5	5
92	что они	1	5
93	никогда не	4	5
94	в плоскости	1	5
95	связи с	1	5
96	большинстве случаев	1	5
97	и их	1	5
98	лишь для	1	5
99	между которыми	1	5
100	тем что	1	5
101	и потому	2	5
102	тому как	1	5
103	высказывания и	1	5
104	не является	4	5
105	в результате	1	5
106	другой стороны	5	5
107	можно говорить	1	4
108	бы то	1	4
109	как в	5	4
110	и как	2	4
111	в целом	3	4
112	и те	1	4
113	на ее	1	4
114	бы ни	1	4
115	подобно тому	1	4
116	то ни	1	4
117	данном случае	5	4
118	в ее	5	4
119	в слове	3	4
120	том что	9	4
121	для данного	1	4
122	по себе	1	4
123	она не	1	4
124	и является	2	4
125	могут быть	4	4
126	к тому	2	4
127	роль в	2	4
128	о том	1	4
129	его смысла	1	4
130	в большинстве	2	4
131	только на	1	4
132	в высказывании	1	4
133	литературного произведения	7	4
134	для того	1	4
135	со стороны	2	4
136	прежде всего	2	4
137	смысла и	1	4
138	в связи	1	4
139	как это	8	4
140	ценностный центр	2	4
141	слова и	1	4
142	между собой	3	4
143	в романе	3	4
144	от всех	1	4
145	из этого	1	4
146	они не	1	4
147	художественном произведении	1	3
148	одним из	2	3
149	же как	1	3
