N	2gram	Tiupa_Narr_2	Tragedij
1	и в	13	18
2	в романе	1	10
3	в этом	13	9
4	не только	26	8
5	он сам	2	7
6	и с	1	7
7	может быть	10	7
8	как бы	6	7
9	и не	14	7
10	но в	6	6
11	и его	3	6
12	же время	3	6
13	что он	5	6
14	у него	6	6
15	то же	4	5
16	все же	6	5
17	что это	4	5
18	это не	3	5
19	как и	4	5
20	несмотря на	2	5
21	в то	5	5
22	так и	9	5
23	не может	8	5
24	к жизни	1	5
25	а я	1	5
26	я не	5	4
27	еще не	2	4
28	в себе	8	4
29	в целом	3	4
30	в этой	4	4
31	в нем	5	4
32	об этом	4	4
33	том что	13	4
34	что я	3	4
35	и что	2	4
36	но и	15	4
37	и даже	3	4
38	прежде всего	6	4
39	так же	2	4
40	но это	2	4
41	все это	1	4
42	что в	4	4
43	и все	4	4
44	то что	8	4
45	в мире	4	3
46	и он	2	3
47	своего рода	9	3
48	отнюдь не	4	3
49	как в	5	3
50	в своем	6	3
51	и как	1	3
52	все эти	3	3
53	при этом	14	3
54	то есть	9	3
55	должно быть	1	3
56	тем самым	5	3
57	что с	2	3
58	о чем	2	3
59	с ее	1	3
60	и сам	3	3
61	жизнь и	1	3
62	с ним	4	3
63	к нему	1	3
64	в его	6	3
65	один из	3	3
66	для него	4	3
67	никто не	1	3
68	в конце	4	3
69	как будто	1	3
70	как это	4	3
71	а как	3	2
72	отказывается от	1	2
73	никогда не	6	2
74	и личность	2	2
75	столь же	2	2
76	с его	3	2
77	отношение к	1	2
78	отличие от	5	2
79	не просто	1	2
80	так что	1	2
81	как говорит	1	2
82	о жизни	4	2
83	это был	2	2
84	перед нами	4	2
85	я к	1	2
86	имеет в	1	2
87	в самом	2	2
88	бы и	1	2
89	то и	3	2
90	жизнью и	2	2
91	по словам	2	2
92	он не	5	2
93	что она	2	2
94	ее жизни	1	2
95	что все	1	2
96	в глазах	4	2
97	отца и	1	2
98	я все	1	2
99	в это	1	2
100	ни в	1	2
101	поведение в	1	2
102	не мог	1	2
103	в ходе	1	2
104	в отличие	5	2
105	вопрос о	1	2
106	не в	8	2
107	вместе со	1	2
108	раз и	1	2
109	но они	1	2
110	одна из	3	2
111	не имеет	2	2
112	его дочь	1	2
113	не могут	1	2
114	к тому	9	2
115	но при	4	2
116	в ее	4	2
117	данном случае	6	2
118	еще в	1	2
119	как у	4	2
120	ничего не	6	2
121	и здесь	2	2
122	о том	5	2
123	теперь и	1	2
124	времени в	1	2
125	что и	2	2
126	в том	14	2
127	даже если	1	2
128	собой но	1	2
129	по мнению	1	2
130	и детей	1	2
131	уже не	4	2
132	в виде	2	2
133	в душе	2	2
134	в одном	1	2
135	не случайно	2	2
136	тем что	1	2
137	чем он	1	2
138	как же	1	2
139	в самую	2	2
140	только к	3	2
141	говорит о	2	2
142	ничем не	1	2
143	в рассказе	4	2
144	было в	1	2
145	по контрасту	1	2
146	в данном	10	2
147	о его	1	2
148	еще раз	1	2
149	от всего	2	2
150	потому что	2	2
151	в частности	11	2
152	по поводу	2	2
153	во сне	2	2
154	в таком	3	2
155	точно так	2	2
156	эта новая	1	1
157	а между	1	1
158	и т	2	1
159	одним из	1	1
160	например в	1	1
161	самом деле	3	1
162	к своей	1	1
163	это и	1	1
164	перед читателем	1	1
