N	3gram	Potebnia_M_2	Tvorches
1	и т д	3	11
2	то же время	2	7
3	в то же	2	7
4	до сих пор	4	3
5	не может быть	2	3
6	и не может	1	2
7	в таком случае	2	2
8	в отличие от	1	2
9	в наше время	1	2
10	по крайней мере	5	2
11	все же не	1	2
12	во всяком случае	7	2
13	с другой стороны	2	2
14	так и в	2	2
15	и т п	3	2
16	о том что	1	2
17	в одном из	1	2
18	в том что	7	2
19	то все же	2	1
20	хотя быть может	1	1
21	рядом с ними	1	1
22	потому что в	1	1
23	и всякого рода	1	1
24	дело в том	1	1
25	можно принять за	1	1
26	о том как	1	1
27	может и не	1	1
28	т д и	1	1
29	вопрос этот и	1	1
30	бы не в	1	1
31	не противоречит тому	1	1
32	сами по себе	7	1
33	со всех сторон	1	1
34	не то что	1	1
35	что на ней	1	1
36	только потому что	2	1
37	в том смысле	4	1
38	но в таком	1	1
39	в применении к	1	1
40	и в процессе	1	1
41	что для определения	1	1
42	и в этом	1	1
43	не могут быть	3	1
44	в свою очередь	6	1
45	в связи с	1	1
46	что у него	1	1
47	по себе не	3	1
48	в то время	4	1
49	мы не можем	3	1
50	том смысле что	1	1
51	прежде всего его	1	1
52	ничего общего с	1	1
53	его место в	1	1
54	при этом что	1	1
55	с самого начала	2	1
56	еще не знал	1	1
57	мы знаем что	1	1
58	но это не	1	1
59	не о том	1	1
60	в нем самом	1	1
61	противоречит тому что	1	1
62	что у нас	1	1
63	как и в	1	1
64	известно что в	1	1
65	мы говорим о	1	1
